# k     P0     P2     P4
# shotnoise=4708.019959985417
7.417159012861941972e-03 6.972241210937500000e+02 4.375824218750000000e+03 -7.896375488281250000e+03
1.607478041656797488e-02 1.373374609375000000e+04 9.461806640625000000e+03 -2.855990820312500000e+04
2.564556812890427320e-02 1.382381054687500000e+04 1.395022558593750000e+04 -1.657500195312500000e+04
3.543439192773850666e-02 1.204141796875000000e+04 8.859672851562500000e+03 -6.262587402343750000e+03
4.535126956552582717e-02 9.558990234375000000e+03 6.376551269531250000e+03 -3.016946044921875000e+03
5.530598813813715486e-02 7.059711425781250000e+03 4.412437500000000000e+03 -2.395834960937500000e+03
6.524671958131897376e-02 6.041467285156250000e+03 4.206094238281250000e+03 -1.706681640625000000e+03
7.519125722951155999e-02 5.999181152343750000e+03 3.455827636718750000e+03 -9.245759277343750000e+02
8.517646488995618548e-02 4.630877441406250000e+03 2.990185546875000000e+03 -3.478404235839843750e+01
9.517163655550850421e-02 4.262295410156250000e+03 3.213998535156250000e+03 -1.670683593750000000e+02
1.051479378210863486e-01 4.100422363281250000e+03 3.481527587890625000e+03 -5.258829345703125000e+02
1.151346485440282452e-01 3.764395019531250000e+03 1.935757812500000000e+03 -7.940898437500000000e+02
1.251321638497706890e-01 3.177785644531250000e+03 1.933319946289062500e+03 -4.056166076660156250e+02
1.351220778475701323e-01 2.710728027343750000e+03 9.755199584960937500e+02 -3.868504943847656250e+02
1.451143575105806327e-01 2.360914062500000000e+03 1.555872924804687500e+03 -6.587438201904296875e+01
1.551067145244691137e-01 2.230861328125000000e+03 1.689853515625000000e+03 3.441904296875000000e+02
1.650884305720286271e-01 2.035577636718750000e+03 1.477278442382812500e+03 -2.655783996582031250e+02
1.750896594367246373e-01 1.862545410156250000e+03 9.645719604492187500e+02 -4.626258239746093750e+02
1.850988347610166840e-01 1.789287109375000000e+03 7.029509277343750000e+02 -1.625572509765625000e+02
1.950933403717116654e-01 1.738146484375000000e+03 6.368815307617187500e+02 -6.273299789428710938e+01
2.050827338332480154e-01 1.518377441406250000e+03 4.617478637695312500e+02 6.426176452636718750e+01
2.150711559618309343e-01 1.326000976562500000e+03 6.234205322265625000e+02 9.817062377929687500e+01
2.250700528236512232e-01 1.303861328125000000e+03 5.814177856445312500e+02 8.001930236816406250e+01
2.350677176058523499e-01 1.148881835937500000e+03 5.283320312500000000e+02 -1.630760729312896729e-01
2.450659292359597674e-01 1.065583984375000000e+03 1.566384582519531250e+02 -1.510440521240234375e+02
2.550679106178073141e-01 1.005085449218750000e+03 2.231941528320312500e+02 -1.106495590209960938e+02
2.650622261520276246e-01 9.269458007812500000e+02 3.802353515625000000e+02 1.386505584716796875e+02
2.750585770968402843e-01 8.802778320312500000e+02 1.724325256347656250e+02 -9.716513061523437500e+01
2.850557943694818075e-01 8.591357421875000000e+02 3.078745727539062500e+02 -2.013902587890625000e+02
2.950536741513646311e-01 7.832382812500000000e+02 4.286403503417968750e+02 7.505955505371093750e+01
3.050554640564410169e-01 7.261533203125000000e+02 2.105673675537109375e+02 -1.099940180778503418e+00
3.150549836824946826e-01 7.229169921875000000e+02 1.604857177734375000e+02 -1.323798675537109375e+02
3.250510714865473272e-01 6.565078125000000000e+02 1.292119903564453125e+02 -1.006209945678710938e+01
3.350466419185756384e-01 6.354145507812500000e+02 8.558863830566406250e+01 -2.529762878417968750e+02
3.450442380029929423e-01 6.008217773437500000e+02 2.027244262695312500e+02 -6.258542633056640625e+01
3.550428797376153911e-01 6.319672851562500000e+02 5.965503692626953125e+01 -1.280501556396484375e+02
3.650446714467368570e-01 5.653110351562500000e+02 1.230427932739257812e+02 -8.472986602783203125e+01
3.750449401226554347e-01 5.179692382812500000e+02 6.668620300292968750e+01 -3.466438293457031250e+01
3.850410452394543714e-01 4.964677734375000000e+02 1.551930236816406250e+02 -9.753874969482421875e+01
3.950404715930299071e-01 4.718784179687500000e+02 5.782242202758789062e+01 -8.738285827636718750e+01
