# k     P0     P2     P4
# shotnoise=4279.641344902031
7.417159012861941972e-03 8.298681640625000000e+03 1.305573632812500000e+04 -1.653612695312500000e+04
1.607478041656797488e-02 9.615605468750000000e+03 6.325088867187500000e+03 -2.177588476562500000e+04
2.564556812890427320e-02 1.160565625000000000e+04 6.984706542968750000e+03 -1.751457812500000000e+04
3.543439192773850666e-02 8.655203125000000000e+03 6.567409667968750000e+03 -9.630272460937500000e+03
4.535126956552582717e-02 8.145926269531250000e+03 6.602075683593750000e+03 -7.703440917968750000e+03
5.530598813813715486e-02 7.365531738281250000e+03 5.312983886718750000e+03 -3.546605957031250000e+03
6.524671958131897376e-02 6.748963378906250000e+03 5.022378417968750000e+03 -1.241169189453125000e+03
7.519125722951155999e-02 5.857406738281250000e+03 3.232932861328125000e+03 -1.479300781250000000e+03
8.517646488995618548e-02 5.075489746093750000e+03 2.667277587890625000e+03 -1.134688842773437500e+03
9.517163655550850421e-02 4.320054199218750000e+03 2.663183593750000000e+03 -6.062863769531250000e+02
1.051479378210863486e-01 3.715912597656250000e+03 1.912506591796875000e+03 -7.066135253906250000e+02
1.151346485440282452e-01 3.045270507812500000e+03 1.490714843750000000e+03 -4.073721618652343750e+02
1.251321638497706890e-01 2.955027832031250000e+03 1.702597167968750000e+03 -5.605740356445312500e+02
1.351220778475701323e-01 2.530954589843750000e+03 1.428328857421875000e+03 -1.442635650634765625e+02
1.451143575105806327e-01 2.388765136718750000e+03 1.370737426757812500e+03 -2.911026611328125000e+02
1.551067145244691137e-01 2.214802246093750000e+03 1.082172363281250000e+03 -8.236109161376953125e+01
1.650884305720286271e-01 1.859233886718750000e+03 9.092919921875000000e+02 3.542511596679687500e+02
1.750896594367246373e-01 1.803093750000000000e+03 6.518075561523437500e+02 1.884608154296875000e+02
1.850988347610166840e-01 1.673097656250000000e+03 9.242772827148437500e+02 -1.503131256103515625e+02
1.950933403717116654e-01 1.480855957031250000e+03 6.882691650390625000e+02 6.477171325683593750e+01
2.050827338332480154e-01 1.376498046875000000e+03 7.615110473632812500e+02 3.275485839843750000e+02
2.150711559618309343e-01 1.277125000000000000e+03 6.009308471679687500e+02 4.591209411621093750e+02
2.250700528236512232e-01 1.180643554687500000e+03 4.085028991699218750e+02 9.887948608398437500e+01
2.350677176058523499e-01 1.120071777343750000e+03 5.500725708007812500e+02 1.466990203857421875e+02
2.450659292359597674e-01 1.009025390625000000e+03 4.362741699218750000e+02 1.024913558959960938e+02
2.550679106178073141e-01 1.009703613281250000e+03 3.319877929687500000e+02 1.177743530273437500e+02
2.650622261520276246e-01 9.453798828125000000e+02 2.446174774169921875e+02 -7.121037292480468750e+01
2.750585770968402843e-01 8.648427734375000000e+02 2.926729431152343750e+02 -1.246858501434326172e+01
2.850557943694818075e-01 7.941616210937500000e+02 2.049358367919921875e+02 -4.808917617797851562e+01
2.950536741513646311e-01 7.180361328125000000e+02 3.141576538085937500e+02 -1.687346649169921875e+01
3.050554640564410169e-01 6.906679687500000000e+02 1.810813903808593750e+02 -1.733714103698730469e+01
3.150549836824946826e-01 6.642421875000000000e+02 1.628291168212890625e+02 5.432365417480468750e+01
3.250510714865473272e-01 6.245615234375000000e+02 2.456790161132812500e+02 -6.845454406738281250e+01
3.350466419185756384e-01 6.016259765625000000e+02 3.198544006347656250e+02 8.558946228027343750e+01
3.450442380029929423e-01 6.100156250000000000e+02 2.325534362792968750e+02 -8.177552032470703125e+01
3.550428797376153911e-01 5.562578125000000000e+02 1.019946136474609375e+02 -5.214769244194030762e-01
3.650446714467368570e-01 5.324692382812500000e+02 -6.130067443847656250e+01 -1.911879119873046875e+02
3.750449401226554347e-01 5.622416992187500000e+02 1.052343368530273438e+02 -2.921704864501953125e+01
3.850410452394543714e-01 4.977485351562500000e+02 5.238735198974609375e+01 2.727487754821777344e+01
3.950404715930299071e-01 4.690737304687500000e+02 2.261058044433593750e+01 -7.335391235351562500e+01
