# k     P0     P2     P4
5.000000000000000104e-03 1.380855999999999949e+04 6.914300000000000182e+03 -7.821858000000000175e+03
1.499999999999999944e-02 2.243373333333333358e+04 5.865840000000000146e+03 -1.508633466666666754e+04
2.500000000000000139e-02 1.831079999999999927e+04 1.576259999999999854e+04 -6.623517479999998613e+03
3.500000000000000333e-02 1.634308571428571304e+04 4.188257142857142753e+03 4.198301142857142622e+03
4.499999999999999833e-02 1.211828888888888832e+04 3.124506666666666661e+03 4.866653777777777577e+03
5.500000000000000028e-02 8.551563636363636761e+03 2.338018181818181802e+03 6.570200000000000955e+02
6.500000000000000222e-02 7.256169230769231035e+03 3.633615384615384301e+03 1.244626461538461626e+03
7.499999999999999722e-02 6.681533333333333758e+03 3.081200000000000273e+03 7.531297333333333199e+02
8.500000000000000611e-02 5.252105882352941080e+03 2.759317647058823695e+03 1.135281294117646894e+03
9.500000000000000111e-02 4.694778947368421541e+03 2.689200000000000273e+03 7.565063157894736605e+02
1.049999999999999961e-01 4.468419047619047888e+03 3.276038095238095138e+03 3.526463809523809800e+02
1.150000000000000050e-01 4.038495652173913186e+03 1.898878260869565111e+03 -5.287289565217391782e+02
1.250000000000000000e-01 3.354936000000000149e+03 1.889392000000000053e+03 -1.797276800000000208e+02
1.350000000000000089e-01 3.007170370370370165e+03 1.020614814814814849e+03 -1.030707407407407175e+02
1.449999999999999900e-01 2.608717241379310053e+03 1.559137931034482790e+03 3.032651034482758519e+02
1.549999999999999989e-01 2.359458064516129070e+03 1.757516129032257822e+03 3.098761935483871071e+02
1.650000000000000078e-01 2.169084848484848408e+03 1.576333333333333485e+03 -2.235362424242424595e+02
1.749999999999999889e-01 1.985742857142857474e+03 1.051885714285714357e+03 -4.221893257142857010e+02
1.849999999999999978e-01 1.859318918918918826e+03 5.908594594594593445e+02 -3.193980540540540574e+02
1.950000000000000067e-01 1.849661538461538612e+03 6.169641025641025180e+02 9.718410256410255244e+00
2.049999999999999878e-01 1.583200000000000045e+03 5.324341463414634745e+02 8.548243902439025987e+01
2.149999999999999967e-01 1.386627906976744498e+03 6.719186046511626955e+02 1.747077674418604829e+02
2.250000000000000056e-01 1.363275555555555457e+03 6.146648888888888678e+02 2.500590666666666380e+02
2.349999999999999867e-01 1.205106382978723104e+03 5.868625531914893827e+02 1.337291489361702190e+02
2.449999999999999956e-01 1.108473469387754903e+03 1.126106122448979932e+02 -9.317755102040815984e+01
2.550000000000000044e-01 1.053431372549019670e+03 2.156870588235294406e+02 -1.255752941176470330e+02
2.650000000000000133e-01 9.847132075471697590e+02 4.121490566037735448e+02 1.735060377358490769e+01
2.750000000000000222e-01 8.813018181818182484e+02 1.697592727272727302e+02 -1.536476727272727487e+02
2.849999999999999756e-01 8.919754385964912444e+02 2.773473684210526358e+02 -8.584659649122808389e+01
2.949999999999999845e-01 8.160101694915255166e+02 4.066240677966102339e+02 3.869359322033898252e+01
