# k     Q0     Q2     Q4
5.000000000000000104e-03 1.657425999999999840e+04 1.120300000000000182e+03 0.000000000000000000e+00
1.499999999999999944e-02 2.478006666666666933e+04 -5.309266666666667334e+03 0.000000000000000000e+00
2.500000000000000139e-02 2.461587999999999738e+04 1.085629199999999764e+04 0.000000000000000000e+00
3.500000000000000333e-02 1.801842857142856883e+04 7.298142857142856883e+03 0.000000000000000000e+00
4.499999999999999833e-02 1.336808888888888941e+04 6.729444444444443434e+03 0.000000000000000000e+00
5.500000000000000028e-02 9.486763636363635669e+03 2.824710909090908899e+03 0.000000000000000000e+00
6.500000000000000222e-02 8.709630769230769147e+03 4.555553846153846280e+03 0.000000000000000000e+00
7.499999999999999722e-02 7.914026666666667552e+03 3.639079999999999927e+03 0.000000000000000000e+00
8.500000000000000611e-02 6.355811764705882524e+03 3.600258823529411529e+03 0.000000000000000000e+00
9.500000000000000111e-02 5.770452631578948058e+03 3.249578947368421268e+03 0.000000000000000000e+00
1.049999999999999961e-01 5.778819047619048433e+03 3.537257142857142753e+03 0.000000000000000000e+00
1.150000000000000050e-01 4.798034782608694513e+03 1.507226086956521613e+03 0.000000000000000000e+00
1.250000000000000000e-01 4.110695999999999913e+03 1.756263999999999896e+03 0.000000000000000000e+00
1.350000000000000089e-01 3.415407407407407391e+03 9.442740740740741785e+02 0.000000000000000000e+00
1.449999999999999900e-01 3.232372413793103988e+03 1.783786206896551903e+03 0.000000000000000000e+00
1.549999999999999989e-01 3.062458064516129070e+03 1.987051612903226214e+03 0.000000000000000000e+00
1.650000000000000078e-01 2.799618181818182165e+03 1.410751515151515150e+03 0.000000000000000000e+00
1.749999999999999889e-01 2.406497142857142990e+03 7.391485714285714721e+02 0.000000000000000000e+00
1.849999999999999978e-01 2.095670270270270066e+03 3.542659459459459868e+02 0.000000000000000000e+00
1.950000000000000067e-01 2.096451282051281851e+03 6.241589743589743193e+02 0.000000000000000000e+00
2.049999999999999878e-01 1.796170731707317373e+03 5.957512195121951208e+02 0.000000000000000000e+00
2.149999999999999967e-01 1.655399999999999864e+03 8.013325581395348536e+02 0.000000000000000000e+00
2.250000000000000056e-01 1.609137777777777728e+03 7.998959999999999582e+02 0.000000000000000000e+00
2.349999999999999867e-01 1.439851063829787336e+03 6.859221276595745849e+02 0.000000000000000000e+00
2.449999999999999956e-01 1.153514285714285734e+03 4.359012244897958510e+01 0.000000000000000000e+00
2.550000000000000044e-01 1.139701960784313769e+03 1.226682352941176788e+02 0.000000000000000000e+00
2.650000000000000133e-01 1.149573584905660255e+03 4.249999999999999432e+02 0.000000000000000000e+00
2.750000000000000222e-01 9.492036363636362921e+02 5.594632727272725248e+01 0.000000000000000000e+00
2.849999999999999756e-01 1.002915789473684413e+03 2.137578947368421325e+02 0.000000000000000000e+00
2.949999999999999845e-01 9.786542372881355050e+02 4.352857627118644359e+02 0.000000000000000000e+00
