# k     P0     P2     P4
5.000000000000000104e-03 1.857534000000000015e+04 6.247848599999999351e+03 -3.496406000000000404e+03
1.499999999999999944e-02 1.891660000000000218e+04 -2.347513333333333321e+03 -1.146802933333333385e+04
2.500000000000000139e-02 1.613867999999999847e+04 -1.922439999999999600e+03 -2.382368399999999383e+03
3.500000000000000333e-02 1.103731428571428478e+04 2.530485714285714039e+03 -5.721334285714285670e+02
4.499999999999999833e-02 9.423422222222223354e+03 3.876733333333334031e+03 -2.069090666666666493e+03
5.500000000000000028e-02 8.046854545454545587e+03 3.964763636363636124e+03 -7.550305454545454040e+02
6.500000000000000222e-02 7.433215384615384210e+03 3.627246153846153902e+03 1.464491846153846154e+03
7.499999999999999722e-02 6.050720000000000255e+03 2.051253333333333558e+03 -2.911278666666667050e+02
8.500000000000000611e-02 5.309470588235292780e+03 2.255741176470588016e+03 1.810941176470588232e+02
9.500000000000000111e-02 4.358842105263158373e+03 2.131178947368421177e+03 2.775284210526315860e+02
1.049999999999999961e-01 3.761904761904761472e+03 1.680800000000000182e+03 1.184080000000000155e+02
1.150000000000000050e-01 3.164078260869564929e+03 1.413947826086956638e+03 4.555286956521738944e+02
1.250000000000000000e-01 3.033503999999999905e+03 1.451216000000000122e+03 -1.480436799999999664e+02
1.350000000000000089e-01 2.545585185185184855e+03 1.255511111111110949e+03 1.924631111111111181e+01
1.449999999999999900e-01 2.383993103448275633e+03 1.354724137931034420e+03 -3.392841379310343797e+01
1.549999999999999989e-01 2.114154838709677733e+03 8.684193548387096371e+02 4.389587096774193498e+01
1.650000000000000078e-01 1.814078787878787580e+03 8.388121212121211556e+02 3.993831515151515532e+02
1.749999999999999889e-01 1.795051428571428687e+03 7.096971428571428078e+02 5.214694857142857245e+02
1.849999999999999978e-01 1.628156756756757204e+03 9.127189189189190301e+02 7.249481081081081868e+01
1.950000000000000067e-01 1.427882051282050952e+03 5.903928205128205491e+02 4.798589743589742795e+01
2.049999999999999878e-01 1.346931707317073460e+03 6.033502439024390469e+02 2.600524390243902531e+02
2.149999999999999967e-01 1.246362790697674427e+03 5.856474418604651646e+02 4.387426976744186504e+02
2.250000000000000056e-01 1.133631111111111068e+03 3.936342222222222063e+02 1.455733333333333519e+02
2.349999999999999867e-01 1.084029787234042487e+03 5.128400000000000318e+02 2.560170212765957558e+02
2.449999999999999956e-01 9.794244897959183618e+02 4.055081632653061661e+02 1.299481632653061070e+02
2.550000000000000044e-01 9.836549019607842865e+02 3.480180392156863718e+02 2.341391372549019252e+02
2.650000000000000133e-01 8.946905660377357208e+02 1.902577358490566155e+02 -7.984113207547169111e+01
2.750000000000000222e-01 8.320690909090908463e+02 2.572596363636363321e+02 3.796312727272727017e+01
2.849999999999999756e-01 7.646000000000000227e+02 2.116782456140350916e+02 4.619224561403509455e+01
2.949999999999999845e-01 6.955254237288135073e+02 3.347864406779661408e+02 1.434525423728813678e+02
