# k     Q0     Q2     Q4
5.000000000000000104e-03 2.107447999999999956e+04 3.657920000000000528e+03 0.000000000000000000e+00
1.499999999999999944e-02 1.797753333333333649e+04 -1.084234933333333356e+04 0.000000000000000000e+00
2.500000000000000139e-02 1.536968000000000029e+04 -3.687159999999999854e+03 0.000000000000000000e+00
3.500000000000000333e-02 1.204948571428571267e+04 2.106682857142856847e+03 0.000000000000000000e+00
4.499999999999999833e-02 1.097411111111111313e+04 2.344091111111111331e+03 0.000000000000000000e+00
5.500000000000000028e-02 9.632763636363637488e+03 3.405490909090909099e+03 0.000000000000000000e+00
6.500000000000000222e-02 8.884107692307692560e+03 4.712061538461538476e+03 0.000000000000000000e+00
7.499999999999999722e-02 6.871240000000001601e+03 1.835594666666666853e+03 0.000000000000000000e+00
8.500000000000000611e-02 6.211764705882352246e+03 2.389882352941176578e+03 0.000000000000000000e+00
9.500000000000000111e-02 5.211315789473685072e+03 2.336747368421052670e+03 0.000000000000000000e+00
1.049999999999999961e-01 4.434228571428571740e+03 1.768514285714285961e+03 0.000000000000000000e+00
1.150000000000000050e-01 3.729652173913043498e+03 1.751365217391304441e+03 0.000000000000000000e+00
1.250000000000000000e-01 3.613983999999999924e+03 1.341559999999999945e+03 0.000000000000000000e+00
1.350000000000000089e-01 3.047792592592592428e+03 1.269770370370370074e+03 0.000000000000000000e+00
1.449999999999999900e-01 2.925882758620690311e+03 1.329593103448275997e+03 0.000000000000000000e+00
1.549999999999999989e-01 2.461529032258064490e+03 9.009290322580645807e+02 0.000000000000000000e+00
1.650000000000000078e-01 2.149599999999999909e+03 1.134654545454545087e+03 0.000000000000000000e+00
1.749999999999999889e-01 2.078937142857142589e+03 1.095971428571428760e+03 0.000000000000000000e+00
1.849999999999999978e-01 1.993248648648648441e+03 9.664270270270269521e+02 0.000000000000000000e+00
1.950000000000000067e-01 1.664041025641025499e+03 6.259435897435896550e+02 0.000000000000000000e+00
2.049999999999999878e-01 1.588273170731707751e+03 7.959829268292685356e+02 0.000000000000000000e+00
2.149999999999999967e-01 1.480623255813953620e+03 9.106409302325581621e+02 0.000000000000000000e+00
2.250000000000000056e-01 1.291088888888888960e+03 5.014679999999999609e+02 0.000000000000000000e+00
2.349999999999999867e-01 1.289165957446808534e+03 7.024808510638298458e+02 0.000000000000000000e+00
2.449999999999999956e-01 1.141628571428571377e+03 5.017653061224490330e+02 0.000000000000000000e+00
2.550000000000000044e-01 1.122862745098039341e+03 5.214545098039216100e+02 0.000000000000000000e+00
2.650000000000000133e-01 9.707924528301888358e+02 1.311166037735848704e+02 0.000000000000000000e+00
2.750000000000000222e-01 9.349781818181818380e+02 2.853803636363636542e+02 0.000000000000000000e+00
2.849999999999999756e-01 8.492736842105264259e+02 2.458947368421052886e+02 0.000000000000000000e+00
2.949999999999999845e-01 8.294406779661018163e+02 4.410464406779661317e+02 0.000000000000000000e+00
