# k     P0     P2     P4
5.000000000000000104e-03 7.631400000000000000e+04 6.777124599999999919e+04 4.034570399999999790e+04
1.499999999999999944e-02 5.962273333333333721e+04 1.851533333333333576e+04 1.782966666666666788e+04
2.500000000000000139e-02 4.687000000000000000e+04 2.121779999999999563e+04 3.608839999999997872e+02
3.500000000000000333e-02 4.089857142857142753e+04 1.888408571428571668e+04 5.372160857142856003e+03
4.499999999999999833e-02 3.190066666666667152e+04 1.087577777777777737e+04 1.562560000000000173e+03
5.500000000000000028e-02 2.776618181818181984e+04 9.784981818181819108e+03 2.555383636363636924e+03
6.500000000000000222e-02 2.410430769230769147e+04 9.390046153846154994e+03 4.659276923076922685e+02
7.499999999999999722e-02 2.066120000000000073e+04 6.856359999999999673e+03 -6.067413333333333867e+02
8.500000000000000611e-02 1.805988235294117840e+04 5.452564705882352428e+03 1.863919999999999845e+03
9.500000000000000111e-02 1.541231578947368507e+04 4.624294736842104612e+03 -2.177536842105263020e+02
1.049999999999999961e-01 1.298514285714285688e+04 3.953914285714286052e+03 1.985247619047618741e+02
1.150000000000000050e-01 1.150991304347826008e+04 3.932452173913043680e+03 -6.393478260869516205e+00
1.250000000000000000e-01 1.086335999999999876e+04 3.621647999999999683e+03 -6.447247999999999593e+02
1.350000000000000089e-01 9.524222222222220807e+03 3.057629629629629108e+03 -8.767111111111114496e+01
1.449999999999999900e-01 8.546482758620690220e+03 2.478882758620689856e+03 4.433668965517242100e+02
1.549999999999999989e-01 7.657290322580644897e+03 1.764012903225806667e+03 1.577561290322580589e+02
1.650000000000000078e-01 6.813090909090909008e+03 1.768551515151515332e+03 9.585969696969696088e+02
1.749999999999999889e-01 6.341257142857143663e+03 1.875319999999999936e+03 7.351308571428571668e+02
1.849999999999999978e-01 5.997891891891891646e+03 1.501016216216216208e+03 5.044556756756756499e+02
1.950000000000000067e-01 5.589794871794871142e+03 1.376938461538461524e+03 5.641251282051282487e+02
2.049999999999999878e-01 5.110731707317073415e+03 1.101712195121951254e+03 2.582175609756097288e+02
2.149999999999999967e-01 4.694730232558139505e+03 7.661441860465116633e+02 7.790506976744186431e+02
2.250000000000000056e-01 4.354164444444444598e+03 9.298755555555555929e+02 6.461026666666667779e+02
2.349999999999999867e-01 3.939970212765957967e+03 8.108212765957446209e+02 5.619689361702128281e+02
2.449999999999999956e-01 3.853612244897959044e+03 5.967714285714286007e+02 2.769191836734694334e+02
2.550000000000000044e-01 3.624431372549019670e+03 6.181411764705881069e+02 3.702964705882353087e+02
2.650000000000000133e-01 3.353720754716980991e+03 5.693622641509433606e+02 1.652230188679245089e+02
2.750000000000000222e-01 3.150767272727272484e+03 5.465127272727272612e+02 1.489970909090909004e+02
2.849999999999999756e-01 2.858477192982456472e+03 2.368505263157894660e+02 4.327645614035087647e+02
2.949999999999999845e-01 2.744938983050847582e+03 2.857786440677966198e+02 3.271250847457627629e+02
