# k     Q0     Q2     Q4
5.000000000000000104e-03 1.034224000000000087e+05 9.765704000000000815e+04 0.000000000000000000e+00
1.499999999999999944e-02 6.702893333333333430e+04 3.172253333333333649e+04 0.000000000000000000e+00
2.500000000000000139e-02 5.535679999999998836e+04 2.148515999999999622e+04 0.000000000000000000e+00
3.500000000000000333e-02 4.845228571428571013e+04 2.286342857142856883e+04 0.000000000000000000e+00
4.499999999999999833e-02 3.625066666666666424e+04 1.203324444444444634e+04 0.000000000000000000e+00
5.500000000000000028e-02 3.168018181818181984e+04 1.167783636363636288e+04 0.000000000000000000e+00
6.500000000000000222e-02 2.786030769230769147e+04 9.735169230769231945e+03 0.000000000000000000e+00
7.499999999999999722e-02 2.340373333333333358e+04 6.406920000000000073e+03 0.000000000000000000e+00
8.500000000000000611e-02 2.024082352941176214e+04 6.833247058823528278e+03 0.000000000000000000e+00
9.500000000000000111e-02 1.726200000000000000e+04 4.463000000000000000e+03 0.000000000000000000e+00
1.049999999999999961e-01 1.456666666666666788e+04 4.100980952380952658e+03 0.000000000000000000e+00
1.150000000000000050e-01 1.308304347826086814e+04 3.927704347826086632e+03 0.000000000000000000e+00
1.250000000000000000e-01 1.231207999999999993e+04 3.144072000000000116e+03 0.000000000000000000e+00
1.350000000000000089e-01 1.074725925925925912e+04 2.992696296296296168e+03 0.000000000000000000e+00
1.449999999999999900e-01 9.538000000000000000e+03 2.807310344827586960e+03 0.000000000000000000e+00
1.549999999999999989e-01 8.362903225806450791e+03 1.880864516129032154e+03 0.000000000000000000e+00
1.650000000000000078e-01 7.520545454545454959e+03 2.478612121212121110e+03 0.000000000000000000e+00
1.749999999999999889e-01 7.091371428571428623e+03 2.419862857142857138e+03 0.000000000000000000e+00
1.849999999999999978e-01 6.598270270270271794e+03 1.874686486486486501e+03 0.000000000000000000e+00
1.950000000000000067e-01 6.140564102564102541e+03 1.794805128205127858e+03 0.000000000000000000e+00
2.049999999999999878e-01 5.551463414634146829e+03 1.292980487804878294e+03 0.000000000000000000e+00
2.149999999999999967e-01 5.001209302325580211e+03 1.343223255813953529e+03 0.000000000000000000e+00
2.250000000000000056e-01 4.726133333333334122e+03 1.408475555555555502e+03 0.000000000000000000e+00
2.349999999999999867e-01 4.264297872340425783e+03 1.227097872340425283e+03 0.000000000000000000e+00
2.449999999999999956e-01 4.092314285714285688e+03 8.019020408163265756e+02 0.000000000000000000e+00
2.550000000000000044e-01 3.871686274509803752e+03 8.924392156862744514e+02 0.000000000000000000e+00
2.650000000000000133e-01 3.581464150943395907e+03 6.917509433962264893e+02 0.000000000000000000e+00
2.750000000000000222e-01 3.369370909090909208e+03 6.568799999999998818e+02 0.000000000000000000e+00
2.849999999999999756e-01 2.953217543859649595e+03 5.574175438596491858e+02 0.000000000000000000e+00
2.949999999999999845e-01 2.859250847457627515e+03 5.280915254237287400e+02 0.000000000000000000e+00
