# k     P0     P2     P4
5.000000000000000104e-03 6.668939999999999418e+04 1.487377200000000266e+04 2.499772000000000116e+04
1.499999999999999944e-02 5.915666666666667152e+04 1.364740000000000146e+04 2.378728666666666686e+04
2.500000000000000139e-02 4.910719999999999709e+04 4.214539999999999054e+03 2.477191280000000006e+03
3.500000000000000333e-02 3.631114285714284779e+04 7.508514285714283687e+03 -7.710844457142855390e+03
4.499999999999999833e-02 2.975266666666666424e+04 1.249455555555555657e+04 4.237864444444444416e+03
5.500000000000000028e-02 2.605654545454545223e+04 1.007800000000000000e+04 5.463849090909091501e+03
6.500000000000000222e-02 2.157984615384615245e+04 8.416461538461537202e+03 -1.718446153846153493e+03
7.499999999999999722e-02 2.001920000000000073e+04 7.857026666666665733e+03 4.548360000000000696e+02
8.500000000000000611e-02 1.711011764705882160e+04 6.434211764705882160e+03 3.584936470588235352e+03
9.500000000000000111e-02 1.410126315789473483e+04 5.288094736842104794e+03 3.643372631578947676e+03
1.049999999999999961e-01 1.208980952380952476e+04 4.984380952380954113e+03 8.472200000000000273e+02
1.150000000000000050e-01 1.109026086956521613e+04 4.417947826086956411e+03 7.288556521739129721e+02
1.250000000000000000e-01 1.025888000000000102e+04 2.844168000000000120e+03 9.376895999999999276e+02
1.350000000000000089e-01 8.967925925925923366e+03 2.967488888888889051e+03 -2.487533333333333019e+02
1.449999999999999900e-01 7.853793103448276270e+03 2.124668965517241759e+03 1.318310344827586107e+02
1.549999999999999989e-01 7.265161290322580498e+03 2.061032258064516554e+03 1.313328387096774122e+03
1.650000000000000078e-01 6.270484848484848953e+03 1.578569696969696906e+03 5.682200000000000273e+02
1.749999999999999889e-01 5.912742857142856337e+03 1.364800000000000182e+03 4.531411428571428814e+02
1.849999999999999978e-01 5.515891891891892556e+03 1.452632432432432552e+03 -2.392199999999999349e+01
1.950000000000000067e-01 5.043266666666666424e+03 1.026758974358974228e+03 -1.573656410256409970e+02
2.049999999999999878e-01 4.786682926829268581e+03 1.053424390243902508e+03 1.922131707317073221e+02
2.149999999999999967e-01 4.454190697674418516e+03 5.035953488372094284e+02 2.953981395348837395e+02
2.250000000000000056e-01 4.137951111111110549e+03 5.484577777777777783e+02 3.689306666666666388e+02
2.349999999999999867e-01 3.915051063829787381e+03 5.891489361702127781e+02 -3.901468085106380812e+01
2.449999999999999956e-01 3.597893877551020068e+03 7.761224489795919226e+02 7.545510204081633674e+02
2.550000000000000044e-01 3.454337254901960932e+03 7.961764705882352473e+02 1.615733333333332666e+01
2.650000000000000133e-01 3.269962264150943611e+03 3.886649056603773715e+02 6.259411320754717281e+02
2.750000000000000222e-01 3.046447272727272775e+03 2.510374545454544943e+02 5.426134545454546014e+02
2.849999999999999756e-01 2.786603508771930137e+03 2.951329824561404394e+02 4.151224561403508915e+02
2.949999999999999845e-01 2.602735593220339069e+03 1.049674576271186766e+02 2.890230508474576823e+02
