# k     Q0     Q2     Q4
5.000000000000000104e-03 7.263900000000000000e+04 3.339055999999999767e+04 0.000000000000000000e+00
1.499999999999999944e-02 6.461560000000000582e+04 3.126766666666666788e+04 0.000000000000000000e+00
2.500000000000000139e-02 5.079319999999999709e+04 6.049471999999998843e+03 0.000000000000000000e+00
3.500000000000000333e-02 3.931428571428571740e+04 1.796775142857141191e+03 0.000000000000000000e+00
4.499999999999999833e-02 3.475022222222222626e+04 1.563371111111110986e+04 0.000000000000000000e+00
5.500000000000000028e-02 3.008800000000000000e+04 1.412529090909091065e+04 0.000000000000000000e+00
6.500000000000000222e-02 2.494646153846153902e+04 7.143538461538460069e+03 0.000000000000000000e+00
7.499999999999999722e-02 2.316213333333333503e+04 8.193946666666666715e+03 0.000000000000000000e+00
8.500000000000000611e-02 1.968388235294117476e+04 9.089705882352940534e+03 0.000000000000000000e+00
9.500000000000000111e-02 1.621642105263157828e+04 7.986894736842104976e+03 0.000000000000000000e+00
1.049999999999999961e-01 1.408361904761904589e+04 5.611961904761904407e+03 0.000000000000000000e+00
1.150000000000000050e-01 1.285739130434782419e+04 4.957826086956521067e+03 0.000000000000000000e+00
1.250000000000000000e-01 1.139664000000000124e+04 3.538744000000000142e+03 0.000000000000000000e+00
1.350000000000000089e-01 1.015496296296296168e+04 2.783237037037037226e+03 0.000000000000000000e+00
1.449999999999999900e-01 8.703586206896552540e+03 2.222317241379310417e+03 0.000000000000000000e+00
1.549999999999999989e-01 8.089612903225806804e+03 3.033864516129032381e+03 0.000000000000000000e+00
1.650000000000000078e-01 6.901939393939393085e+03 1.999472727272727298e+03 0.000000000000000000e+00
1.749999999999999889e-01 6.458628571428571377e+03 1.700468571428571522e+03 0.000000000000000000e+00
1.849999999999999978e-01 6.096864864864865012e+03 1.434918918918918735e+03 0.000000000000000000e+00
1.950000000000000067e-01 5.453948717948718695e+03 9.102000000000000455e+02 0.000000000000000000e+00
2.049999999999999878e-01 5.208048780487805743e+03 1.195799999999999955e+03 0.000000000000000000e+00
2.149999999999999967e-01 4.655632558139534922e+03 7.224046511627906284e+02 0.000000000000000000e+00
2.250000000000000056e-01 4.357333333333333940e+03 8.217377777777777510e+02 0.000000000000000000e+00
2.349999999999999867e-01 4.150710638297872720e+03 5.602468085106384024e+02 0.000000000000000000e+00
2.449999999999999956e-01 3.908342857142857156e+03 1.335044897959183800e+03 0.000000000000000000e+00
2.550000000000000044e-01 3.772807843137254622e+03 8.081450980392156680e+02 0.000000000000000000e+00
2.650000000000000133e-01 3.425430188679245020e+03 8.523283018867923602e+02 0.000000000000000000e+00
2.750000000000000222e-01 3.146861818181817853e+03 6.529709090909090037e+02 0.000000000000000000e+00
2.849999999999999756e-01 2.904656140350877649e+03 6.026280701754386655e+02 0.000000000000000000e+00
2.949999999999999845e-01 2.644722033898304744e+03 3.190555932203390057e+02 0.000000000000000000e+00
