# k     P0     P2     P4
5.000000000000000104e-03 9.272500000000000000e+03 -3.179519999999999982e+03 -1.144850000000000000e+04
1.499999999999999944e-02 1.930066666666666788e+04 -2.380000000000000455e+03 -2.139266666666666788e+04
2.500000000000000139e-02 1.689059999999999854e+04 1.149471999999999935e+04 -1.105311999999999898e+04
3.500000000000000333e-02 1.563999999999999818e+04 1.941199999999999591e+03 1.606859999999999900e+03
4.499999999999999833e-02 1.171508888888888941e+04 1.801928888888888878e+03 3.270066666666666606e+03
5.500000000000000028e-02 8.299963636363636397e+03 1.492000000000000000e+03 -4.041636363636363285e+02
6.500000000000000222e-02 7.083169230769231035e+03 3.044415384615384482e+03 4.995600000000000023e+02
7.499999999999999722e-02 6.561786666666666861e+03 2.661253333333333558e+03 2.223093333333333703e+02
8.500000000000000611e-02 5.164552941176470085e+03 2.448611764705882251e+03 7.331976470588234633e+02
9.500000000000000111e-02 4.625399999999999636e+03 2.462926315789473847e+03 4.618631578947368439e+02
1.049999999999999961e-01 4.416304761904762017e+03 3.098085714285714403e+03 1.227200000000000131e+02
1.150000000000000050e-01 3.993843478260869233e+03 1.749860869565217399e+03 -7.178617391304347848e+02
1.250000000000000000e-01 3.320360000000000127e+03 1.770200000000000045e+03 -3.208568000000000211e+02
1.350000000000000089e-01 2.978903703703703286e+03 9.206592592592592155e+02 -2.296459259259258943e+02
1.449999999999999900e-01 2.583793103448275815e+03 1.471206896551724185e+03 1.946496551724138158e+02
1.549999999999999989e-01 2.338180645161290158e+03 1.688122580645161179e+03 2.241212903225806201e+02
1.650000000000000078e-01 2.151442424242424295e+03 1.514709090909090719e+03 -3.013012121212121315e+02
1.749999999999999889e-01 1.969611428571428860e+03 9.973200000000000500e+02 -4.853028571428571354e+02
1.849999999999999978e-01 1.846167567567567630e+03 5.457621621621620989e+02 -3.782010810810810995e+02
1.950000000000000067e-01 1.837420512820512840e+03 5.790102564102563747e+02 -3.909682051282050708e+01
2.049999999999999878e-01 1.571131707317073278e+03 4.949219512195122661e+02 3.831239024390244197e+01
2.149999999999999967e-01 1.376079069767441979e+03 6.415441860465115269e+02 1.305939534883721080e+02
2.250000000000000056e-01 1.354382222222222254e+03 5.867999999999999545e+02 2.153848888888888666e+02
2.349999999999999867e-01 1.195340425531914889e+03 5.591404255319149570e+02 1.002259574468085219e+02
2.449999999999999956e-01 1.099379591836734789e+03 8.546938775510204778e+01 -1.259661224489795899e+02
2.550000000000000044e-01 1.046909803921568482e+03 1.929411764705882320e+02 -1.533521568627450904e+02
2.650000000000000133e-01 9.769056603773584584e+02 3.915698113207546953e+02 -1.033479245283018777e+01
2.750000000000000222e-01 8.749236363636363194e+02 1.510120000000000005e+02 -1.772450909090909192e+02
2.849999999999999756e-01 8.858877192982457700e+02 2.589221052631579028e+02 -1.089280701754386058e+02
2.949999999999999845e-01 8.105423728813560729e+02 3.912677966101695120e+02 2.124308474576271166e+01
