# k     Q0     Q2     Q4
5.000000000000000104e-03 8.000679999999999382e+03 -1.165989999999999964e+04 0.000000000000000000e+00
1.499999999999999944e-02 1.834873333333333358e+04 -1.822646666666666715e+04 0.000000000000000000e+00
2.500000000000000139e-02 2.148847999999999956e+04 3.307219999999999800e+03 0.000000000000000000e+00
3.500000000000000333e-02 1.641648571428571086e+04 3.131457142857142571e+03 0.000000000000000000e+00
4.499999999999999833e-02 1.243586666666666861e+04 4.224199999999999818e+03 0.000000000000000000e+00
5.500000000000000028e-02 8.896763636363635669e+03 1.192619999999999891e+03 0.000000000000000000e+00
6.500000000000000222e-02 8.300938461538462434e+03 3.414461538461538112e+03 0.000000000000000000e+00
7.499999999999999722e-02 7.626293333333333067e+03 2.825920000000000073e+03 0.000000000000000000e+00
8.500000000000000611e-02 6.143988235294117658e+03 2.991717647058823331e+03 0.000000000000000000e+00
9.500000000000000111e-02 5.610568421052631493e+03 2.805052631578947512e+03 0.000000000000000000e+00
1.049999999999999961e-01 5.655533333333333758e+03 3.188990476190476329e+03 0.000000000000000000e+00
1.150000000000000050e-01 4.693782608695652016e+03 1.218113043478260806e+03 0.000000000000000000e+00
1.250000000000000000e-01 4.028440000000000055e+03 1.532528000000000020e+03 0.000000000000000000e+00
1.350000000000000089e-01 3.347162962962962865e+03 7.505555555555555429e+02 0.000000000000000000e+00
1.449999999999999900e-01 3.172275862068966035e+03 1.615393103448275951e+03 0.000000000000000000e+00
1.549999999999999989e-01 3.013425806451612971e+03 1.854135483870967846e+03 0.000000000000000000e+00
1.650000000000000078e-01 2.757321212121212284e+03 1.291521212121212102e+03 0.000000000000000000e+00
1.749999999999999889e-01 2.368537142857142953e+03 6.378342857142856701e+02 0.000000000000000000e+00
1.849999999999999978e-01 2.064475675675675575e+03 2.656118918918919007e+02 0.000000000000000000e+00
1.950000000000000067e-01 2.069025641025640653e+03 5.500512820512821008e+02 0.000000000000000000e+00
2.049999999999999878e-01 1.769097560975609895e+03 5.232975609756097128e+02 0.000000000000000000e+00
2.149999999999999967e-01 1.632697674418604493e+03 7.382837209302325618e+02 0.000000000000000000e+00
2.250000000000000056e-01 1.589102222222222281e+03 7.463466666666666924e+02 0.000000000000000000e+00
2.349999999999999867e-01 1.418995744680851203e+03 6.333829787234043351e+02 0.000000000000000000e+00
2.449999999999999956e-01 1.133567346938775472e+03 -7.838857142857142968e+00 0.000000000000000000e+00
2.550000000000000044e-01 1.124086274509803843e+03 7.934705882352940876e+01 0.000000000000000000e+00
2.650000000000000133e-01 1.133535849056603638e+03 3.839132075471697476e+02 0.000000000000000000e+00
2.750000000000000222e-01 9.353272727272725433e+02 1.971941818181818107e+01 0.000000000000000000e+00
2.849999999999999756e-01 9.894561403508772628e+02 1.782347368421052920e+02 0.000000000000000000e+00
2.949999999999999845e-01 9.670474576271186606e+02 4.070033898305085245e+02 0.000000000000000000e+00
