# k     P0     P2     P4
5.000000000000000104e-03 1.591639999999999782e+04 9.202859999999999729e+01 -6.322559999999999491e+03
1.499999999999999944e-02 1.706593333333333430e+04 -7.207066666666666606e+03 -1.488660000000000036e+04
2.500000000000000139e-02 1.520019999999999891e+04 -4.588960000000000036e+03 -5.052919999999999163e+03
3.500000000000000333e-02 1.051791428571428514e+04 1.030200000000000045e+03 -2.185460000000000036e+03
4.499999999999999833e-02 9.119022222222221899e+03 2.972666666666666970e+03 -3.101311111111111131e+03
5.500000000000000028e-02 7.854800000000000182e+03 3.375490909090908644e+03 -1.464220000000000027e+03
6.500000000000000222e-02 7.297199999999999818e+03 3.221092307692307713e+03 9.663323076923076087e+02
7.499999999999999722e-02 5.954893333333333430e+03 1.749640000000000327e+03 -6.569719999999999800e+02
8.500000000000000611e-02 5.241388235294117294e+03 2.040023529411764457e+03 -9.038705882352940080e+01
9.500000000000000111e-02 4.306442105263157828e+03 1.967231578947368462e+03 6.780621052631578038e+01
1.049999999999999961e-01 3.722190476190476147e+03 1.551666666666666742e+03 -4.365657142857143214e+01
1.150000000000000050e-01 3.129043478260869051e+03 1.307052173913043589e+03 3.170452173913043339e+02
1.250000000000000000e-01 3.004903999999999996e+03 1.363872000000000071e+03 -2.592063999999999737e+02
1.350000000000000089e-01 2.519340740740740330e+03 1.178666666666666515e+03 -6.968148148148148380e+01
1.449999999999999900e-01 2.361282758620689947e+03 1.289558620689655299e+03 -1.127041379310344809e+02
1.549999999999999989e-01 2.096309677419355012e+03 8.135741935483871430e+02 -2.117309677419354585e+01
1.650000000000000078e-01 1.798781818181817926e+03 7.898363636363636715e+02 3.400442424242424408e+02
1.749999999999999889e-01 1.781417142857142835e+03 6.679942857142857520e+02 4.687988571428571731e+02
1.849999999999999978e-01 1.616340540540540587e+03 8.772324324324324607e+02 2.745437837837837947e+01
1.950000000000000067e-01 1.416471794871794827e+03 5.576820512820512477e+02 5.129179487179486685e+00
2.049999999999999878e-01 1.336887804878048883e+03 5.746585365853659368e+02 2.235190243902439136e+02
2.149999999999999967e-01 1.237209302325581348e+03 5.614744186046511913e+02 4.081641860465116451e+02
2.250000000000000056e-01 1.125279999999999973e+03 3.695431111111111022e+02 1.145191111111111013e+02
2.349999999999999867e-01 1.076940425531914798e+03 4.928638297872340672e+02 2.279970212765957740e+02
2.449999999999999956e-01 9.723959183673468942e+02 3.862620408163265893e+02 1.028971428571428675e+02
2.550000000000000044e-01 9.776588235294117339e+02 3.301729411764706015e+02 2.111760784313725310e+02
2.650000000000000133e-01 8.887433962264150296e+02 1.747139622641509220e+02 -1.000139622641509334e+02
2.750000000000000222e-01 8.267236363636362739e+02 2.432349090909090705e+02 2.213730909090908838e+01
2.849999999999999756e-01 7.597649122807017648e+02 1.991459649122807036e+02 2.901329824561403470e+01
2.949999999999999845e-01 6.912745762711864472e+02 3.230861016949152713e+02 1.266800000000000210e+02
