# k     Q0     Q2     Q4
5.000000000000000104e-03 1.595321999999999935e+04 -4.591340000000000146e+03 0.000000000000000000e+00
1.499999999999999944e-02 1.418306666666666752e+04 -1.823413333333333503e+04 0.000000000000000000e+00
2.500000000000000139e-02 1.336460000000000036e+04 -8.331879999999999200e+03 0.000000000000000000e+00
3.500000000000000333e-02 1.092997142857142717e+04 -5.886599999999999682e+02 0.000000000000000000e+00
4.499999999999999833e-02 1.030808888888888941e+04 6.754022222222222354e+02 0.000000000000000000e+00
5.500000000000000028e-02 9.205000000000000000e+03 2.290890909090909190e+03 0.000000000000000000e+00
6.500000000000000222e-02 8.585646153846153538e+03 3.936907692307692287e+03 0.000000000000000000e+00
7.499999999999999722e-02 6.654746666666666897e+03 1.262994666666666717e+03 0.000000000000000000e+00
8.500000000000000611e-02 6.057399999999999636e+03 1.973070588235294053e+03 0.000000000000000000e+00
9.500000000000000111e-02 5.093336842105263713e+03 2.017452631578947148e+03 0.000000000000000000e+00
1.049999999999999961e-01 4.342857142857143117e+03 1.519333333333333485e+03 0.000000000000000000e+00
1.150000000000000050e-01 3.651860869565217399e+03 1.541895652173913049e+03 0.000000000000000000e+00
1.250000000000000000e-01 3.550447999999999865e+03 1.171864000000000033e+03 0.000000000000000000e+00
1.350000000000000089e-01 2.990807407407407482e+03 1.127051851851851779e+03 0.000000000000000000e+00
1.449999999999999900e-01 2.877103448275862320e+03 1.206075862068965534e+03 0.000000000000000000e+00
1.549999999999999989e-01 2.421741935483871202e+03 7.978903225806451474e+02 0.000000000000000000e+00
1.650000000000000078e-01 2.114715151515151319e+03 1.041721212121211920e+03 0.000000000000000000e+00
1.749999999999999889e-01 2.048617142857142881e+03 1.015251428571428733e+03 0.000000000000000000e+00
1.849999999999999978e-01 1.967232432432432461e+03 8.975729729729729343e+02 0.000000000000000000e+00
1.950000000000000067e-01 1.639543589743589791e+03 5.614820512820513159e+02 0.000000000000000000e+00
2.049999999999999878e-01 1.566751219512195348e+03 7.402292682926830594e+02 0.000000000000000000e+00
2.149999999999999967e-01 1.461799999999999955e+03 8.638186046511627865e+02 0.000000000000000000e+00
2.250000000000000056e-01 1.273097777777777765e+03 4.543733333333332780e+02 0.000000000000000000e+00
2.349999999999999867e-01 1.274085106382978893e+03 6.617489361702128008e+02 0.000000000000000000e+00
2.449999999999999956e-01 1.126897959183673493e+03 4.624816326530612400e+02 0.000000000000000000e+00
2.550000000000000044e-01 1.109729411764705901e+03 4.865999999999999659e+02 0.000000000000000000e+00
2.650000000000000133e-01 9.586264150943395634e+02 1.006294339622641445e+02 0.000000000000000000e+00
2.750000000000000222e-01 9.240181818181816880e+02 2.596330909090909245e+02 0.000000000000000000e+00
2.849999999999999756e-01 8.394245614035088465e+02 2.206371929824561562e+02 0.000000000000000000e+00
2.949999999999999845e-01 8.205084745762712828e+02 4.169220338983051306e+02 0.000000000000000000e+00
