# k     P0     P2     P4
5.000000000000000104e-03 7.493419999999999709e+04 6.242559999999999854e+04 3.538959999999999854e+04
1.499999999999999944e-02 5.905966666666666424e+04 1.585480000000000109e+04 1.395739999999999964e+04
2.500000000000000139e-02 4.668479999999999563e+04 2.012479999999999927e+04 -1.332519999999999982e+03
3.500000000000000333e-02 4.078257142857142753e+04 1.843551428571428551e+04 4.557799999999999272e+03
4.499999999999999833e-02 3.184311111111111313e+04 1.066860000000000036e+04 1.207880000000000109e+03
5.500000000000000028e-02 2.774509090909090810e+04 9.655418181818182347e+03 2.330454545454545496e+03
6.500000000000000222e-02 2.408061538461538294e+04 9.325415384615385847e+03 3.245092307692307259e+02
7.499999999999999722e-02 2.064466666666666788e+04 6.788640000000000327e+03 -6.762560000000000855e+02
8.500000000000000611e-02 1.804905882352941262e+04 5.423423529411764321e+03 1.817847058823529323e+03
9.500000000000000111e-02 1.541105263157894660e+04 4.589294736842105522e+03 -2.536926315789473563e+02
1.049999999999999961e-01 1.298628571428571377e+04 3.947847619047618991e+03 1.474409523809523819e+02
1.150000000000000050e-01 1.150947826086956411e+04 3.930808695652173810e+03 -4.246913043478260619e+01
1.250000000000000000e-01 1.086887999999999920e+04 3.613536000000000058e+03 -6.751839999999999691e+02
1.350000000000000089e-01 9.518370370370370438e+03 3.056199999999999818e+03 -9.379481481481481353e+01
1.449999999999999900e-01 8.542620689655173919e+03 2.485006896551724367e+03 4.374951724137931137e+02
1.549999999999999989e-01 7.656967741935483900e+03 1.766109677419354966e+03 1.630451612903225680e+02
1.650000000000000078e-01 6.816060606060606005e+03 1.759121212121212011e+03 9.582545454545453367e+02
1.749999999999999889e-01 6.341200000000000728e+03 1.861377142857142871e+03 7.171028571428571468e+02
1.849999999999999978e-01 5.995405405405405872e+03 1.503362162162162349e+03 4.923199999999999932e+02
1.950000000000000067e-01 5.589179487179487296e+03 1.385241025641025772e+03 5.550410256410256125e+02
2.049999999999999878e-01 5.108390243902439579e+03 1.101580487804878203e+03 2.560180487804877885e+02
2.149999999999999967e-01 4.697302325581395053e+03 7.688837209302325846e+02 7.816790697674418880e+02
2.250000000000000056e-01 4.356559999999999491e+03 9.305599999999999454e+02 6.484711111111110995e+02
2.349999999999999867e-01 3.941659574468085339e+03 8.162851063829787108e+02 5.597361702127660692e+02
2.449999999999999956e-01 3.851751020408163185e+03 6.014530612244898293e+02 2.808697959183674016e+02
2.550000000000000044e-01 3.624549019607843093e+03 6.217490196078431381e+02 3.651921568627450938e+02
2.650000000000000133e-01 3.353071698113207276e+03 5.711660377358490450e+02 1.667449056603773272e+02
2.750000000000000222e-01 3.149879999999999654e+03 5.478327272727271975e+02 1.444039999999999964e+02
2.849999999999999756e-01 2.857270175438596652e+03 2.392259649122807161e+02 4.313649122807017875e+02
2.949999999999999845e-01 2.742179661016949467e+03 2.895108474576271078e+02 3.192901694915254325e+02
