# k     Q0     Q2     Q4
5.000000000000000104e-03 9.990439999999999418e+04 8.864019999999999709e+04 0.000000000000000000e+00
1.499999999999999944e-02 6.540160000000000582e+04 2.619360000000000218e+04 0.000000000000000000e+00
2.500000000000000139e-02 5.473479999999999563e+04 1.913775999999999840e+04 0.000000000000000000e+00
3.500000000000000333e-02 4.815685714285713766e+04 2.181162857142856956e+04 0.000000000000000000e+00
4.499999999999999833e-02 3.611044444444444525e+04 1.156333333333333394e+04 0.000000000000000000e+00
5.500000000000000028e-02 3.160727272727272793e+04 1.138167272727272575e+04 0.000000000000000000e+00
6.500000000000000222e-02 2.781076923076923049e+04 9.565800000000001091e+03 0.000000000000000000e+00
7.499999999999999722e-02 2.336013333333333503e+04 6.287706666666666933e+03 0.000000000000000000e+00
8.500000000000000611e-02 2.021835294117646845e+04 6.769976470588234406e+03 0.000000000000000000e+00
9.500000000000000111e-02 1.724684210526315655e+04 4.401368421052631675e+03 0.000000000000000000e+00
1.049999999999999961e-01 1.456542857142857065e+04 4.057066666666667061e+03 0.000000000000000000e+00
1.150000000000000050e-01 1.308182608695652198e+04 3.899347826086956502e+03 0.000000000000000000e+00
1.250000000000000000e-01 1.231431999999999971e+04 3.113400000000000091e+03 0.000000000000000000e+00
1.350000000000000089e-01 1.074081481481481387e+04 2.986725925925925822e+03 0.000000000000000000e+00
1.449999999999999900e-01 9.536620689655172100e+03 2.809082758620689674e+03 0.000000000000000000e+00
1.549999999999999989e-01 8.363419354838708387e+03 1.886883870967741814e+03 0.000000000000000000e+00
1.650000000000000078e-01 7.519757575757575069e+03 2.468933333333333394e+03 0.000000000000000000e+00
1.749999999999999889e-01 7.085771428571429169e+03 2.392565714285714421e+03 0.000000000000000000e+00
1.849999999999999978e-01 6.596756756756757568e+03 1.868043243243243296e+03 0.000000000000000000e+00
1.950000000000000067e-01 6.143282051282051725e+03 1.796379487179487114e+03 0.000000000000000000e+00
2.049999999999999878e-01 5.549024390243902417e+03 1.291224390243902690e+03 0.000000000000000000e+00
2.149999999999999967e-01 5.004883720930232812e+03 1.347906976744186068e+03 0.000000000000000000e+00
2.250000000000000056e-01 4.728800000000000182e+03 1.410911111111111040e+03 0.000000000000000000e+00
2.349999999999999867e-01 4.268170212765957331e+03 1.230906382978723286e+03 0.000000000000000000e+00
2.449999999999999956e-01 4.092326530612244824e+03 8.095061224489796814e+02 0.000000000000000000e+00
2.550000000000000044e-01 3.873250980392156634e+03 8.922627450980392041e+02 0.000000000000000000e+00
2.650000000000000133e-01 3.581535849056603638e+03 6.946830188679244884e+02 0.000000000000000000e+00
2.750000000000000222e-01 3.369014545454545441e+03 6.547999999999999545e+02 0.000000000000000000e+00
2.849999999999999756e-01 2.952961403508772491e+03 5.587578947368422178e+02 0.000000000000000000e+00
2.949999999999999845e-01 2.857983050847457889e+03 5.260237288135592735e+02 0.000000000000000000e+00
