# k     P0     P2     P4
5.000000000000000104e-03 6.467759999999999127e+04 7.480320000000000618e+03 1.850000000000000000e+04
1.499999999999999944e-02 5.830900000000000000e+04 9.784933333333334303e+03 1.871680000000000291e+04
2.500000000000000139e-02 4.869680000000000291e+04 2.635179999999999382e+03 -1.018872000000000000e+01
3.500000000000000333e-02 3.611742857142856519e+04 6.776114285714284961e+03 -9.010028571428571013e+03
4.499999999999999833e-02 2.967288888888889051e+04 1.202488888888888869e+04 3.554733333333333121e+03
5.500000000000000028e-02 2.601981818181818016e+04 9.839345454545455141e+03 4.946545454545454959e+03
6.500000000000000222e-02 2.155753846153846098e+04 8.253553846153845370e+03 -1.964584615384615290e+03
7.499999999999999722e-02 1.999853333333333649e+04 7.754000000000000000e+03 2.876200000000000045e+02
8.500000000000000611e-02 1.710670588235294053e+04 6.367705882352940534e+03 3.439247058823529187e+03
9.500000000000000111e-02 1.410105263157894660e+04 5.217210526315789139e+03 3.587726315789473574e+03
1.049999999999999961e-01 1.207580952380952476e+04 4.931895238095238710e+03 7.772685714285714766e+02
1.150000000000000050e-01 1.108539130434782419e+04 4.401304347826086996e+03 6.882852173913042861e+02
1.250000000000000000e-01 1.026207999999999993e+04 2.828880000000000109e+03 9.004560000000000173e+02
1.350000000000000089e-01 8.963703703703702558e+03 2.947037037037036953e+03 -3.170977777777777646e+02
1.449999999999999900e-01 7.855448275862068840e+03 2.101206896551724185e+03 1.159496551724137987e+02
1.549999999999999989e-01 7.267806451612903402e+03 2.042270967741935692e+03 1.283761290322580635e+03
1.650000000000000078e-01 6.269878787878787080e+03 1.564721212121211920e+03 5.372078787878788262e+02
1.749999999999999889e-01 5.910457142857142571e+03 1.355417142857143062e+03 4.456800000000000068e+02
1.849999999999999978e-01 5.517567567567567494e+03 1.438108108108108127e+03 -2.697551351351351556e+01
1.950000000000000067e-01 5.044471794871795282e+03 1.009569230769230785e+03 -1.652907692307692002e+02
2.049999999999999878e-01 4.788580487804878430e+03 1.042600000000000136e+03 1.699160975609756008e+02
2.149999999999999967e-01 4.450390697674418334e+03 5.001953488372093375e+02 2.700772093023255707e+02
2.250000000000000056e-01 4.139368888888888250e+03 5.392799999999999727e+02 3.569248888888888587e+02
2.349999999999999867e-01 3.913378723404255652e+03 5.790468085106383569e+02 -4.200191489361702679e+01
2.449999999999999956e-01 3.599979591836734926e+03 7.715469387755101707e+02 7.411918367346939931e+02
2.550000000000000044e-01 3.454368627450980512e+03 7.906666666666666288e+02 1.242321568627451001e+01
2.650000000000000133e-01 3.271490566037735789e+03 3.769328301886792474e+02 6.275584905660376762e+02
2.750000000000000222e-01 3.046290909090908826e+03 2.464010909090908967e+02 5.355636363636363058e+02
2.849999999999999756e-01 2.786140350877193214e+03 2.985961403508772491e+02 4.001157894736842309e+02
2.949999999999999845e-01 2.602200000000000273e+03 9.845118644067797220e+01 2.985389830508474915e+02
