# k     Q0     Q2     Q4
5.000000000000000104e-03 6.766980000000000291e+04 2.118400000000000000e+04 0.000000000000000000e+00
1.499999999999999944e-02 6.222300000000000728e+04 2.364926666666666642e+04 0.000000000000000000e+00
2.500000000000000139e-02 4.975079999999999563e+04 2.627631999999999607e+03 0.000000000000000000e+00
3.500000000000000333e-02 3.882771428571428260e+04 1.020037142857142669e+02 0.000000000000000000e+00
4.499999999999999833e-02 3.448266666666667152e+04 1.465802222222222190e+04 0.000000000000000000e+00
5.500000000000000028e-02 2.995563636363636397e+04 1.350345454545454595e+04 0.000000000000000000e+00
6.500000000000000222e-02 2.485907692307692196e+04 6.798307692307691468e+03 0.000000000000000000e+00
7.499999999999999722e-02 2.310013333333333503e+04 7.967053333333333285e+03 0.000000000000000000e+00
8.500000000000000611e-02 1.965376470588234952e+04 8.915294117647057647e+03 0.000000000000000000e+00
9.500000000000000111e-02 1.618789473684210498e+04 7.874789473684210861e+03 0.000000000000000000e+00
1.049999999999999961e-01 1.404857142857142753e+04 5.507657142857142389e+03 0.000000000000000000e+00
1.150000000000000050e-01 1.284591304347826008e+04 4.911139130434781691e+03 0.000000000000000000e+00
1.250000000000000000e-01 1.139368000000000029e+04 3.495880000000000109e+03 0.000000000000000000e+00
1.350000000000000089e-01 1.014251851851851825e+04 2.712155555555555566e+03 0.000000000000000000e+00
1.449999999999999900e-01 8.695931034482759060e+03 2.187096551724138408e+03 0.000000000000000000e+00
1.549999999999999989e-01 8.084709677419356012e+03 2.993206451612903038e+03 0.000000000000000000e+00
1.650000000000000078e-01 6.895818181818181074e+03 1.962654545454545541e+03 0.000000000000000000e+00
1.749999999999999889e-01 6.452571428571429351e+03 1.685554285714285697e+03 0.000000000000000000e+00
1.849999999999999978e-01 6.092810810810810835e+03 1.418129729729729661e+03 0.000000000000000000e+00
1.950000000000000067e-01 5.448307692307692378e+03 8.871333333333333258e+02 0.000000000000000000e+00
2.049999999999999878e-01 5.205609756097561331e+03 1.168463414634146375e+03 0.000000000000000000e+00
2.149999999999999967e-01 4.650469767441860313e+03 7.002511627906976628e+02 0.000000000000000000e+00
2.250000000000000056e-01 4.355079999999999927e+03 8.036666666666666288e+02 0.000000000000000000e+00
2.349999999999999867e-01 4.145000000000000000e+03 5.479319148936170905e+02 0.000000000000000000e+00
2.449999999999999956e-01 3.908599999999999909e+03 1.320575510204081638e+03 0.000000000000000000e+00
2.550000000000000044e-01 3.770635294117646936e+03 7.998705882352941217e+02 0.000000000000000000e+00
2.650000000000000133e-01 3.422264150943396089e+03 8.417924528301886085e+02 0.000000000000000000e+00
2.750000000000000222e-01 3.144850909090908772e+03 6.431127272727271702e+02 0.000000000000000000e+00
2.849999999999999756e-01 2.905578947368421268e+03 5.949789473684210179e+02 0.000000000000000000e+00
2.949999999999999845e-01 2.641579661016949103e+03 3.195911864406779728e+02 0.000000000000000000e+00
