# k     P0     P2     P4
5.000000000000000104e-03 -2.475519999999999982e+03 -8.373099999999998545e+03 1.254579999999999927e+04
1.499999999999999944e-02 2.684806666666666933e+04 1.622400000000000182e+04 -3.746333333333333576e+04
2.500000000000000139e-02 3.147191999999999825e+04 2.644851999999999680e+04 -1.514931999999999971e+04
3.500000000000000333e-02 3.116114285714285870e+04 1.167719999999999891e+04 2.859171428571428351e+03
4.499999999999999833e-02 1.851108888888889123e+04 5.461000000000000000e+03 9.846666666666667425e+02
5.500000000000000028e-02 1.374970909090909117e+04 1.896054545454545405e+03 -7.391418181818182347e+03
6.500000000000000222e-02 1.424010769230769074e+04 6.465430769230768419e+03 1.594153846153846189e+03
7.499999999999999722e-02 1.233700000000000000e+04 5.886026666666666642e+03 -2.962213333333333594e+03
8.500000000000000611e-02 9.454988235294116748e+03 4.149705882352941444e+03 3.202823529411764412e+03
9.500000000000000111e-02 7.838252631578947330e+03 5.774547368421052852e+03 3.010294736842105522e+03
1.049999999999999961e-01 6.961485714285714494e+03 5.130266666666666424e+03 2.966485714285714494e+03
1.150000000000000050e-01 6.067452173913042316e+03 4.479686956521738466e+03 7.633156521739131506e+01
1.250000000000000000e-01 5.744912000000000262e+03 2.473943999999999960e+03 4.721943999999999733e+02
1.350000000000000089e-01 5.802348148148147629e+03 2.685088888888888960e+03 -1.483659259259259215e+02
1.449999999999999900e-01 4.876082758620690583e+03 1.397268965517241668e+03 -1.801979310344827638e+02
1.549999999999999989e-01 4.364858064516129161e+03 2.113980645161290340e+03 -3.968309677419354671e+02
1.650000000000000078e-01 3.764527272727272702e+03 1.169539393939393904e+03 -3.131187878787878844e+02
1.749999999999999889e-01 3.692028571428571922e+03 1.359080000000000155e+03 3.497160000000000082e+02
1.849999999999999978e-01 2.803918918918919189e+03 1.098400000000000091e+03 4.852081081081080924e+02
1.950000000000000067e-01 2.806820512820513159e+03 1.074620512820512658e+03 1.826620512820512658e+03
2.049999999999999878e-01 2.593912195121951299e+03 9.384146341463415411e+02 -1.379087804878048757e+02
2.149999999999999967e-01 2.459269767441860949e+03 8.276465116279069889e+02 1.540181395348837157e+02
2.250000000000000056e-01 2.108351111111111095e+03 1.167680000000000064e+03 4.999822222222221626e+02
2.349999999999999867e-01 1.860838297872340718e+03 8.140765957446808443e+02 5.866723404255319565e+02
2.449999999999999956e-01 1.757669387755102207e+03 3.631151020408163390e+02 6.439755102040816155e+02
2.550000000000000044e-01 1.739639215686274383e+03 8.140117647058823422e+02 9.587254901960784537e+01
2.650000000000000133e-01 1.640588679245282719e+03 5.244528301886791724e+02 1.580501886792452808e+02
2.750000000000000222e-01 1.473269090909090892e+03 2.961189090909090282e+01 2.856069090909090846e+02
2.849999999999999756e-01 1.311378947368421223e+03 6.755929824561404473e+01 4.412491228070175566e+02
2.949999999999999845e-01 1.345728813559322134e+03 2.009230508474576311e+02 -2.496271186440678207e+02
