# k     P0     P2     P4
5.000000000000000104e-03 2.712420000000000073e+04 2.715219999999999709e+04 -2.123060000000000218e+04
1.499999999999999944e-02 3.703606666666667297e+04 -5.424506666666666206e+03 -4.012546666666666715e+04
2.500000000000000139e-02 2.878531999999999971e+04 -5.556159999999999854e+03 -9.957000000000000000e+03
3.500000000000000333e-02 2.089879999999999563e+04 8.768228571428570604e+02 -4.446000000000000000e+03
4.499999999999999833e-02 1.643879999999999927e+04 5.551088888888889414e+03 -4.994888888888889596e+03
5.500000000000000028e-02 1.438110909090909081e+04 5.922545454545454959e+03 -4.228381818181817835e+03
6.500000000000000222e-02 1.268179999999999927e+04 4.209153846153846644e+03 1.787876923076923049e+03
7.499999999999999722e-02 1.131689333333333525e+04 1.408519999999999982e+03 -3.206693333333333612e+03
8.500000000000000611e-02 9.402658823529411166e+03 4.729494117647058374e+03 1.222776470588235270e+03
9.500000000000000111e-02 7.062368421052630765e+03 2.719242105263157555e+03 7.513452631578946921e+02
1.049999999999999961e-01 6.739161904761905134e+03 3.068485714285714039e+03 1.485152380952380895e+02
1.150000000000000050e-01 5.928278260869564292e+03 3.327573913043478115e+03 1.277773913043478160e+03
1.250000000000000000e-01 5.620328000000000429e+03 2.175431999999999789e+03 6.137631999999999834e+02
1.350000000000000089e-01 4.648518518518518249e+03 2.078199999999999818e+03 8.657851851851851279e+02
1.449999999999999900e-01 4.022793103448275815e+03 1.408137931034482790e+03 1.796448275862069011e+02
1.549999999999999989e-01 3.340832258064515827e+03 1.510277419354838685e+03 8.105096774193548299e+02
1.650000000000000078e-01 3.258903030303030391e+03 1.070830303030302957e+03 6.273454545454545723e+02
1.749999999999999889e-01 3.295868571428572068e+03 9.511085714285713948e+02 6.062514285714286189e+02
1.849999999999999978e-01 2.824162162162162531e+03 7.755027027027026634e+02 -2.783740540540540565e+01
1.950000000000000067e-01 2.518979487179487023e+03 6.265589743589742966e+02 -4.833928205128204922e+02
2.049999999999999878e-01 2.413809756097561149e+03 9.817268292682927040e+02 4.844897560975610418e+02
2.149999999999999967e-01 2.072418604651162696e+03 9.835395348837209895e+02 1.162069767441860506e+02
2.250000000000000056e-01 2.076648888888888905e+03 6.151466666666666470e+02 -2.920182222222221924e+01
2.349999999999999867e-01 1.896029787234042715e+03 4.687617021276596461e+02 -3.636578723404255129e+02
2.449999999999999956e-01 1.634959183673469397e+03 5.255061224489795677e+02 -2.324208163265306268e+02
2.550000000000000044e-01 1.615078431372549176e+03 6.209686274509804207e+02 4.114745098039215918e+02
2.650000000000000133e-01 1.459460377358490405e+03 3.008441509433961869e+02 2.169641509433962199e+02
2.750000000000000222e-01 1.489021818181817935e+03 3.117029090909090883e+02 2.442490909090908815e+02
2.849999999999999756e-01 1.325740350877193123e+03 4.324842105263157919e+02 1.753129824561403609e+02
2.949999999999999845e-01 1.173328813559322043e+03 2.658189830508474643e+02 1.929050847457627071e+02
