# k     P0     P2     P4
5.000000000000000104e-03 4.899199999999998909e+03 8.528780000000000655e+03 1.852077999999999884e+04
1.499999999999999944e-02 3.207826666666666642e+04 3.084689333333333343e+04 -2.550104733333333570e+04
2.500000000000000139e-02 3.369219999999999709e+04 3.372859999999999127e+04 -7.023103999999999360e+03
3.500000000000000333e-02 3.213314285714285506e+04 1.505097142857142717e+04 6.816899999999999636e+03
4.499999999999999833e-02 1.905271111111111168e+04 7.326844444444443980e+03 3.463344444444444889e+03
5.500000000000000028e-02 1.406365454545454668e+04 3.017509090909090446e+03 -5.827092727272726734e+03
6.500000000000000222e-02 1.442807692307692378e+04 7.187261538461537384e+03 2.634710769230769074e+03
7.499999999999999722e-02 1.246522666666666555e+04 6.383626666666667006e+03 -2.267325333333333219e+03
8.500000000000000611e-02 9.543882352941174759e+03 4.543811764705882524e+03 3.694785882352940916e+03
9.500000000000000111e-02 7.900000000000000000e+03 6.014431578947368507e+03 3.338685705263157615e+03
1.049999999999999961e-01 7.004895238095238710e+03 5.290238095238094502e+03 3.202322571428571791e+03
1.150000000000000050e-01 6.101834782608694695e+03 4.623799999999999272e+03 2.547230000000000132e+02
1.250000000000000000e-01 5.760336000000000240e+03 2.586039999999999964e+03 5.993947200000000066e+02
1.350000000000000089e-01 5.817703703703703468e+03 2.767407407407407391e+03 -3.438029629629629369e+01
1.449999999999999900e-01 4.887006896551724822e+03 1.464620689655172328e+03 -9.777034482758618594e+01
1.549999999999999989e-01 4.375316129032257777e+03 2.176529032258064490e+03 -3.248825806451612834e+02
1.650000000000000078e-01 3.773200000000000273e+03 1.213412121212121065e+03 -2.658757575757575751e+02
1.749999999999999889e-01 3.699445714285714530e+03 1.392891428571428605e+03 3.978634285714285852e+02
1.849999999999999978e-01 2.810708108108108263e+03 1.127308108108108172e+03 5.175989189189189119e+02
1.950000000000000067e-01 2.814394871794871960e+03 1.098420512820512613e+03 1.860874871794871524e+03
2.049999999999999878e-01 2.595409756097561058e+03 9.552195121951220926e+02 -1.095414634146341513e+02
2.149999999999999967e-01 2.462502325581395780e+03 8.454186046511626955e+02 1.765725581395348627e+02
2.250000000000000056e-01 2.113697777777777901e+03 1.178240000000000009e+03 5.149346666666666579e+02
2.349999999999999867e-01 1.863859574468085157e+03 8.254170212765957331e+02 6.158068085106382341e+02
2.449999999999999956e-01 1.759824489795918225e+03 3.728171428571429260e+02 6.606289795918366963e+02
2.550000000000000044e-01 1.738941176470588289e+03 8.333411764705882661e+02 1.130686274509804008e+02
2.650000000000000133e-01 1.642913207547169577e+03 5.301962264150942019e+02 1.744343396226414882e+02
2.750000000000000222e-01 1.475087272727272648e+03 4.068461818181818046e+01 2.997905454545453949e+02
2.849999999999999756e-01 1.312978947368421132e+03 7.251017543859644832e+01 4.459838596491228486e+02
2.949999999999999845e-01 1.348454237288135801e+03 2.077738983050847708e+02 -2.366403389830508388e+02
