# k     P0     P2     P4
5.000000000000000104e-03 3.148772000000000116e+04 3.723345999999999913e+04 -1.644958400000000256e+04
1.499999999999999944e-02 4.012733333333334303e+04 3.222113333333333230e+03 -3.370509399999999732e+04
2.500000000000000139e-02 3.025583999999999651e+04 -9.972799999999995180e+02 -5.111400000000000546e+03
3.500000000000000333e-02 2.161802857142856737e+04 3.236137142857143317e+03 -1.694660000000000309e+03
4.499999999999999833e-02 1.680766666666666788e+04 6.866511111111112768e+03 -3.364708888888888850e+03
5.500000000000000028e-02 1.461647272727272866e+04 6.721927272727272793e+03 -3.202285454545454286e+03
6.500000000000000222e-02 1.284715384615384392e+04 4.748692307692307622e+03 2.480340000000000146e+03
7.499999999999999722e-02 1.142429333333333489e+04 1.755066666666667516e+03 -2.759967200000000503e+03
8.500000000000000611e-02 9.478176470588234224e+03 4.979364705882352609e+03 1.544502235294117554e+03
9.500000000000000111e-02 7.111873684210526335e+03 2.883831578947367689e+03 9.736947368421051578e+02
1.049999999999999961e-01 6.776019047619047342e+03 3.192599999999999909e+03 3.094456190476190613e+02
1.150000000000000050e-01 5.960886956521738284e+03 3.425208695652173901e+03 1.414393739130434597e+03
1.250000000000000000e-01 5.647368000000000393e+03 2.255896000000000186e+03 7.128914399999999887e+02
1.350000000000000089e-01 4.670422222222221535e+03 2.150696296296296623e+03 9.498807407407407482e+02
1.449999999999999900e-01 4.040262068965517301e+03 1.451117241379310599e+03 2.413075862068965876e+02
1.549999999999999989e-01 3.354877419354837912e+03 1.548877419354838594e+03 8.626316129032258004e+02
1.650000000000000078e-01 3.268460606060606096e+03 1.101133333333333439e+03 6.546842424242423704e+02
1.749999999999999889e-01 3.304262857142857683e+03 9.801599999999999682e+02 6.378382857142856892e+02
1.849999999999999978e-01 2.833929729729729843e+03 7.990594594594593900e+02 -9.477945945945947415e+00
1.950000000000000067e-01 2.525153846153846189e+03 6.463282051282052407e+02 -4.620810256410256329e+02
2.049999999999999878e-01 2.418078048780488189e+03 9.894780487804878248e+02 5.051321951219513267e+02
2.149999999999999967e-01 2.079027906976744362e+03 9.992837209302325618e+02 1.288134883720930191e+02
2.250000000000000056e-01 2.083342222222222063e+03 6.297377777777777510e+02 -2.015159999999999485e+01
2.349999999999999867e-01 1.899472340425531911e+03 4.826723404255320133e+02 -3.452131914893616909e+02
2.449999999999999956e-01 1.640028571428571240e+03 5.357918367346937885e+02 -2.127738775510204050e+02
2.550000000000000044e-01 1.620200000000000273e+03 6.269450980392157362e+02 4.215164705882352791e+02
2.650000000000000133e-01 1.462928301886792269e+03 3.097875471698113188e+02 2.252815094339622419e+02
2.750000000000000222e-01 1.492603636363636269e+03 3.240229090909090814e+02 2.504723636363635819e+02
2.849999999999999756e-01 1.327347368421052806e+03 4.375263157894736992e+02 1.802736842105263406e+02
2.949999999999999845e-01 1.176396610169491623e+03 2.755464406779661317e+02 1.970298305084745607e+02
