# k     P0     P2     P4
5.000000000000000104e-03 1.072324000000000160e+04 6.212539999999999054e+03 5.630019999999998390e+02
1.499999999999999944e-02 1.955039999999999782e+04 5.466300000000000182e+03 4.756751999999999498e+03
2.500000000000000139e-02 1.641547999999999956e+04 7.893680000000000291e+03 1.842114519999999402e+03
3.500000000000000333e-02 1.330825714285714093e+04 6.745714285714285325e+03 1.213172571428571246e+03
4.499999999999999833e-02 1.046637777777777956e+04 5.925244444444443616e+03 6.359537777777781002e+02
5.500000000000000028e-02 8.750600000000000364e+03 5.005000000000000000e+03 3.038290909090910077e+02
6.500000000000000222e-02 7.646307692307691468e+03 4.394138461538461343e+03 2.041064615384615024e+02
7.499999999999999722e-02 6.578520000000000437e+03 3.675560000000000400e+03 9.750306666666659794e+01
8.500000000000000611e-02 5.492411764705881978e+03 2.970329411764706038e+03 1.558165882352940912e+02
9.500000000000000111e-02 4.552705263157894478e+03 2.395610526315789230e+03 1.296694736842105158e+02
1.049999999999999961e-01 3.901638095238095048e+03 2.001104761904762199e+03 1.246235238095238032e+02
1.150000000000000050e-01 3.467165217391304395e+03 1.732617391304347848e+03 9.939539130434782521e+01
1.250000000000000000e-01 3.143159999999999854e+03 1.524839999999999918e+03 1.251561599999999999e+02
1.350000000000000089e-01 2.825629629629629562e+03 1.320570370370370256e+03 1.046098518518518432e+02
1.449999999999999900e-01 2.508751724137930978e+03 1.153082758620689674e+03 1.067584758620689769e+02
1.549999999999999989e-01 2.224651612903226123e+03 9.814709677419356240e+02 9.025084516129032863e+01
1.650000000000000078e-01 1.999987878787878572e+03 8.664303030303030937e+02 1.001483030303030120e+02
1.749999999999999889e-01 1.834028571428571695e+03 7.569257142857143208e+02 8.166907428571430216e+01
1.849999999999999978e-01 1.694924324324324289e+03 6.689729729729729115e+02 9.528870270270272158e+01
1.950000000000000067e-01 1.561933333333333167e+03 5.798410256410256807e+02 8.508753846153845757e+01
2.049999999999999878e-01 1.440092682926829411e+03 5.146604878048781302e+02 7.633419512195122536e+01
2.149999999999999967e-01 1.321400000000000318e+03 4.523000000000000114e+02 7.215753488372092761e+01
2.250000000000000056e-01 1.219128888888888696e+03 3.953711111111110768e+02 7.294417777777776735e+01
2.349999999999999867e-01 1.139846808510638311e+03 3.619561702127659828e+02 7.697468085106383739e+01
2.449999999999999956e-01 1.062755102040816155e+03 3.142783673469388077e+02 7.003612244897959727e+01
2.550000000000000044e-01 9.970784313725489483e+02 2.691749019607843252e+02 6.309203921568627749e+01
2.650000000000000133e-01 9.375018867924528649e+02 2.344950943396225966e+02 5.949445283018867769e+01
2.750000000000000222e-01 8.764399999999999409e+02 2.074367272727272677e+02 5.273930909090908159e+01
2.849999999999999756e-01 8.219578947368421495e+02 1.794754385964912160e+02 5.457298245614035892e+01
2.949999999999999845e-01 7.741322033898305790e+02 1.551081355932203394e+02 5.125284745762712646e+01
