# k     Q0     Q2     Q4
5.000000000000000104e-03 1.320823999999999978e+04 6.629539999999999964e+03 0.000000000000000000e+00
1.499999999999999944e-02 2.173686666666666861e+04 8.989826666666665915e+03 0.000000000000000000e+00
2.500000000000000139e-02 1.957300000000000000e+04 9.258211999999997715e+03 0.000000000000000000e+00
3.500000000000000333e-02 1.600657142857142753e+04 7.644399999999998727e+03 0.000000000000000000e+00
4.499999999999999833e-02 1.283646666666666715e+04 6.396333333333332121e+03 0.000000000000000000e+00
5.500000000000000028e-02 1.075259999999999854e+04 5.230072727272727207e+03 0.000000000000000000e+00
6.500000000000000222e-02 9.403984615384613790e+03 4.545307692307693287e+03 0.000000000000000000e+00
7.499999999999999722e-02 8.048760000000001128e+03 3.747800000000000637e+03 0.000000000000000000e+00
8.500000000000000611e-02 6.680529411764705401e+03 3.085752941176470358e+03 0.000000000000000000e+00
9.500000000000000111e-02 5.510947368421053397e+03 2.491663157894737196e+03 0.000000000000000000e+00
1.049999999999999961e-01 4.702066666666666606e+03 2.093419047619047888e+03 0.000000000000000000e+00
1.150000000000000050e-01 4.160208695652173446e+03 1.806243478260869324e+03 0.000000000000000000e+00
1.250000000000000000e-01 3.753103999999999814e+03 1.617551999999999907e+03 0.000000000000000000e+00
1.350000000000000089e-01 3.353851851851851734e+03 1.398066666666666606e+03 0.000000000000000000e+00
1.449999999999999900e-01 2.969986206896552176e+03 1.232165517241379575e+03 0.000000000000000000e+00
1.549999999999999989e-01 2.617238709677419138e+03 1.048329032258064672e+03 0.000000000000000000e+00
1.650000000000000078e-01 2.346563636363636761e+03 9.406181818181817107e+02 0.000000000000000000e+00
1.749999999999999889e-01 2.136800000000000182e+03 8.174228571428571968e+02 0.000000000000000000e+00
1.849999999999999978e-01 1.962513513513513317e+03 7.395567567567568403e+02 0.000000000000000000e+00
1.950000000000000067e-01 1.793871794871794918e+03 6.428615384615384301e+02 0.000000000000000000e+00
2.049999999999999878e-01 1.645956097560975650e+03 5.712048780487805288e+02 0.000000000000000000e+00
2.149999999999999967e-01 1.502320930232558112e+03 5.057474418604651873e+02 0.000000000000000000e+00
2.250000000000000056e-01 1.377275555555555457e+03 4.494035555555554993e+02 0.000000000000000000e+00
2.349999999999999867e-01 1.284629787234042851e+03 4.189744680851064800e+02 0.000000000000000000e+00
2.449999999999999956e-01 1.188461224489795995e+03 3.661567346938775245e+02 0.000000000000000000e+00
2.550000000000000044e-01 1.104745098039215918e+03 3.159094117647059079e+02 0.000000000000000000e+00
2.650000000000000133e-01 1.031298113207546976e+03 2.785649056603772920e+02 0.000000000000000000e+00
2.750000000000000222e-01 9.594145454545455323e+02 2.465029090909090428e+02 0.000000000000000000e+00
2.849999999999999756e-01 8.937508771929825571e+02 2.199003508771930058e+02 0.000000000000000000e+00
2.949999999999999845e-01 8.361728813559321907e+02 1.930732203389830772e+02 0.000000000000000000e+00
