# k     P0     P2     P4
5.000000000000000104e-03 2.014012000000000262e+04 -8.331600000000000364e+03 6.290613999999999578e+03
1.499999999999999944e-02 1.749673333333333721e+04 1.891799999999999727e+03 5.248597333333333154e+03
2.500000000000000139e-02 1.493943999999999869e+04 4.906632000000000517e+03 2.757325599999999667e+03
3.500000000000000333e-02 1.208477142857142644e+04 5.468171428571427896e+03 1.140417999999999893e+03
4.499999999999999833e-02 9.799511111111110949e+03 4.808066666666667516e+03 4.766693333333334976e+02
5.500000000000000028e-02 8.273581818181817653e+03 4.172636363636363967e+03 2.771785454545454854e+02
6.500000000000000222e-02 7.221892307692307440e+03 3.675430769230768874e+03 1.712087692307692350e+02
7.499999999999999722e-02 6.260679999999999382e+03 3.170319999999999709e+03 1.822881333333333203e+02
8.500000000000000611e-02 5.279682352941175850e+03 2.544752941176470358e+03 1.286341176470588152e+02
9.500000000000000111e-02 4.423473684210526699e+03 2.039673684210526289e+03 1.142626315789473779e+02
1.049999999999999961e-01 3.811628571428570922e+03 1.725904761904761926e+03 8.420895238095239677e+01
1.150000000000000050e-01 3.382808695652173810e+03 1.506000000000000000e+03 1.092138260869565158e+02
1.250000000000000000e-01 3.059935999999999694e+03 1.340272000000000162e+03 1.241130400000000122e+02
1.350000000000000089e-01 2.758533333333332848e+03 1.170133333333333212e+03 1.196529777777777639e+02
1.449999999999999900e-01 2.453565517241378984e+03 1.026406896551724003e+03 1.308362068965517437e+02
1.549999999999999989e-01 2.186045161290322994e+03 8.685741935483870293e+02 1.144983225806451514e+02
1.650000000000000078e-01 1.967721212121211920e+03 7.666666666666665151e+02 1.212104242424242386e+02
1.749999999999999889e-01 1.797125714285714594e+03 6.666742857142857019e+02 1.117066285714285812e+02
1.849999999999999978e-01 1.655664864864865194e+03 5.963351351351351468e+02 1.006296216216216379e+02
1.950000000000000067e-01 1.530482051282051088e+03 5.193548717948717695e+02 9.709107692307691195e+01
2.049999999999999878e-01 1.410404878048780802e+03 4.596980487804878521e+02 9.501341463414634347e+01
2.149999999999999967e-01 1.298706976744186250e+03 4.067660465116279056e+02 8.497572093023254070e+01
2.250000000000000056e-01 1.198337777777778001e+03 3.615791111111111036e+02 8.714000000000001478e+01
2.349999999999999867e-01 1.115676595744680753e+03 3.167323404255319588e+02 8.127319148936169313e+01
2.449999999999999956e-01 1.042016326530612332e+03 2.780342857142857724e+02 8.226857142857143401e+01
2.550000000000000044e-01 9.744313725490195566e+02 2.360521568627451359e+02 6.690815686274508778e+01
2.650000000000000133e-01 9.140566037735848113e+02 2.078411320754716769e+02 7.375849056603773590e+01
2.750000000000000222e-01 8.566945454545453913e+02 1.782374545454545114e+02 5.920509090909089878e+01
2.849999999999999756e-01 8.059122807017544119e+02 1.587084210526315928e+02 7.012877192982456620e+01
2.949999999999999845e-01 7.591389830508475143e+02 1.340461016949152508e+02 5.677694915254237173e+01
