# k     Q0     Q2     Q4
5.000000000000000104e-03 1.680745999999999549e+04 -3.671899999999999181e+03 0.000000000000000000e+00
1.499999999999999944e-02 1.825340000000000146e+04 5.779610666666667385e+03 0.000000000000000000e+00
2.500000000000000139e-02 1.690207999999999811e+04 6.949107999999999265e+03 0.000000000000000000e+00
3.500000000000000333e-02 1.427205714285714203e+04 6.312914285714285143e+03 0.000000000000000000e+00
4.499999999999999833e-02 1.172273333333333721e+04 5.161177777777777919e+03 0.000000000000000000e+00
5.500000000000000028e-02 9.942636363636363967e+03 4.377963636363636397e+03 0.000000000000000000e+00
6.500000000000000222e-02 8.692046153846153175e+03 3.802246153846153447e+03 0.000000000000000000e+00
7.499999999999999722e-02 7.528840000000001965e+03 3.305346666666666351e+03 0.000000000000000000e+00
8.500000000000000611e-02 6.297576470588234770e+03 2.640035294117646572e+03 0.000000000000000000e+00
9.500000000000000111e-02 5.239347368421052124e+03 2.124305263157894842e+03 0.000000000000000000e+00
1.049999999999999961e-01 4.501990476190476329e+03 1.788285714285714448e+03 0.000000000000000000e+00
1.150000000000000050e-01 3.985208695652173901e+03 1.586895652173912822e+03 0.000000000000000000e+00
1.250000000000000000e-01 3.596048000000000229e+03 1.432223999999999933e+03 0.000000000000000000e+00
1.350000000000000089e-01 3.226592592592592155e+03 1.258770370370370301e+03 0.000000000000000000e+00
1.449999999999999900e-01 2.864131034482758878e+03 1.123324137931034556e+03 0.000000000000000000e+00
1.549999999999999989e-01 2.533477419354838275e+03 9.533806451612903174e+02 0.000000000000000000e+00
1.650000000000000078e-01 2.274387878787878435e+03 8.564545454545453822e+02 0.000000000000000000e+00
1.749999999999999889e-01 2.063799999999999727e+03 7.494228571428571968e+02 0.000000000000000000e+00
1.849999999999999978e-01 1.894205405405405372e+03 6.708810810810811063e+02 0.000000000000000000e+00
1.950000000000000067e-01 1.738225641025640925e+03 5.912769230769230262e+02 0.000000000000000000e+00
2.049999999999999878e-01 1.594287804878048973e+03 5.300785365853658959e+02 0.000000000000000000e+00
2.149999999999999967e-01 1.461413953488372044e+03 4.697093023255814046e+02 0.000000000000000000e+00
2.250000000000000056e-01 1.342973333333333130e+03 4.261275555555555457e+02 0.000000000000000000e+00
2.349999999999999867e-01 1.242370212765957604e+03 3.769348936170213165e+02 0.000000000000000000e+00
2.449999999999999956e-01 1.153232653061224482e+03 3.389738775510203936e+02 0.000000000000000000e+00
2.550000000000000044e-01 1.068850980392157226e+03 2.856133333333333439e+02 0.000000000000000000e+00
2.650000000000000133e-01 9.971962264150945430e+02 2.624777358490566144e+02 0.000000000000000000e+00
2.750000000000000222e-01 9.279963636363636397e+02 2.220927272727272452e+02 0.000000000000000000e+00
2.849999999999999756e-01 8.693964912280703174e+02 2.106557894736842513e+02 0.000000000000000000e+00
2.949999999999999845e-01 8.127593220338983429e+02 1.761030508474576379e+02 0.000000000000000000e+00
