# k     P0     P2     P4
5.000000000000000104e-03 5.262019999999999709e+04 7.811825999999999112e+03 -6.167760000000000673e+02
1.499999999999999944e-02 5.907453333333334012e+04 1.900259999999999854e+04 1.798800000000000182e+03
2.500000000000000139e-02 5.172000000000000000e+04 1.984452000000000044e+04 1.555815599999999904e+03
3.500000000000000333e-02 4.115028571428571013e+04 1.661540000000000146e+04 1.128180857142856894e+03
4.499999999999999833e-02 3.292844444444445253e+04 1.316297777777777628e+04 9.966199999999998909e+02
5.500000000000000028e-02 2.771690909090909190e+04 1.084214545454545623e+04 9.045909090909090082e+02
6.500000000000000222e-02 2.424261538461538294e+04 9.112907692307693651e+03 6.455969230769230762e+02
7.499999999999999722e-02 2.091000000000000000e+04 7.707960000000000036e+03 4.196080000000000041e+02
8.500000000000000611e-02 1.747176470588235316e+04 6.421505882352940716e+03 3.902858823529412007e+02
9.500000000000000111e-02 1.452410526315789684e+04 5.394399999999998727e+03 3.868873684210526562e+02
1.049999999999999961e-01 1.248676190476190459e+04 4.541523809523810087e+03 4.271266666666666083e+02
1.150000000000000050e-01 1.114399999999999818e+04 3.902799999999999727e+03 3.801730434782608654e+02
1.250000000000000000e-01 1.011079999999999927e+04 3.398975999999999658e+03 3.557103999999999928e+02
1.350000000000000089e-01 9.140962962962961683e+03 2.956614814814814508e+03 2.908325925925925048e+02
1.449999999999999900e-01 8.140482758620689310e+03 2.601351724137930887e+03 2.666262068965517642e+02
1.549999999999999989e-01 7.231548387096773695e+03 2.319587096774193469e+03 2.309329032258064842e+02
1.650000000000000078e-01 6.505333333333332121e+03 2.091993939393939399e+03 2.143739393939393665e+02
1.749999999999999889e-01 5.964000000000000909e+03 1.856165714285714557e+03 2.408771428571429283e+02
1.849999999999999978e-01 5.510486486486485774e+03 1.593891891891891646e+03 2.301410810810810972e+02
1.950000000000000067e-01 5.093302564102563338e+03 1.385251282051281805e+03 2.127671794871795043e+02
2.049999999999999878e-01 4.689892682926829366e+03 1.258268292682926813e+03 1.915907317073170759e+02
2.149999999999999967e-01 4.312813953488372135e+03 1.121055813953488496e+03 1.716520930232558158e+02
2.250000000000000056e-01 3.988675555555555547e+03 1.001208888888888850e+03 1.677773333333333596e+02
2.349999999999999867e-01 3.703906382978724196e+03 8.793319148936169540e+02 1.579957446808510610e+02
2.449999999999999956e-01 3.464318367346938885e+03 7.710734693877551535e+02 1.381730612244897998e+02
2.550000000000000044e-01 3.240972549019607868e+03 6.618509803921567709e+02 1.496945098039215623e+02
2.650000000000000133e-01 3.031886792452830377e+03 5.799886792452830377e+02 1.312067924528301717e+02
2.750000000000000222e-01 2.839683636363636197e+03 5.014981818181818198e+02 1.303672727272727059e+02
2.849999999999999756e-01 2.665533333333333758e+03 4.266596491228070249e+02 1.187192982456140697e+02
2.949999999999999845e-01 2.504298305084745607e+03 3.538406779661016799e+02 1.239440677966101703e+02
