# k     Q0     Q2     Q4
5.000000000000000104e-03 5.574500000000000000e+04 7.354957999999998719e+03 0.000000000000000000e+00
1.499999999999999944e-02 6.667560000000000582e+04 2.033513333333333867e+04 0.000000000000000000e+00
2.500000000000000139e-02 5.965759999999999854e+04 2.099699999999999636e+04 0.000000000000000000e+00
3.500000000000000333e-02 4.779657142857142026e+04 1.745108571428571304e+04 0.000000000000000000e+00
4.499999999999999833e-02 3.819355555555555475e+04 1.390122222222222445e+04 0.000000000000000000e+00
5.500000000000000028e-02 3.205381818181818380e+04 1.151219999999999891e+04 0.000000000000000000e+00
6.500000000000000222e-02 2.788769230769230853e+04 9.591123076923076951e+03 0.000000000000000000e+00
7.499999999999999722e-02 2.399320000000000073e+04 8.018786666666666861e+03 0.000000000000000000e+00
8.500000000000000611e-02 2.004035294117646845e+04 6.710599999999998545e+03 0.000000000000000000e+00
9.500000000000000111e-02 1.668178947368420995e+04 5.680989473684211589e+03 0.000000000000000000e+00
1.049999999999999961e-01 1.430333333333333576e+04 4.857923809523809723e+03 0.000000000000000000e+00
1.150000000000000050e-01 1.270521739130434617e+04 4.184399999999999636e+03 0.000000000000000000e+00
1.250000000000000000e-01 1.147039999999999964e+04 3.662463999999999942e+03 0.000000000000000000e+00
1.350000000000000089e-01 1.032362962962962956e+04 3.172051851851851552e+03 0.000000000000000000e+00
1.449999999999999900e-01 9.181034482758621380e+03 2.798855172413793753e+03 0.000000000000000000e+00
1.549999999999999989e-01 8.159354838709678006e+03 2.490638709677419683e+03 0.000000000000000000e+00
1.650000000000000078e-01 7.342121212121212011e+03 2.250781818181817926e+03 0.000000000000000000e+00
1.749999999999999889e-01 6.706457142857143481e+03 2.034594285714285661e+03 0.000000000000000000e+00
1.849999999999999978e-01 6.148000000000000909e+03 1.764367567567567448e+03 0.000000000000000000e+00
1.950000000000000067e-01 5.647384615384615245e+03 1.542856410256410072e+03 0.000000000000000000e+00
2.049999999999999878e-01 5.193268292682926585e+03 1.400185365853658595e+03 0.000000000000000000e+00
2.149999999999999967e-01 4.761209302325581120e+03 1.248209302325581348e+03 0.000000000000000000e+00
2.250000000000000056e-01 4.389159999999999854e+03 1.125493333333333339e+03 0.000000000000000000e+00
2.349999999999999867e-01 4.055642553191489696e+03 9.963659574468084656e+02 0.000000000000000000e+00
2.449999999999999956e-01 3.772746938775509989e+03 8.734285714285714448e+02 0.000000000000000000e+00
2.550000000000000044e-01 3.505705882352941444e+03 7.727372549019607959e+02 0.000000000000000000e+00
2.650000000000000133e-01 3.263883018867924420e+03 6.771773584905661210e+02 0.000000000000000000e+00
2.750000000000000222e-01 3.040280000000000200e+03 5.980618181818181256e+02 0.000000000000000000e+00
2.849999999999999756e-01 2.836196491228070499e+03 5.146000000000000227e+02 0.000000000000000000e+00
2.949999999999999845e-01 2.645833898305085313e+03 4.456474576271186265e+02 0.000000000000000000e+00
