# k     P0     P2     P4
5.000000000000000104e-03 4.474040000000000146e+04 2.796512000000000626e+03 3.379700000000001182e+03
1.499999999999999944e-02 5.267993333333334158e+04 1.540526666666666824e+04 2.735980000000000018e+03
2.500000000000000139e-02 4.671119999999999709e+04 1.590615999999999985e+04 2.151647199999999884e+03
3.500000000000000333e-02 3.766257142857142753e+04 1.353134285714285579e+04 1.328418114285714182e+03
4.499999999999999833e-02 3.021222222222222263e+04 1.146611111111110949e+04 8.771971111111110986e+02
5.500000000000000028e-02 2.540745454545454777e+04 9.235799999999999272e+03 1.107056363636363585e+03
6.500000000000000222e-02 2.223784615384615245e+04 8.047984615384613790e+03 6.844692307692306485e+02
7.499999999999999722e-02 1.915266666666666788e+04 6.798746666666665988e+03 5.353586666666667497e+02
8.500000000000000611e-02 1.602588235294117658e+04 5.596917647058822695e+03 4.910976470588235543e+02
9.500000000000000111e-02 1.335094736842105158e+04 4.738810526315788593e+03 3.776947368421052715e+02
1.049999999999999961e-01 1.149438095238095411e+04 3.940933333333333394e+03 3.896876190476190800e+02
1.150000000000000050e-01 1.024417391304347802e+04 3.374626086956521704e+03 3.653191304347826076e+02
1.250000000000000000e-01 9.277920000000001892e+03 2.941367999999999938e+03 3.365831999999999766e+02
1.350000000000000089e-01 8.354518518518516430e+03 2.587222222222222172e+03 3.750422222222222217e+02
1.449999999999999900e-01 7.427448275862069750e+03 2.290779310344827991e+03 2.862565517241379212e+02
1.549999999999999989e-01 6.596064516129031290e+03 2.031341935483871112e+03 2.828303225806452019e+02
1.650000000000000078e-01 5.934345454545455141e+03 1.779193939393939445e+03 2.596490909090908872e+02
1.749999999999999889e-01 5.420948571428571086e+03 1.594622857142857129e+03 2.415548571428571165e+02
1.849999999999999978e-01 4.997248648648649578e+03 1.410372972972973230e+03 2.190156756756757090e+02
1.950000000000000067e-01 4.612441025641024680e+03 1.247061538461538248e+03 2.031558974358974297e+02
2.049999999999999878e-01 4.240819512195122115e+03 1.095536585365853853e+03 2.090878048780487859e+02
2.149999999999999967e-01 3.906688372093023190e+03 9.640046511627908785e+02 2.065097674418604754e+02
2.250000000000000056e-01 3.600488888888888141e+03 8.661244444444444071e+02 1.756911111111111268e+02
2.349999999999999867e-01 3.345595744680851567e+03 7.682978723404255561e+02 1.688046808510638641e+02
2.449999999999999956e-01 3.118012244897958681e+03 6.597714285714286007e+02 1.681889795918367270e+02
2.550000000000000044e-01 2.912670588235294417e+03 5.841137254901960887e+02 1.498764705882352928e+02
2.650000000000000133e-01 2.717784905660377717e+03 5.066113207547169850e+02 1.370124528301886926e+02
2.750000000000000222e-01 2.539985454545454104e+03 4.344836363636362648e+02 1.389879999999999995e+02
2.849999999999999756e-01 2.375449122807017829e+03 3.530877192982457018e+02 1.439778947368421029e+02
2.949999999999999845e-01 2.232138983050847401e+03 3.049128813559322566e+02 9.749559322033900344e+01
