# k     Q0     Q2     Q4
5.000000000000000104e-03 4.585900000000000000e+04 5.299980000000000473e+03 0.000000000000000000e+00
1.499999999999999944e-02 5.884200000000000000e+04 1.743193333333333794e+04 0.000000000000000000e+00
2.500000000000000139e-02 5.307399999999999272e+04 1.749995999999999913e+04 0.000000000000000000e+00
3.500000000000000333e-02 4.307514285714285506e+04 1.451537142857142499e+04 0.000000000000000000e+00
4.499999999999999833e-02 3.479844444444445253e+04 1.211588888888888687e+04 0.000000000000000000e+00
5.500000000000000028e-02 2.910199999999999636e+04 1.005583636363636469e+04 0.000000000000000000e+00
6.500000000000000222e-02 2.545692307692307804e+04 8.554999999999998181e+03 0.000000000000000000e+00
7.499999999999999722e-02 2.187226666666667006e+04 7.195319999999998799e+03 0.000000000000000000e+00
8.500000000000000611e-02 1.826482352941176578e+04 5.960670588235294417e+03 0.000000000000000000e+00
9.500000000000000111e-02 1.524642105263158010e+04 5.018589473684210134e+03 0.000000000000000000e+00
1.049999999999999961e-01 1.307085714285714130e+04 4.229590476190475783e+03 0.000000000000000000e+00
1.150000000000000050e-01 1.159399999999999818e+04 3.645217391304347984e+03 0.000000000000000000e+00
1.250000000000000000e-01 1.045456000000000131e+04 3.190679999999999836e+03 0.000000000000000000e+00
1.350000000000000089e-01 9.389407407407406936e+03 2.865029629629629198e+03 0.000000000000000000e+00
1.449999999999999900e-01 8.343724137931034420e+03 2.502813793103448006e+03 0.000000000000000000e+00
1.549999999999999989e-01 7.408645161290321994e+03 2.240838709677419502e+03 0.000000000000000000e+00
1.650000000000000078e-01 6.645999999999999091e+03 1.971521212121211875e+03 0.000000000000000000e+00
1.749999999999999889e-01 6.058800000000000182e+03 1.773559999999999945e+03 0.000000000000000000e+00
1.849999999999999978e-01 5.561297297297296609e+03 1.572605405405405463e+03 0.000000000000000000e+00
1.950000000000000067e-01 5.111235897435897641e+03 1.397553846153846052e+03 0.000000000000000000e+00
2.049999999999999878e-01 4.679043902439024350e+03 1.250414634146341541e+03 0.000000000000000000e+00
2.149999999999999967e-01 4.292293023255813750e+03 1.116972093023255638e+03 0.000000000000000000e+00
2.250000000000000056e-01 3.946942222222221972e+03 9.962666666666666515e+02 0.000000000000000000e+00
2.349999999999999867e-01 3.652914893617021335e+03 8.933404255319150025e+02 0.000000000000000000e+00
2.449999999999999956e-01 3.381918367346939249e+03 7.843551020408165186e+02 0.000000000000000000e+00
2.550000000000000044e-01 3.146317647058823241e+03 6.951333333333332121e+02 0.000000000000000000e+00
2.650000000000000133e-01 2.920433962264150523e+03 6.081056603773583902e+02 0.000000000000000000e+00
2.750000000000000222e-01 2.713778181818181565e+03 5.374363636363635806e+02 0.000000000000000000e+00
2.849999999999999756e-01 2.516680701754386064e+03 4.597333333333333485e+02 0.000000000000000000e+00
2.949999999999999845e-01 2.354105084745762269e+03 3.771288135593220545e+02 0.000000000000000000e+00
