# k     P0     P2     P4
5.000000000000000104e-03 1.257014000000000124e+04 5.874680000000000291e+03 -1.964618000000000166e+03
1.499999999999999944e-02 1.760060000000000218e+04 1.012393333333333430e+04 -4.230013333333333208e+02
2.500000000000000139e-02 1.584895999999999913e+04 9.287479999999999563e+03 1.096251999999999960e+01
3.500000000000000333e-02 1.289202857142857101e+04 7.792514285714284597e+03 -3.474742857142856423e+01
4.499999999999999833e-02 1.033064444444444598e+04 6.285377777777777737e+03 1.427893333333333317e+02
5.500000000000000028e-02 8.742163636363637124e+03 5.131545454545454959e+03 1.334072727272727263e+02
6.500000000000000222e-02 7.628030769230768783e+03 4.435292307692307077e+03 7.830030769230769749e+01
7.499999999999999722e-02 6.583626666666667006e+03 3.742520000000000437e+03 3.626573333333333693e+01
8.500000000000000611e-02 5.480576470588234770e+03 3.028776470588235497e+03 1.042001176470588177e+02
9.500000000000000111e-02 4.542126315789473665e+03 2.435242105263158010e+03 9.608736842105263065e+01
1.049999999999999961e-01 3.902800000000000182e+03 2.033133333333333439e+03 8.451590476190476409e+01
1.150000000000000050e-01 3.464434782608695514e+03 1.763304347826086996e+03 7.957799999999998875e+01
1.250000000000000000e-01 3.142568000000000211e+03 1.539304000000000087e+03 7.556824000000000296e+01
1.350000000000000089e-01 2.824814814814814781e+03 1.345955555555555520e+03 8.613703703703703241e+01
1.449999999999999900e-01 2.513386206896551812e+03 1.182655172413793252e+03 8.172896551724137737e+01
1.549999999999999989e-01 2.222896774193548481e+03 1.012987096774193560e+03 7.924645161290322903e+01
1.650000000000000078e-01 1.996551515151514877e+03 8.845030303030303003e+02 6.439090909090909065e+01
1.749999999999999889e-01 1.829571428571428669e+03 7.727142857142857792e+02 5.750285714285715244e+01
1.849999999999999978e-01 1.688789189189189074e+03 6.922054054054053722e+02 7.490702702702702709e+01
1.950000000000000067e-01 1.555830769230769192e+03 6.009948717948717558e+02 6.690205128205127494e+01
2.049999999999999878e-01 1.433512195121951436e+03 5.262536585365854762e+02 7.562585365853658459e+01
2.149999999999999967e-01 1.319274418604651146e+03 4.612381395348837714e+02 5.861720930232558402e+01
2.250000000000000056e-01 1.217639999999999873e+03 4.107151111111110708e+02 5.682044444444444053e+01
2.349999999999999867e-01 1.134272340425531866e+03 3.721272340425531979e+02 5.625787234042552853e+01
2.449999999999999956e-01 1.059355102040816291e+03 3.248485714285714607e+02 4.728612244897959727e+01
2.550000000000000044e-01 9.909372549019607277e+02 2.837101960784314088e+02 5.072627450980392183e+01
2.650000000000000133e-01 9.323962264150943611e+02 2.466554716981131605e+02 4.942339622641509322e+01
2.750000000000000222e-01 8.731018181818180892e+02 2.180029090909090712e+02 4.281709090909090065e+01
2.849999999999999756e-01 8.196666666666667425e+02 1.887870175438596618e+02 4.598421052631579187e+01
2.949999999999999845e-01 7.716779661016950058e+02 1.615905084745762679e+02 4.007593220338983286e+01
