# k     Q0     Q2     Q4
5.000000000000000104e-03 1.492001999999999862e+04 4.419400000000000546e+03 0.000000000000000000e+00
1.499999999999999944e-02 2.165013333333333503e+04 9.810600000000000364e+03 0.000000000000000000e+00
2.500000000000000139e-02 1.956395999999999913e+04 9.295599999999998545e+03 0.000000000000000000e+00
3.500000000000000333e-02 1.600905714285714203e+04 7.766800000000000182e+03 0.000000000000000000e+00
4.499999999999999833e-02 1.284479999999999927e+04 6.391155555555555111e+03 0.000000000000000000e+00
5.500000000000000028e-02 1.079478181818181838e+04 5.230381818181817835e+03 0.000000000000000000e+00
6.500000000000000222e-02 9.402153846153845734e+03 4.493292307692307986e+03 0.000000000000000000e+00
7.499999999999999722e-02 8.080640000000000327e+03 3.769386666666666770e+03 0.000000000000000000e+00
8.500000000000000611e-02 6.692082352941176396e+03 3.105964705882352973e+03 0.000000000000000000e+00
9.500000000000000111e-02 5.516221052631579369e+03 2.506421052631579187e+03 0.000000000000000000e+00
1.049999999999999961e-01 4.716047619047619264e+03 2.095733333333333121e+03 0.000000000000000000e+00
1.150000000000000050e-01 4.169756521739130221e+03 1.822252173913043407e+03 0.000000000000000000e+00
1.250000000000000000e-01 3.758288000000000011e+03 1.595279999999999973e+03 0.000000000000000000e+00
1.350000000000000089e-01 3.363192592592592518e+03 1.409762962962963002e+03 0.000000000000000000e+00
1.449999999999999900e-01 2.986448275862069295e+03 1.243200000000000045e+03 0.000000000000000000e+00
1.549999999999999989e-01 2.628090322580645079e+03 1.071690322580645216e+03 0.000000000000000000e+00
1.650000000000000078e-01 2.350357575757575887e+03 9.321999999999999318e+02 0.000000000000000000e+00
1.749999999999999889e-01 2.138657142857142844e+03 8.153085714285714403e+02 0.000000000000000000e+00
1.849999999999999978e-01 1.965675675675675620e+03 7.476918918918919417e+02 0.000000000000000000e+00
1.950000000000000067e-01 1.796230769230769056e+03 6.505487179487179219e+02 0.000000000000000000e+00
2.049999999999999878e-01 1.644014634146341677e+03 5.822731707317072960e+02 0.000000000000000000e+00
2.149999999999999967e-01 1.503772093023255820e+03 5.046558139534884049e+02 0.000000000000000000e+00
2.250000000000000056e-01 1.381924444444444362e+03 4.528044444444444139e+02 0.000000000000000000e+00
2.349999999999999867e-01 1.283123404255319201e+03 4.137995744680851544e+02 0.000000000000000000e+00
2.449999999999999956e-01 1.189293877551020387e+03 3.598755102040816496e+02 0.000000000000000000e+00
2.550000000000000044e-01 1.104419607843137328e+03 3.212850980392157112e+02 0.000000000000000000e+00
2.650000000000000133e-01 1.031060377358490541e+03 2.832652830188678763e+02 0.000000000000000000e+00
2.750000000000000222e-01 9.603018181818182484e+02 2.497192727272726813e+02 0.000000000000000000e+00
2.849999999999999756e-01 8.951824561403509506e+02 2.228498245614035227e+02 0.000000000000000000e+00
2.949999999999999845e-01 8.363118644067797050e+02 1.912762711864406810e+02 0.000000000000000000e+00
