# k     P0     P2     P4
5.000000000000000104e-03 1.135547999999999956e+04 2.763059999999999945e+03 5.907139999999999418e+02
1.499999999999999944e-02 1.512560000000000036e+04 6.829466666666666242e+03 1.193973333333333500e+02
2.500000000000000139e-02 1.396531999999999789e+04 6.938680000000000291e+03 2.939035999999999831e+02
3.500000000000000333e-02 1.166245714285714166e+04 6.118971428571428078e+03 2.073122857142857072e+02
4.499999999999999833e-02 9.585888888888888687e+03 5.040000000000000000e+03 1.200804444444444528e+02
5.500000000000000028e-02 8.143290909090908826e+03 4.254800000000000182e+03 1.425094545454545596e+02
6.500000000000000222e-02 7.141815384615384573e+03 3.734692307692307622e+03 1.081610769230769193e+02
7.499999999999999722e-02 6.183826666666666824e+03 3.212599999999999909e+03 1.279294666666666558e+02
8.500000000000000611e-02 5.214152941176469540e+03 2.552552941176470540e+03 9.021529411764706197e+01
9.500000000000000111e-02 4.372357894736842354e+03 2.052389473684210316e+03 7.026536842105262792e+01
1.049999999999999961e-01 3.764590476190476238e+03 1.740009523809523898e+03 6.715238095238095184e+01
1.150000000000000050e-01 3.338826086956521522e+03 1.508591304347826053e+03 8.167034782608695309e+01
1.250000000000000000e-01 3.020623999999999796e+03 1.344711999999999989e+03 8.588320000000000221e+01
1.350000000000000089e-01 2.721459259259258943e+03 1.182259259259259125e+03 9.487185185185184366e+01
1.449999999999999900e-01 2.424227586206896376e+03 1.025200000000000045e+03 1.090489655172413848e+02
1.549999999999999989e-01 2.156096774193548299e+03 8.744129032258064171e+02 9.636387096774194561e+01
1.650000000000000078e-01 1.937624242424242539e+03 7.757818181818180392e+02 8.863393939393938581e+01
1.749999999999999889e-01 1.769474285714285998e+03 6.755199999999999818e+02 9.362057142857143788e+01
1.849999999999999978e-01 1.629713513513513590e+03 6.069675675675675848e+02 7.931081081081080697e+01
1.950000000000000067e-01 1.508323076923076769e+03 5.282820512820512704e+02 7.531846153846153413e+01
2.049999999999999878e-01 1.388565853658536753e+03 4.650317073170731987e+02 7.486536585365854535e+01
2.149999999999999967e-01 1.278125581395348945e+03 4.149758139534883981e+02 6.824465116279068866e+01
2.250000000000000056e-01 1.179893333333333203e+03 3.695035555555555788e+02 7.960577777777777442e+01
2.349999999999999867e-01 1.098485106382978756e+03 3.230612765957446868e+02 7.279021276595744894e+01
2.449999999999999956e-01 1.027187755102040910e+03 2.875473469387755472e+02 7.218163265306122867e+01
2.550000000000000044e-01 9.608117647058824105e+02 2.447878431372548960e+02 5.880235294117647271e+01
2.650000000000000133e-01 8.982603773584904729e+02 2.140128301886792315e+02 6.572075471698113347e+01
2.750000000000000222e-01 8.427927272727272339e+02 1.862130909090908801e+02 5.491636363636363427e+01
2.849999999999999756e-01 7.908070175438597289e+02 1.639708771929824707e+02 5.686736842105263889e+01
2.949999999999999845e-01 7.449355932203390012e+02 1.402549152542372894e+02 5.210915254237288252e+01
