# k     Q0     Q2     Q4
5.000000000000000104e-03 1.246069999999999891e+04 3.200619999999999891e+03 0.000000000000000000e+00
1.499999999999999944e-02 1.785740000000000146e+04 6.917866666666666788e+03 0.000000000000000000e+00
2.500000000000000139e-02 1.674079999999999927e+04 7.156399999999999636e+03 0.000000000000000000e+00
3.500000000000000333e-02 1.411002857142856919e+04 6.272542857142856519e+03 0.000000000000000000e+00
4.499999999999999833e-02 1.160188888888889051e+04 5.128955555555555293e+03 0.000000000000000000e+00
5.500000000000000028e-02 9.845199999999998909e+03 4.360363636363636033e+03 0.000000000000000000e+00
6.500000000000000222e-02 8.635676923076922321e+03 3.814799999999999727e+03 0.000000000000000000e+00
7.499999999999999722e-02 7.468880000000001019e+03 3.307360000000000127e+03 0.000000000000000000e+00
8.500000000000000611e-02 6.235164705882352791e+03 2.619376470588234952e+03 0.000000000000000000e+00
9.500000000000000111e-02 5.193315789473684163e+03 2.104431578947368507e+03 0.000000000000000000e+00
1.049999999999999961e-01 4.460600000000000364e+03 1.789752380952381145e+03 0.000000000000000000e+00
1.150000000000000050e-01 3.942260869565217490e+03 1.569086956521739012e+03 0.000000000000000000e+00
1.250000000000000000e-01 3.558503999999999905e+03 1.408336000000000013e+03 0.000000000000000000e+00
1.350000000000000089e-01 3.194362962962962683e+03 1.252540740740740603e+03 0.000000000000000000e+00
1.449999999999999900e-01 2.834310344827586505e+03 1.105979310344827582e+03 0.000000000000000000e+00
1.549999999999999989e-01 2.505864516129032381e+03 9.457935483870968483e+02 0.000000000000000000e+00
1.650000000000000078e-01 2.247933333333333394e+03 8.414363636363635806e+02 0.000000000000000000e+00
1.749999999999999889e-01 2.039685714285714312e+03 7.448685714285714994e+02 0.000000000000000000e+00
1.849999999999999978e-01 1.872502702702702891e+03 6.657189189189189165e+02 0.000000000000000000e+00
1.950000000000000067e-01 1.719635897435897505e+03 5.840769230769229807e+02 0.000000000000000000e+00
2.049999999999999878e-01 1.574575609756097720e+03 5.204878048780487916e+02 0.000000000000000000e+00
2.149999999999999967e-01 1.444116279069767415e+03 4.655255813953488087e+02 0.000000000000000000e+00
2.250000000000000056e-01 1.327697777777777901e+03 4.284711111111110995e+02 0.000000000000000000e+00
2.349999999999999867e-01 1.227710638297872492e+03 3.769800000000000182e+02 0.000000000000000000e+00
2.449999999999999956e-01 1.142208163265306212e+03 3.410151020408163163e+02 0.000000000000000000e+00
2.550000000000000044e-01 1.058725490196078454e+03 2.883450980392157135e+02 0.000000000000000000e+00
2.650000000000000133e-01 9.838679245283019554e+02 2.626950943396226421e+02 0.000000000000000000e+00
2.750000000000000222e-01 9.172799999999999727e+02 2.268916363636363656e+02 0.000000000000000000e+00
2.849999999999999756e-01 8.563964912280703174e+02 2.060947368421052772e+02 0.000000000000000000e+00
2.949999999999999845e-01 8.010372881355932577e+02 1.788542372881356073e+02 0.000000000000000000e+00
