# k     P0     P2     P4
5.000000000000000104e-03 5.593279999999999563e+04 6.044739999999999782e+03 -1.732755999999999858e+03
1.499999999999999944e-02 6.198673333333333721e+04 1.864593333333333430e+04 9.250933333333333621e+02
2.500000000000000139e-02 5.434840000000000146e+04 2.036271999999999753e+04 1.264307999999999993e+03
3.500000000000000333e-02 4.316657142857142026e+04 1.714142857142857247e+04 1.018154285714285493e+03
4.499999999999999833e-02 3.454777777777778101e+04 1.364246666666666533e+04 1.114191111111111013e+03
5.500000000000000028e-02 2.906745454545454777e+04 1.126718181818181984e+04 9.389745454545454777e+02
6.500000000000000222e-02 2.542492307692307440e+04 9.504646153846153538e+03 6.937646153846153538e+02
7.499999999999999722e-02 2.193586666666666861e+04 8.078159999999999854e+03 4.880680000000000405e+02
8.500000000000000611e-02 1.832858823529411529e+04 6.747388235294117294e+03 4.508564705882352541e+02
9.500000000000000111e-02 1.523905263157894842e+04 5.630673684210526517e+03 4.482726315789473688e+02
1.049999999999999961e-01 1.309771428571428623e+04 4.764742857142857247e+03 4.330009523809524126e+02
1.150000000000000050e-01 1.168686956521739012e+04 4.083504347826086814e+03 4.184808695652174038e+02
1.250000000000000000e-01 1.061560000000000036e+04 3.542583999999999833e+03 3.588543999999999983e+02
1.350000000000000089e-01 9.589111111111109494e+03 3.095785185185184673e+03 3.068962962962962706e+02
1.449999999999999900e-01 8.537862068965518120e+03 2.718358620689655254e+03 3.003517241379310576e+02
1.549999999999999989e-01 7.587483870967741495e+03 2.421767741935484082e+03 2.528367741935483934e+02
1.650000000000000078e-01 6.830424242424242038e+03 2.172854545454545587e+03 2.463890909090909247e+02
1.749999999999999889e-01 6.261200000000000728e+03 1.922057142857143162e+03 2.498377142857143269e+02
1.849999999999999978e-01 5.788486486486485774e+03 1.659032432432432415e+03 2.546832432432432256e+02
1.950000000000000067e-01 5.347743589743588927e+03 1.450584615384615290e+03 2.301138461538461399e+02
2.049999999999999878e-01 4.928829268292683082e+03 1.306765853658536571e+03 2.160160975609755951e+02
2.149999999999999967e-01 4.535581395348836850e+03 1.165311627906976810e+03 1.914460465116279124e+02
2.250000000000000056e-01 4.192817777777777337e+03 1.043102222222222281e+03 1.787253333333333387e+02
2.349999999999999867e-01 3.897051063829787381e+03 9.099489361702128463e+02 1.729923404255319213e+02
2.449999999999999956e-01 3.643881632653061388e+03 7.914571428571429124e+02 1.474461224489795939e+02
2.550000000000000044e-01 3.408596078431372462e+03 6.918666666666665606e+02 1.677941176470588402e+02
2.650000000000000133e-01 3.193483018867924329e+03 5.935735849056603683e+02 1.381947169811320748e+02
2.750000000000000222e-01 2.987992727272726825e+03 5.132654545454545314e+02 1.409647272727272878e+02
2.849999999999999756e-01 2.806336842105263713e+03 4.353263157894737105e+02 1.347950877192982659e+02
2.949999999999999845e-01 2.639111864406779659e+03 3.640237288135593303e+02 1.294105084745762611e+02
