# k     Q0     Q2     Q4
5.000000000000000104e-03 5.835080000000000291e+04 4.761220000000000255e+03 0.000000000000000000e+00
1.499999999999999944e-02 6.944533333333334303e+04 1.933120000000000073e+04 0.000000000000000000e+00
2.500000000000000139e-02 6.249319999999999709e+04 2.129927999999999884e+04 0.000000000000000000e+00
3.500000000000000333e-02 5.002314285714284779e+04 1.789562857142856956e+04 0.000000000000000000e+00
4.499999999999999833e-02 4.000466666666667152e+04 1.446780000000000109e+04 0.000000000000000000e+00
5.500000000000000028e-02 3.357436363636363239e+04 1.196270909090908935e+04 0.000000000000000000e+00
6.500000000000000222e-02 2.922676923076923049e+04 1.001853846153846098e+04 0.000000000000000000e+00
7.499999999999999722e-02 2.516706666666666570e+04 8.439693333333332703e+03 0.000000000000000000e+00
8.500000000000000611e-02 2.102752941176470267e+04 7.081352941176469358e+03 0.000000000000000000e+00
9.500000000000000111e-02 1.749126315789473665e+04 5.962736842105263349e+03 0.000000000000000000e+00
1.049999999999999961e-01 1.500361904761904952e+04 5.085485714285714494e+03 0.000000000000000000e+00
1.150000000000000050e-01 1.332034782608695605e+04 4.393486956521738648e+03 0.000000000000000000e+00
1.250000000000000000e-01 1.203263999999999942e+04 3.808400000000000091e+03 0.000000000000000000e+00
1.350000000000000089e-01 1.082748148148148175e+04 3.323118518518518158e+03 0.000000000000000000e+00
1.449999999999999900e-01 9.625172413793105079e+03 2.940841379310345019e+03 0.000000000000000000e+00
1.549999999999999989e-01 8.556193548387096598e+03 2.609051612903225760e+03 0.000000000000000000e+00
1.650000000000000078e-01 7.699575757575757962e+03 2.355363636363636033e+03 0.000000000000000000e+00
1.749999999999999889e-01 7.030000000000000000e+03 2.107119999999999891e+03 0.000000000000000000e+00
1.849999999999999978e-01 6.452108108108108354e+03 1.847686486486486501e+03 0.000000000000000000e+00
1.950000000000000067e-01 5.927948717948717785e+03 1.621041025641025726e+03 0.000000000000000000e+00
2.049999999999999878e-01 5.451560975609756497e+03 1.466775609756097765e+03 0.000000000000000000e+00
2.149999999999999967e-01 5.001720930232557293e+03 1.307125581395348718e+03 0.000000000000000000e+00
2.250000000000000056e-01 4.610044444444444707e+03 1.175493333333333339e+03 0.000000000000000000e+00
2.349999999999999867e-01 4.261021276595744894e+03 1.038093617021276714e+03 0.000000000000000000e+00
2.449999999999999956e-01 3.960465306122448965e+03 9.006775510204081456e+02 0.000000000000000000e+00
2.550000000000000044e-01 3.685341176470587925e+03 8.161607843137254577e+02 0.000000000000000000e+00
2.650000000000000133e-01 3.430913207547169804e+03 6.959396226415094588e+02 0.000000000000000000e+00
2.750000000000000222e-01 3.193298181818181547e+03 6.176836363636363103e+02 0.000000000000000000e+00
2.849999999999999756e-01 2.980466666666666697e+03 5.351719298245614027e+02 0.000000000000000000e+00
2.949999999999999845e-01 2.784722033898305199e+03 4.598813559322034052e+02 0.000000000000000000e+00
