# k     P0     P2     P4
5.000000000000000104e-03 4.995940000000000146e+04 4.579519999999999413e+02 2.430179999999999836e+03
1.499999999999999944e-02 5.805100000000000000e+04 1.516386666666666679e+04 1.720313333333333503e+03
2.500000000000000139e-02 5.145199999999999272e+04 1.672175999999999840e+04 1.746007999999999811e+03
3.500000000000000333e-02 4.130457142857142753e+04 1.467642857142856883e+04 1.287708571428571304e+03
4.499999999999999833e-02 3.310000000000000000e+04 1.242479999999999927e+04 9.447422222222221535e+02
5.500000000000000028e-02 2.790818181818181984e+04 1.008325454545454522e+04 1.071365454545454440e+03
6.500000000000000222e-02 2.440661538461538657e+04 8.754969230769229398e+03 8.040215384615385119e+02
7.499999999999999722e-02 2.103573333333333358e+04 7.410093333333333248e+03 6.530720000000001164e+02
8.500000000000000611e-02 1.760376470588234952e+04 6.112894117647058010e+03 5.267823529411764412e+02
9.500000000000000111e-02 1.466557894736842172e+04 5.193073684210526153e+03 4.441263157894736651e+02
1.049999999999999961e-01 1.260638095238095411e+04 4.372266666666667334e+03 4.392733333333333690e+02
1.150000000000000050e-01 1.123469565217391209e+04 3.682356521739130130e+03 4.143956521739130494e+02
1.250000000000000000e-01 1.018552000000000044e+04 3.230440000000000055e+03 3.839871999999999730e+02
1.350000000000000089e-01 9.192444444444443434e+03 2.811837037037037135e+03 4.049688888888888414e+02
1.449999999999999900e-01 8.167172413793104170e+03 2.500110344827586687e+03 3.146931034482758491e+02
1.549999999999999989e-01 7.257870967741935601e+03 2.211851612903225941e+03 3.249729032258064763e+02
1.650000000000000078e-01 6.532606060606060964e+03 1.956860606060605960e+03 2.938381818181817948e+02
1.749999999999999889e-01 5.970342857142857611e+03 1.742960000000000036e+03 2.870811428571428792e+02
1.849999999999999978e-01 5.512756756756756658e+03 1.513329729729729706e+03 2.573145945945946096e+02
1.950000000000000067e-01 5.090000000000000000e+03 1.337851282051281942e+03 2.516430769230769044e+02
2.049999999999999878e-01 4.680014634146341450e+03 1.179785365853658504e+03 2.327058536585366255e+02
2.149999999999999967e-01 4.311804651162790833e+03 1.056795348837209303e+03 2.251613953488372033e+02
2.250000000000000056e-01 3.980479999999999563e+03 9.298711111111110768e+02 2.071119999999999948e+02
2.349999999999999867e-01 3.693497872340425602e+03 8.370851063829787790e+02 1.945536170212766081e+02
2.449999999999999956e-01 3.448277551020408282e+03 7.200244897959183845e+02 1.926069387755102014e+02
2.550000000000000044e-01 3.222917647058823604e+03 6.163490196078431609e+02 1.657380392156862570e+02
2.650000000000000133e-01 3.005169811320754434e+03 5.283094339622641655e+02 1.708818867924528320e+02
2.750000000000000222e-01 2.811232727272727061e+03 4.509272727272726797e+02 1.751225454545454454e+02
2.849999999999999756e-01 2.639347368421053034e+03 3.720350877192983035e+02 1.625578947368421154e+02
2.949999999999999845e-01 2.476003389830508695e+03 3.180335593220339092e+02 1.288108474576271192e+02
