# k     Q0     Q2     Q4
5.000000000000000104e-03 5.014259999999999854e+04 2.258079999999999927e+03 0.000000000000000000e+00
1.499999999999999944e-02 6.411653333333334012e+04 1.643820000000000073e+04 0.000000000000000000e+00
2.500000000000000139e-02 5.814079999999999563e+04 1.801507999999999811e+04 0.000000000000000000e+00
3.500000000000000333e-02 4.717514285714285506e+04 1.563028571428571195e+04 0.000000000000000000e+00
4.499999999999999833e-02 3.807000000000000000e+04 1.312462222222222226e+04 0.000000000000000000e+00
5.500000000000000028e-02 3.194163636363636397e+04 1.087685454545454559e+04 0.000000000000000000e+00
6.500000000000000222e-02 2.790846153846153538e+04 9.350538461538460979e+03 0.000000000000000000e+00
7.499999999999999722e-02 2.399986666666666861e+04 7.893853333333333467e+03 0.000000000000000000e+00
8.500000000000000611e-02 2.004894117647058738e+04 6.503094117647058738e+03 0.000000000000000000e+00
9.500000000000000111e-02 1.674284210526315655e+04 5.522052631578947512e+03 0.000000000000000000e+00
1.049999999999999961e-01 1.435533333333333394e+04 4.697657142857143299e+03 0.000000000000000000e+00
1.150000000000000050e-01 1.270756521739130221e+04 3.989313043478260624e+03 0.000000000000000000e+00
1.250000000000000000e-01 1.147768000000000029e+04 3.514871999999999844e+03 0.000000000000000000e+00
1.350000000000000089e-01 1.031718518518518431e+04 3.111814814814814781e+03 0.000000000000000000e+00
1.449999999999999900e-01 9.167172413793103260e+03 2.733213793103448097e+03 0.000000000000000000e+00
1.549999999999999989e-01 8.142645161290321994e+03 2.452567741935484264e+03 0.000000000000000000e+00
1.650000000000000078e-01 7.315333333333333030e+03 2.174515151515151501e+03 0.000000000000000000e+00
1.749999999999999889e-01 6.667542857142857429e+03 1.955617142857143108e+03 0.000000000000000000e+00
1.849999999999999978e-01 6.118054054054053267e+03 1.703935135135135170e+03 0.000000000000000000e+00
1.950000000000000067e-01 5.625128205128205082e+03 1.524256410256410391e+03 0.000000000000000000e+00
2.049999999999999878e-01 5.151951219512196076e+03 1.352156097560975695e+03 0.000000000000000000e+00
2.149999999999999967e-01 4.734511627906976173e+03 1.223581395348837304e+03 0.000000000000000000e+00
2.250000000000000056e-01 4.352426666666667188e+03 1.083288888888889005e+03 0.000000000000000000e+00
2.349999999999999867e-01 4.028331914893617522e+03 9.812000000000000455e+02 0.000000000000000000e+00
2.449999999999999956e-01 3.736285714285714221e+03 8.626938775510204778e+02 0.000000000000000000e+00
2.550000000000000044e-01 3.469458823529411802e+03 7.391176470588235361e+02 0.000000000000000000e+00
2.650000000000000133e-01 3.216494339622641291e+03 6.548867924528301501e+02 0.000000000000000000e+00
2.750000000000000222e-01 2.991603636363636269e+03 5.806472727272727070e+02 0.000000000000000000e+00
2.849999999999999756e-01 2.788157894736842536e+03 4.924456140350877718e+02 0.000000000000000000e+00
2.949999999999999845e-01 2.603216949152542384e+03 4.134474576271186379e+02 0.000000000000000000e+00
