# k     P0     P2     P4
5.000000000000000104e-03 2.496120000000000073e+04 1.398643999999999869e+04 -2.909119999999999891e+03
1.499999999999999944e-02 3.684326666666667006e+04 2.080046666666666715e+04 6.087526666666666415e+02
2.500000000000000139e-02 3.221739999999999782e+04 1.784872000000000116e+04 1.048816000000000031e+03
3.500000000000000333e-02 2.510977142857142462e+04 1.383614285714285506e+04 1.185857142857142748e+02
4.499999999999999833e-02 1.971373333333333358e+04 1.079457777777777665e+04 8.179155555555555566e+02
5.500000000000000028e-02 1.628181818181818198e+04 8.642545454545454049e+03 4.784945454545454595e+02
6.500000000000000222e-02 1.417201538461538439e+04 7.481430769230769329e+03 3.127707692307692469e+02
7.499999999999999722e-02 1.215915999999999985e+04 6.310226666666666461e+03 1.912986666666666906e+02
8.500000000000000611e-02 9.894823529411763957e+03 5.209611764705881797e+03 3.547117647058823309e+02
9.500000000000000111e-02 7.975589473684211043e+03 4.137147368421052306e+03 3.352494736842105567e+02
1.049999999999999961e-01 6.712914285714286052e+03 3.531828571428571195e+03 2.214428571428571502e+02
1.150000000000000050e-01 5.899130434782608063e+03 3.097199999999999818e+03 1.699086956521739182e+02
1.250000000000000000e-01 5.290311999999999898e+03 2.663632000000000062e+03 1.739576000000000136e+02
1.350000000000000089e-01 4.707555555555554747e+03 2.327940740740740694e+03 1.651792592592592541e+02
1.449999999999999900e-01 4.091668965517241759e+03 2.021689655172413723e+03 1.617806896551724378e+02
1.549999999999999989e-01 3.535896774193548026e+03 1.797851612903225714e+03 1.755677419354838662e+02
1.650000000000000078e-01 3.114424242424242038e+03 1.564054545454545405e+03 1.782278787878787796e+02
1.749999999999999889e-01 2.805931428571429024e+03 1.349200000000000273e+03 1.388560000000000230e+02
1.849999999999999978e-01 2.555627027027026998e+03 1.229935135135135170e+03 1.030951351351351377e+02
1.950000000000000067e-01 2.317199999999999818e+03 1.104148717948717831e+03 1.734502564102564008e+02
2.049999999999999878e-01 2.079536585365853625e+03 9.828487804878050156e+02 1.295297560975609770e+02
2.149999999999999967e-01 1.869353488372093125e+03 8.781255813953488314e+02 1.240302325581395309e+02
2.250000000000000056e-01 1.693920000000000073e+03 7.962844444444443752e+02 9.427333333333334053e+01
2.349999999999999867e-01 1.540178723404255379e+03 7.157829787234043124e+02 1.127289361702127621e+02
2.449999999999999956e-01 1.408273469387755085e+03 6.321673469387754949e+02 9.626979591836733618e+01
2.550000000000000044e-01 1.286768627450980375e+03 5.728431372549018761e+02 1.251470588235294201e+02
2.650000000000000133e-01 1.186558490566037563e+03 4.980716981132075603e+02 1.064109433962264006e+02
2.750000000000000222e-01 1.085872727272727161e+03 4.700218181818181620e+02 8.738254545454545053e+01
2.849999999999999756e-01 1.001182456140350951e+03 4.170070175438596607e+02 6.237578947368422178e+01
2.949999999999999845e-01 9.156610169491525539e+02 3.651830508474576504e+02 7.095932203389830306e+01
