# k     P0     P2     P4
5.000000000000000104e-03 2.372239999999999782e+04 7.466500000000000909e+03 7.478559999999999945e+02
1.499999999999999944e-02 3.218566666666666788e+04 1.516593333333333430e+04 5.251059999999999945e+02
2.500000000000000139e-02 2.872851999999999680e+04 1.396768000000000029e+04 8.537879999999998972e+02
3.500000000000000333e-02 2.289342857142856883e+04 1.180439999999999964e+04 9.101257142857141389e+02
4.499999999999999833e-02 1.802935555555555766e+04 9.525955555555556202e+03 5.856711111111111450e+02
5.500000000000000028e-02 1.500112727272727352e+04 7.685654545454545769e+03 4.879654545454545769e+02
6.500000000000000222e-02 1.302650769230769038e+04 6.665076923076922867e+03 3.585953846153846030e+02
7.499999999999999722e-02 1.112396000000000095e+04 5.689506666666667115e+03 3.202746666666666897e+02
8.500000000000000611e-02 9.099094117647058738e+03 4.531458823529411347e+03 2.901976470588234633e+02
9.500000000000000111e-02 7.384242105263158010e+03 3.654031578947367962e+03 2.377631578947368212e+02
1.049999999999999961e-01 6.232152380952380554e+03 3.165314285714285688e+03 2.111028571428571468e+02
1.150000000000000050e-01 5.454608695652173083e+03 2.698469565217391391e+03 2.181852173913043487e+02
1.250000000000000000e-01 4.918144000000000233e+03 2.388896000000000186e+03 1.722215999999999951e+02
1.350000000000000089e-01 4.361488888888889051e+03 2.085022222222222354e+03 1.695022222222222013e+02
1.449999999999999900e-01 3.788048275862069659e+03 1.820172413793103715e+03 1.928379310344827786e+02
1.549999999999999989e-01 3.287083870967741859e+03 1.575548387096774150e+03 1.775709677419354762e+02
1.650000000000000078e-01 2.890375757575757234e+03 1.409903030303030164e+03 1.582454545454545212e+02
1.749999999999999889e-01 2.598251428571428733e+03 1.252525714285714457e+03 1.564548571428571506e+02
1.849999999999999978e-01 2.363027027027027088e+03 1.103745945945946005e+03 1.237881081081081049e+02
1.950000000000000067e-01 2.142082051282051452e+03 9.809589743589743875e+02 1.127328205128205099e+02
2.049999999999999878e-01 1.933390243902439352e+03 8.681365853658536480e+02 1.108292682926829258e+02
2.149999999999999967e-01 1.740762790697674518e+03 7.830511627906976173e+02 1.054102325581395405e+02
2.250000000000000056e-01 1.571937777777777683e+03 7.182400000000000091e+02 1.047697777777777759e+02
2.349999999999999867e-01 1.428787234042553109e+03 6.456170212765957785e+02 1.040276595744680890e+02
2.449999999999999956e-01 1.309342857142857156e+03 5.789795918367346985e+02 1.007134693877551115e+02
2.550000000000000044e-01 1.202796078431372507e+03 5.103098039215685731e+02 7.536627450980391529e+01
2.650000000000000133e-01 1.101803773584905684e+03 4.578943396226414961e+02 7.633735849056603229e+01
2.750000000000000222e-01 1.007403636363636338e+03 4.123709090909090378e+02 7.854654545454545200e+01
2.849999999999999756e-01 9.250912280701755890e+02 3.711578947368421382e+02 6.538350877192982580e+01
2.949999999999999845e-01 8.523254237288135755e+02 3.395728813559322248e+02 5.602033898305084847e+01
