# k     P0     P2     P4
5.000000000000000104e-03 8.034079999999999927e+03 -4.219140000000000327e+03 -5.591259999999999309e+03
1.499999999999999944e-02 1.446753333333333467e+04 1.878093333333333248e+03 -6.729333333333333030e+03
2.500000000000000139e-02 1.442875999999999840e+04 5.019599999999999454e+03 -4.418639999999999418e+03
3.500000000000000333e-02 1.218894285714285616e+04 5.545457142857142571e+03 -2.626188571428571322e+03
4.499999999999999833e-02 9.927444444444445253e+03 4.962800000000000182e+03 -1.453797777777777810e+03
5.500000000000000028e-02 8.490563636363636761e+03 4.285527272727273157e+03 -9.277763636363637261e+02
6.500000000000000222e-02 7.455030769230768783e+03 3.846092307692307713e+03 -6.667661538461537702e+02
7.499999999999999722e-02 6.463880000000000109e+03 3.322573333333333721e+03 -4.945546666666666624e+02
8.500000000000000611e-02 5.393023529411763775e+03 2.718070588235294053e+03 -2.978835294117646981e+02
9.500000000000000111e-02 4.472747368421052670e+03 2.208968421052631584e+03 -1.985557894736842002e+02
1.049999999999999961e-01 3.850685714285714312e+03 1.855180952380952476e+03 -1.454104761904762029e+02
1.150000000000000050e-01 3.419782608695652016e+03 1.614286956521739057e+03 -1.095547826086956462e+02
1.250000000000000000e-01 3.107992000000000189e+03 1.420112000000000080e+03 -6.556087999999999738e+01
1.350000000000000089e-01 2.796548148148147902e+03 1.246000000000000000e+03 -4.043814814814814440e+01
1.449999999999999900e-01 2.488462068965517574e+03 1.094724137931034647e+03 -2.688648275862069070e+01
1.549999999999999989e-01 2.201619354838709569e+03 9.435935483870968028e+02 -6.508451612903225936e+00
1.650000000000000078e-01 1.978909090909090764e+03 8.228787878787878753e+02 -1.337406060606060443e+01
1.749999999999999889e-01 1.813440000000000055e+03 7.181485714285714721e+02 -5.610674285714285503e+00
1.849999999999999978e-01 1.675637837837837878e+03 6.471081081081081265e+02 1.610399999999999920e+01
1.950000000000000067e-01 1.543589743589743648e+03 5.630410256410256125e+02 1.808682051282051262e+01
2.049999999999999878e-01 1.421443902439024441e+03 4.887414634146341541e+02 2.845580487804878445e+01
2.149999999999999967e-01 1.308725581395348854e+03 4.308637209302325459e+02 1.450339534883720916e+01
2.250000000000000056e-01 1.208746666666666670e+03 3.828502222222222144e+02 2.214626666666666921e+01
2.349999999999999867e-01 1.124506382978723423e+03 3.444051063829787154e+02 2.275468085106382787e+01
2.449999999999999956e-01 1.050261224489795950e+03 2.977073469387755154e+02 1.449755102040816368e+01
2.550000000000000044e-01 9.844156862745098806e+02 2.609643137254902285e+02 2.294941176470588218e+01
2.650000000000000133e-01 9.245886792452829468e+02 2.260762264150943395e+02 2.173799999999999955e+01
2.750000000000000222e-01 8.667236363636362739e+02 1.992556363636363415e+02 1.921967272727272302e+01
2.849999999999999756e-01 8.135789473684211544e+02 1.703617543859649288e+02 2.290273684210526639e+01
2.949999999999999845e-01 7.662101694915254484e+02 1.462342372881356027e+02 2.262542372881356201e+01
