# k     Q0     Q2     Q4
5.000000000000000104e-03 6.346439999999999600e+03 -8.360800000000001091e+03 0.000000000000000000e+00
1.499999999999999944e-02 1.521880000000000109e+04 -3.106599999999999909e+03 0.000000000000000000e+00
2.500000000000000139e-02 1.643655999999999767e+04 1.746528000000000020e+03 0.000000000000000000e+00
3.500000000000000333e-02 1.440711428571428587e+04 3.600114285714285415e+03 0.000000000000000000e+00
4.499999999999999833e-02 1.191257777777777846e+04 3.885911111111111495e+03 0.000000000000000000e+00
5.500000000000000028e-02 1.020478181818181838e+04 3.598290909090909281e+03 0.000000000000000000e+00
6.500000000000000222e-02 8.993461538461539021e+03 3.352199999999999818e+03 0.000000000000000000e+00
7.499999999999999722e-02 7.792906666666666752e+03 2.956226666666666915e+03 0.000000000000000000e+00
8.500000000000000611e-02 6.480258823529411529e+03 2.497423529411764775e+03 0.000000000000000000e+00
9.500000000000000111e-02 5.356336842105262804e+03 2.061894736842104976e+03 0.000000000000000000e+00
1.049999999999999961e-01 4.592761904761904589e+03 1.747466666666666924e+03 0.000000000000000000e+00
1.150000000000000050e-01 4.065504347826086814e+03 1.533139130434782601e+03 0.000000000000000000e+00
1.250000000000000000e-01 3.676032000000000153e+03 1.371544000000000096e+03 0.000000000000000000e+00
1.350000000000000089e-01 3.294948148148147993e+03 1.216044444444444252e+03 0.000000000000000000e+00
1.449999999999999900e-01 2.926351724137931342e+03 1.074806896551724321e+03 0.000000000000000000e+00
1.549999999999999989e-01 2.579058064516128979e+03 9.387741935483870748e+02 0.000000000000000000e+00
1.650000000000000078e-01 2.308060606060606005e+03 8.129696969696968836e+02 0.000000000000000000e+00
1.749999999999999889e-01 2.100697142857143263e+03 7.139942857142857520e+02 0.000000000000000000e+00
1.849999999999999978e-01 1.934481081081081129e+03 6.590378378378378557e+02 0.000000000000000000e+00
1.950000000000000067e-01 1.768805128205128085e+03 5.764410256410257034e+02 0.000000000000000000e+00
2.049999999999999878e-01 1.616941463414634200e+03 5.098195121951220017e+02 0.000000000000000000e+00
2.149999999999999967e-01 1.481069767441860449e+03 4.416069767441860563e+02 0.000000000000000000e+00
2.250000000000000056e-01 1.361888888888888914e+03 3.992551111111111481e+02 0.000000000000000000e+00
2.349999999999999867e-01 1.262268085106383069e+03 3.612604255319149047e+02 0.000000000000000000e+00
2.449999999999999956e-01 1.169346938775510353e+03 3.084465306122448851e+02 0.000000000000000000e+00
2.550000000000000044e-01 1.088803921568627402e+03 2.779639215686274270e+02 0.000000000000000000e+00
2.650000000000000133e-01 1.015022641509433925e+03 2.421784905660377376e+02 0.000000000000000000e+00
2.750000000000000222e-01 9.464254545454544996e+02 2.134923636363636206e+02 0.000000000000000000e+00
2.849999999999999756e-01 8.817228070175439143e+02 1.873266666666666822e+02 0.000000000000000000e+00
2.949999999999999845e-01 8.247050847457627469e+02 1.629938983050847412e+02 0.000000000000000000e+00
