# k     P0     P2     P4
5.000000000000000104e-03 8.696540000000000873e+03 -3.392759999999999764e+03 -2.235439999999999600e+03
1.499999999999999944e-02 1.327493333333333430e+04 1.969913333333333412e+03 -3.299173333333333630e+03
2.500000000000000139e-02 1.302683999999999833e+04 4.272159999999999854e+03 -2.376648000000000138e+03
3.500000000000000333e-02 1.114305714285714203e+04 4.618685714285713402e+03 -1.406014285714285734e+03
4.499999999999999833e-02 9.281488888888889051e+03 4.135933333333333394e+03 -9.121400000000001000e+02
5.500000000000000028e-02 7.951236363636363421e+03 3.665527272727273157e+03 -5.666800000000000637e+02
6.500000000000000222e-02 7.005800000000000182e+03 3.328538461538461434e+03 -3.899984615384615267e+02
7.499999999999999722e-02 6.088000000000000909e+03 2.910986666666667134e+03 -2.379146666666666476e+02
8.500000000000000611e-02 5.146070588235294053e+03 2.336835294117646754e+03 -1.812658823529411620e+02
9.500000000000000111e-02 4.319957894736841808e+03 1.888442105263157828e+03 -1.394568421052631493e+02
1.049999999999999961e-01 3.724876190476190914e+03 1.610876190476190459e+03 -9.491219047619048865e+01
1.150000000000000050e-01 3.303791304347825644e+03 1.401695652173913004e+03 -5.681313043478260028e+01
1.250000000000000000e-01 2.992023999999999887e+03 1.257367999999999938e+03 -2.527952000000000155e+01
1.350000000000000089e-01 2.695214814814814417e+03 1.105414814814814690e+03 5.944059259259259598e+00
1.449999999999999900e-01 2.401517241379310690e+03 9.600344827586208112e+02 3.027324137931034542e+01
1.549999999999999989e-01 2.138251612903225578e+03 8.195677419354839230e+02 3.129490322580645412e+01
1.650000000000000078e-01 1.922327272727272884e+03 7.268060606060605551e+02 2.929503030303030187e+01
1.749999999999999889e-01 1.755840000000000146e+03 6.338171428571429260e+02 4.094994285714285809e+01
1.849999999999999978e-01 1.617897297297297200e+03 5.714810810810811290e+02 3.427037837837838197e+01
1.950000000000000067e-01 1.496912820512820645e+03 4.955712820512820258e+02 3.246174358974359109e+01
2.049999999999999878e-01 1.378521951219512175e+03 4.363400000000000887e+02 3.833195121951219875e+01
2.149999999999999967e-01 1.268972093023255866e+03 3.908027906976744248e+02 3.766613953488371891e+01
2.250000000000000056e-01 1.171542222222222108e+03 3.454124444444444180e+02 4.855155555555555225e+01
2.349999999999999867e-01 1.091395744680851067e+03 3.030851063829787222e+02 4.477021276595745292e+01
2.449999999999999956e-01 1.020159183673469329e+03 2.683012244897959135e+02 4.513061224489796075e+01
2.550000000000000044e-01 9.548156862745098579e+02 2.269427450980392109e+02 3.583929411764705719e+01
2.650000000000000133e-01 8.923132075471697817e+02 1.984690566037735664e+02 4.554792452830188410e+01
2.750000000000000222e-01 8.374472727272726615e+02 1.721883636363636185e+02 3.909054545454544893e+01
2.849999999999999756e-01 7.859719298245614709e+02 1.514385964912280826e+02 3.968842105263158260e+01
2.949999999999999845e-01 7.406847457627119411e+02 1.285545762711864484e+02 3.533661016949152867e+01
