# k     Q0     Q2     Q4
5.000000000000000104e-03 7.339440000000000509e+03 -5.048640000000000327e+03 0.000000000000000000e+00
1.499999999999999944e-02 1.406293333333333248e+04 -4.739173333333333744e+02 0.000000000000000000e+00
2.500000000000000139e-02 1.473571999999999753e+04 2.511679999999999836e+03 0.000000000000000000e+00
3.500000000000000333e-02 1.299051428571428551e+04 3.577199999999999818e+03 0.000000000000000000e+00
4.499999999999999833e-02 1.093586666666666679e+04 3.460266666666666424e+03 0.000000000000000000e+00
5.500000000000000028e-02 9.417436363636363239e+03 3.245763636363636124e+03 0.000000000000000000e+00
6.500000000000000222e-02 8.337215384615383300e+03 3.039646153846153538e+03 0.000000000000000000e+00
7.499999999999999722e-02 7.252386666666666315e+03 2.734760000000000218e+03 0.000000000000000000e+00
8.500000000000000611e-02 6.080800000000000182e+03 2.202564705882352882e+03 0.000000000000000000e+00
9.500000000000000111e-02 5.075336842105262804e+03 1.785136842105262986e+03 0.000000000000000000e+00
1.049999999999999961e-01 4.369228571428571740e+03 1.540571428571428442e+03 0.000000000000000000e+00
1.150000000000000050e-01 3.864469565217390937e+03 1.359617391304347620e+03 0.000000000000000000e+00
1.250000000000000000e-01 3.494967999999999847e+03 1.238640000000000100e+03 0.000000000000000000e+00
1.350000000000000089e-01 3.137377777777777737e+03 1.109822222222222081e+03 0.000000000000000000e+00
1.449999999999999900e-01 2.785531034482758514e+03 9.824620689655172328e+02 0.000000000000000000e+00
1.549999999999999989e-01 2.466077419354838639e+03 8.427548387096775286e+02 0.000000000000000000e+00
1.650000000000000078e-01 2.213048484848484804e+03 7.485030303030303003e+02 0.000000000000000000e+00
1.749999999999999889e-01 2.009365714285714375e+03 6.641485714285714721e+02 0.000000000000000000e+00
1.849999999999999978e-01 1.846486486486486683e+03 5.968648648648648987e+02 0.000000000000000000e+00
1.950000000000000067e-01 1.695138461538461570e+03 5.196153846153846416e+02 0.000000000000000000e+00
2.049999999999999878e-01 1.553053658536585317e+03 4.647341463414634291e+02 0.000000000000000000e+00
2.149999999999999967e-01 1.425293023255813978e+03 4.187032558139534899e+02 0.000000000000000000e+00
2.250000000000000056e-01 1.309706666666666706e+03 3.813764444444444734e+02 0.000000000000000000e+00
2.349999999999999867e-01 1.212629787234042624e+03 3.362480851063829732e+02 0.000000000000000000e+00
2.449999999999999956e-01 1.127477551020408328e+03 3.017314285714285802e+02 0.000000000000000000e+00
2.550000000000000044e-01 1.045592156862745014e+03 2.534905882352941262e+02 0.000000000000000000e+00
2.650000000000000133e-01 9.717018867924526830e+02 2.322079245283018736e+02 0.000000000000000000e+00
2.750000000000000222e-01 9.063199999999999363e+02 2.011443636363636358e+02 0.000000000000000000e+00
2.849999999999999756e-01 8.465473684210526244e+02 1.808371929824561732e+02 0.000000000000000000e+00
2.949999999999999845e-01 7.921050847457627242e+02 1.547298305084745778e+02 0.000000000000000000e+00
