# k     P0     P2     P4
5.000000000000000104e-03 5.455299999999999272e+04 6.990940000000000509e+02 -6.688859999999999673e+03
1.499999999999999944e-02 6.142366666666667152e+04 1.598540000000000146e+04 -2.947173333333333176e+03
2.500000000000000139e-02 5.416319999999999709e+04 1.926971999999999753e+04 -4.290959999999999468e+02
3.500000000000000333e-02 4.305057142857142753e+04 1.669285714285714130e+04 2.037934285714285352e+02
4.499999999999999833e-02 3.449022222222221899e+04 1.343528888888888832e+04 7.595111111111110631e+02
5.500000000000000028e-02 2.904636363636363603e+04 1.113761818181818126e+04 7.140454545454545041e+02
6.500000000000000222e-02 2.540123076923076587e+04 9.440015384615384392e+03 5.523461538461539249e+02
7.499999999999999722e-02 2.191933333333333576e+04 8.010440000000000509e+03 4.185533333333333417e+02
8.500000000000000611e-02 1.831776470588235316e+04 6.718247058823529187e+03 4.047835294117646185e+02
9.500000000000000111e-02 1.523778947368420995e+04 5.595673684210526517e+03 4.123336842105263145e+02
1.049999999999999961e-01 1.309885714285714494e+04 4.758676190476190641e+03 3.819171428571428919e+02
1.150000000000000050e-01 1.168643478260869597e+04 4.081860869565216944e+03 3.824052173913042907e+02
1.250000000000000000e-01 1.062112000000000080e+04 3.534472000000000207e+03 3.283951999999999884e+02
1.350000000000000089e-01 9.583259259259259125e+03 3.094355555555555384e+03 3.007725925925926163e+02
1.449999999999999900e-01 8.534000000000001819e+03 2.724482758620689765e+03 2.944800000000000182e+02
1.549999999999999989e-01 7.587161290322580498e+03 2.423864516129032381e+03 2.581258064516129025e+02
1.650000000000000078e-01 6.833393939393939036e+03 2.163424242424242038e+03 2.460466666666666811e+02
1.749999999999999889e-01 6.261142857142857792e+03 1.908114285714285870e+03 2.318097142857142785e+02
1.849999999999999978e-01 5.786000000000000909e+03 1.661378378378378557e+03 2.425475675675675689e+02
1.950000000000000067e-01 5.347128205128205082e+03 1.458887179487179537e+03 2.210297435897435889e+02
2.049999999999999878e-01 4.926487804878049246e+03 1.306634146341463520e+03 2.138165853658536832e+02
2.149999999999999967e-01 4.538153488372093307e+03 1.168051162790697617e+03 1.940744186046511572e+02
2.250000000000000056e-01 4.195213333333333139e+03 1.043786666666666633e+03 1.810937777777777740e+02
2.349999999999999867e-01 3.898740425531914752e+03 9.154127659574469362e+02 1.707595744680851340e+02
2.449999999999999956e-01 3.642020408163265074e+03 7.961387755102041410e+02 1.513967346938775336e+02
2.550000000000000044e-01 3.408713725490195884e+03 6.954745098039215918e+02 1.626898039215686254e+02
2.650000000000000133e-01 3.192833962264150614e+03 5.953773584905660528e+02 1.397166037735849216e+02
2.750000000000000222e-01 2.987105454545453995e+03 5.145854545454544677e+02 1.363716363636363553e+02
2.849999999999999756e-01 2.805129824561403893e+03 4.377017543859649891e+02 1.333954385964912319e+02
2.949999999999999845e-01 2.636352542372881544e+03 3.677559322033898752e+02 1.215755932203390017e+02
