# k     Q0     Q2     Q4
5.000000000000000104e-03 5.483279999999999563e+04 -4.255619999999999891e+03 0.000000000000000000e+00
1.499999999999999944e-02 6.781800000000000000e+04 1.380226666666666642e+04 0.000000000000000000e+00
2.500000000000000139e-02 6.187119999999999709e+04 1.895188000000000102e+04 0.000000000000000000e+00
3.500000000000000333e-02 4.972771428571428260e+04 1.684382857142857029e+04 0.000000000000000000e+00
4.499999999999999833e-02 3.986444444444444525e+04 1.399788888888888869e+04 0.000000000000000000e+00
5.500000000000000028e-02 3.350145454545454413e+04 1.166654545454545405e+04 0.000000000000000000e+00
6.500000000000000222e-02 2.917723076923076951e+04 9.849169230769230126e+03 0.000000000000000000e+00
7.499999999999999722e-02 2.512346666666666715e+04 8.320479999999999563e+03 0.000000000000000000e+00
8.500000000000000611e-02 2.100505882352941262e+04 7.018082352941176396e+03 0.000000000000000000e+00
9.500000000000000111e-02 1.747610526315789321e+04 5.901105263157895024e+03 0.000000000000000000e+00
1.049999999999999961e-01 1.500238095238095229e+04 5.041571428571428442e+03 0.000000000000000000e+00
1.150000000000000050e-01 1.331913043478260806e+04 4.365130434782608972e+03 0.000000000000000000e+00
1.250000000000000000e-01 1.203487999999999920e+04 3.777728000000000065e+03 0.000000000000000000e+00
1.350000000000000089e-01 1.082103703703703650e+04 3.317148148148147811e+03 0.000000000000000000e+00
1.449999999999999900e-01 9.623793103448277179e+03 2.942613793103448188e+03 0.000000000000000000e+00
1.549999999999999989e-01 8.556709677419354193e+03 2.615070967741935419e+03 0.000000000000000000e+00
1.650000000000000078e-01 7.698787878787878071e+03 2.345684848484848317e+03 0.000000000000000000e+00
1.749999999999999889e-01 7.024400000000000546e+03 2.079822857142857174e+03 0.000000000000000000e+00
1.849999999999999978e-01 6.450594594594594128e+03 1.841043243243243296e+03 0.000000000000000000e+00
1.950000000000000067e-01 5.930666666666666970e+03 1.622615384615384755e+03 0.000000000000000000e+00
2.049999999999999878e-01 5.449121951219512084e+03 1.465019512195122161e+03 0.000000000000000000e+00
2.149999999999999967e-01 5.005395348837209895e+03 1.311809302325581257e+03 0.000000000000000000e+00
2.250000000000000056e-01 4.612711111111110768e+03 1.177928888888888878e+03 0.000000000000000000e+00
2.349999999999999867e-01 4.264893617021276441e+03 1.041902127659574489e+03 0.000000000000000000e+00
2.449999999999999956e-01 3.960477551020408100e+03 9.082816326530612514e+02 0.000000000000000000e+00
2.550000000000000044e-01 3.686905882352940807e+03 8.159843137254902103e+02 0.000000000000000000e+00
2.650000000000000133e-01 3.430984905660377080e+03 6.988716981132074579e+02 0.000000000000000000e+00
2.750000000000000222e-01 3.192941818181817780e+03 6.156036363636362694e+02 0.000000000000000000e+00
2.849999999999999756e-01 2.980210526315789593e+03 5.365122807017544346e+02 0.000000000000000000e+00
2.949999999999999845e-01 2.783454237288136028e+03 4.578135593220339388e+02 0.000000000000000000e+00
