# k     P0     P2     P4
5.000000000000000104e-03 4.794759999999999854e+04 -6.935500000000000000e+03 -4.067540000000000418e+03
1.499999999999999944e-02 5.720333333333333576e+04 1.130139999999999964e+04 -3.350173333333333630e+03
2.500000000000000139e-02 5.104159999999999854e+04 1.514239999999999964e+04 -7.413720000000000709e+02
3.500000000000000333e-02 4.111085714285714494e+04 1.394402857142856919e+04 -1.147554285714285527e+01
4.499999999999999833e-02 3.302022222222222626e+04 1.195513333333333321e+04 2.616111111111111427e+02
5.500000000000000028e-02 2.787145454545454777e+04 9.844600000000000364e+03 5.540618181818182393e+02
6.500000000000000222e-02 2.438430769230769147e+04 8.592061538461539385e+03 5.578830769230769420e+02
7.499999999999999722e-02 2.101506666666666933e+04 7.307066666666666606e+03 4.858559999999999945e+02
8.500000000000000611e-02 1.760035294117646845e+04 6.046388235294117294e+03 3.810929411764705037e+02
9.500000000000000111e-02 1.466536842105263167e+04 5.122189473684210498e+03 3.884800000000000182e+02
1.049999999999999961e-01 1.259238095238095411e+04 4.319780952380952840e+03 3.693219047619047615e+02
1.150000000000000050e-01 1.122982608695652198e+04 3.665713043478260715e+03 3.738252173913043066e+02
1.250000000000000000e-01 1.018871999999999935e+04 3.215152000000000044e+03 3.467536000000000058e+02
1.350000000000000089e-01 9.188222222222222626e+03 2.791385185185185037e+03 3.366244444444444071e+02
1.449999999999999900e-01 8.168827586206897649e+03 2.476648275862069113e+03 2.988117241379310371e+02
1.549999999999999989e-01 7.260516129032258505e+03 2.193090322580645079e+03 2.954058064516129321e+02
1.650000000000000078e-01 6.531999999999999091e+03 1.943012121212120974e+03 2.628260606060605937e+02
1.749999999999999889e-01 5.968057142857143845e+03 1.733577142857142917e+03 2.796200000000000045e+02
1.849999999999999978e-01 5.514432432432432506e+03 1.498805405405405509e+03 2.542610810810810733e+02
1.950000000000000067e-01 5.091205128205127949e+03 1.320661538461538385e+03 2.437179487179487012e+02
2.049999999999999878e-01 4.681912195121951299e+03 1.168960975609756133e+03 2.104087804878049042e+02
2.149999999999999967e-01 4.308004651162790651e+03 1.053395348837209212e+03 1.998404651162790628e+02
2.250000000000000056e-01 3.981897777777777719e+03 9.206933333333333849e+02 1.951062222222222147e+02
2.349999999999999867e-01 3.691825531914893418e+03 8.269829787234043579e+02 1.915663829787233965e+02
2.449999999999999956e-01 3.450363265306122685e+03 7.154489795918367463e+02 1.792477551020408271e+02
2.550000000000000044e-01 3.222949019607843184e+03 6.108392156862745423e+02 1.620039215686274474e+02
2.650000000000000133e-01 3.006698113207547067e+03 5.165773584905659845e+02 1.724992452830188654e+02
2.750000000000000222e-01 2.811076363636363567e+03 4.462909090909090537e+02 1.680727272727272634e+02
2.849999999999999756e-01 2.638884210526316110e+03 3.754982456140351132e+02 1.475512280701754548e+02
2.949999999999999845e-01 2.475467796610169898e+03 3.115172881355932191e+02 1.383267796610169569e+02
