# k     Q0     Q2     Q4
5.000000000000000104e-03 4.517339999999999418e+04 -9.948480000000001382e+03 0.000000000000000000e+00
1.499999999999999944e-02 6.172393333333334158e+04 8.819799999999999272e+03 0.000000000000000000e+00
2.500000000000000139e-02 5.709840000000000146e+04 1.459323999999999978e+04 0.000000000000000000e+00
3.500000000000000333e-02 4.668857142857142026e+04 1.393551428571428369e+04 0.000000000000000000e+00
4.499999999999999833e-02 3.780244444444444525e+04 1.214893333333333430e+04 0.000000000000000000e+00
5.500000000000000028e-02 3.180927272727272793e+04 1.025501818181818089e+04 0.000000000000000000e+00
6.500000000000000222e-02 2.782107692307692196e+04 9.005307692307693287e+03 0.000000000000000000e+00
7.499999999999999722e-02 2.393786666666666497e+04 7.666960000000000946e+03 0.000000000000000000e+00
8.500000000000000611e-02 2.001882352941176214e+04 6.328682352941175850e+03 0.000000000000000000e+00
9.500000000000000111e-02 1.671431578947368325e+04 5.409947368421053397e+03 0.000000000000000000e+00
1.049999999999999961e-01 1.432028571428571558e+04 4.593352380952381282e+03 0.000000000000000000e+00
1.150000000000000050e-01 1.269608695652173810e+04 3.942626086956521249e+03 0.000000000000000000e+00
1.250000000000000000e-01 1.147471999999999935e+04 3.472007999999999811e+03 0.000000000000000000e+00
1.350000000000000089e-01 1.030474074074074088e+04 3.040733333333333121e+03 0.000000000000000000e+00
1.449999999999999900e-01 9.159517241379311599e+03 2.697993103448276088e+03 0.000000000000000000e+00
1.549999999999999989e-01 8.137741935483870293e+03 2.411909677419354921e+03 0.000000000000000000e+00
1.650000000000000078e-01 7.309212121212121019e+03 2.137696969696969973e+03 0.000000000000000000e+00
1.749999999999999889e-01 6.661485714285714494e+03 1.940702857142857283e+03 0.000000000000000000e+00
1.849999999999999978e-01 6.114000000000000000e+03 1.687145945945946096e+03 0.000000000000000000e+00
1.950000000000000067e-01 5.619487179487178764e+03 1.501189743589743784e+03 0.000000000000000000e+00
2.049999999999999878e-01 5.149512195121951663e+03 1.324819512195122115e+03 0.000000000000000000e+00
2.149999999999999967e-01 4.729348837209302474e+03 1.201427906976744225e+03 0.000000000000000000e+00
2.250000000000000056e-01 4.350173333333333176e+03 1.065217777777777883e+03 0.000000000000000000e+00
2.349999999999999867e-01 4.022621276595745258e+03 9.688851063829787336e+02 0.000000000000000000e+00
2.449999999999999956e-01 3.736542857142856974e+03 8.482244897959184300e+02 0.000000000000000000e+00
2.550000000000000044e-01 3.467286274509804116e+03 7.308431372549019898e+02 0.000000000000000000e+00
2.650000000000000133e-01 3.213328301886792360e+03 6.443509433962262847e+02 0.000000000000000000e+00
2.750000000000000222e-01 2.989592727272727188e+03 5.707890909090908735e+02 0.000000000000000000e+00
2.849999999999999756e-01 2.789080701754386155e+03 4.847964912280702379e+02 0.000000000000000000e+00
2.949999999999999845e-01 2.600074576271186743e+03 4.139830508474576618e+02 0.000000000000000000e+00
