# k     P0     P2     P4
5.000000000000000104e-03 1.758647999999999956e+04 -2.915440000000000055e+03 -8.884099999999998545e+03
1.499999999999999944e-02 3.161306666666666933e+04 6.177573333333333721e+03 -1.135353333333333285e+04
2.500000000000000139e-02 2.999711999999999898e+04 1.056863999999999942e+04 -7.077399999999999636e+03
3.500000000000000333e-02 2.413777142857142462e+04 1.046237142857142680e+04 -3.839142857142856883e+03
4.499999999999999833e-02 1.917211111111111313e+04 8.928733333333333576e+03 -1.660762222222222363e+03
5.500000000000000028e-02 1.596787272727272648e+04 7.521090909090909918e+03 -1.085830909090909017e+03
6.500000000000000222e-02 1.398404615384615317e+04 6.759600000000000364e+03 -7.277861538461538657e+02
7.499999999999999722e-02 1.203093333333333430e+04 5.812626666666667006e+03 -5.035893333333333430e+02
8.500000000000000611e-02 9.805929411764705947e+03 4.815505882352940716e+03 -1.372505882352941171e+02
9.500000000000000111e-02 7.913842105263158373e+03 3.897263157894737105e+03 6.858505263157894660e+00
1.049999999999999961e-01 6.669504761904761835e+03 3.371857142857143117e+03 -1.439400000000000190e+01
1.150000000000000050e-01 5.864747826086956593e+03 2.953086956521739012e+03 -8.482739130434781671e+00
1.250000000000000000e-01 5.274887999999999920e+03 2.551536000000000058e+03 4.675728000000000151e+01
1.350000000000000089e-01 4.692199999999999818e+03 2.245622222222221808e+03 5.119362962962962627e+01
1.449999999999999900e-01 4.080744827586207066e+03 1.954337931034483063e+03 7.935310344827585993e+01
1.549999999999999989e-01 3.525438709677419411e+03 1.735303225806451564e+03 1.036193548387096826e+02
1.650000000000000078e-01 3.105751515151514923e+03 1.520181818181818244e+03 1.309848484848484702e+02
1.749999999999999889e-01 2.798514285714285961e+03 1.315388571428571595e+03 9.070857142857143174e+01
1.849999999999999978e-01 2.548837837837837924e+03 1.201027027027027088e+03 7.070432432432431824e+01
1.950000000000000067e-01 2.309625641025641016e+03 1.080348717948717876e+03 1.391958974358974217e+02
2.049999999999999878e-01 2.078039024390243867e+03 9.660439024390243503e+02 1.011624390243902383e+02
2.149999999999999967e-01 1.866120930232558294e+03 8.603534883720930111e+02 1.014758139534883696e+02
2.250000000000000056e-01 1.688573333333333267e+03 7.857244444444444298e+02 7.932088888888888789e+01
2.349999999999999867e-01 1.537157446808510940e+03 7.044425531914894236e+02 8.359446808510638505e+01
2.449999999999999956e-01 1.406118367346938840e+03 6.224653061224489647e+02 7.961632653061224119e+01
2.550000000000000044e-01 1.287466666666666470e+03 5.535137254901960659e+02 1.079509803921568647e+02
2.650000000000000133e-01 1.184233962264150932e+03 4.923283018867924739e+02 9.002679245283017906e+01
2.750000000000000222e-01 1.084054545454545405e+03 4.589490909090908417e+02 7.319890909090908337e+01
2.849999999999999756e-01 9.995824561403508142e+02 4.120561403508772287e+02 5.764105263157895820e+01
2.949999999999999845e-01 9.129355932203388875e+02 3.583322033898305108e+02 5.797254237288136380e+01
