# k     P0     P2     P4
5.000000000000000104e-03 1.935887999999999738e+04 -2.614760000000000218e+03 -4.033160000000000309e+03
1.499999999999999944e-02 2.909440000000000146e+04 6.519313333333333503e+03 -5.895266666666667334e+03
2.500000000000000139e-02 2.725800000000000000e+04 9.408799999999999272e+03 -3.991811999999999898e+03
3.500000000000000333e-02 2.217419999999999709e+04 9.445085714285713038e+03 -1.841214285714285325e+03
4.499999999999999833e-02 1.766048888888888905e+04 8.210533333333332848e+03 -1.044508888888888805e+03
5.500000000000000028e-02 1.476576363636363567e+04 6.886272727272727025e+03 -5.381309090909090855e+02
6.500000000000000222e-02 1.286115384615384573e+04 6.125538461538461888e+03 -3.338676923076922662e+02
7.499999999999999722e-02 1.101655999999999949e+04 5.342960000000000036e+03 -1.264514666666666756e+02
8.500000000000000611e-02 9.023576470588235679e+03 4.281588235294117112e+03 -3.152811764705882069e+01
9.500000000000000111e-02 7.334736842105262440e+03 3.489442105263157828e+03 1.541368421052631454e+01
1.049999999999999961e-01 6.195295238095238346e+03 3.041200000000000273e+03 5.017247619047619622e+01
1.150000000000000050e-01 5.421999999999999091e+03 2.600834782608695605e+03 8.156539130434782692e+01
1.250000000000000000e-01 4.891104000000000269e+03 2.308431999999999789e+03 7.309336000000000411e+01
1.350000000000000089e-01 4.339585185185184855e+03 2.012525925925925549e+03 8.540666666666665208e+01
1.449999999999999900e-01 3.770579310344828173e+03 1.777193103448275906e+03 1.311751724137930921e+02
1.549999999999999989e-01 3.273038709677419774e+03 1.536948387096774240e+03 1.254490322580645199e+02
1.650000000000000078e-01 2.880818181818181529e+03 1.379599999999999909e+03 1.309066666666666663e+02
1.749999999999999889e-01 2.589857142857143117e+03 1.223474285714285770e+03 1.248680000000000092e+02
1.849999999999999978e-01 2.353259459459459322e+03 1.080189189189189165e+03 1.054286486486486467e+02
1.950000000000000067e-01 2.135907692307692287e+03 9.611897435897434434e+02 9.142102564102565054e+01
2.049999999999999878e-01 1.929121951219512539e+03 8.603853658536585272e+02 9.018682926829268354e+01
2.149999999999999967e-01 1.734153488372093079e+03 7.673069767441860449e+02 9.280372093023255786e+01
2.250000000000000056e-01 1.565244444444444525e+03 7.036488888888889051e+02 9.571955555555554440e+01
2.349999999999999867e-01 1.425344680851063913e+03 6.317063829787234681e+02 8.558297872340425272e+01
2.449999999999999956e-01 1.304273469387755313e+03 5.686938775510204778e+02 8.106653061224490386e+01
2.550000000000000044e-01 1.197674509803921410e+03 5.043333333333332575e+02 6.532431372549018533e+01
2.650000000000000133e-01 1.098335849056603820e+03 4.489509433962263643e+02 6.801999999999999602e+01
2.750000000000000222e-01 1.003821818181818003e+03 4.000509090909090446e+02 7.232327272727272316e+01
2.849999999999999756e-01 9.234842105263157919e+02 3.661157894736842309e+02 6.042280701754386740e+01
2.949999999999999845e-01 8.492576271186441090e+02 3.298454237288135573e+02 5.189559322033898781e+01
