# k     P0     P2     P4
5.000000000000000104e-03 6.187180000000000291e+03 -3.881280000000000200e+03 -3.063639999999999873e+03
1.499999999999999944e-02 1.641733333333333212e+04 -2.779539999999999964e+03 -1.549580000000000155e+03
2.500000000000000139e-02 1.499527999999999884e+04 3.625799999999999727e+03 -2.587487999999999829e+03
3.500000000000000333e-02 1.260517142857142608e+04 4.498657142857142389e+03 -1.378268571428571477e+03
4.499999999999999833e-02 1.006317777777777883e+04 4.602666666666666970e+03 -9.606333333333333258e+02
5.500000000000000028e-02 8.499000000000000000e+03 4.158981818181818198e+03 -7.573545454545454731e+02
6.500000000000000222e-02 7.473307692307691468e+03 3.804938461538461524e+03 -5.409599999999999227e+02
7.499999999999999722e-02 6.458773333333333539e+03 3.255613333333333230e+03 -4.333173333333334085e+02
8.500000000000000611e-02 5.404858823529411893e+03 2.659623529411764594e+03 -2.462670588235293962e+02
9.500000000000000111e-02 4.483326315789473483e+03 2.169336842105262804e+03 -1.649736842105263008e+02
1.049999999999999961e-01 3.849523809523809632e+03 1.823152380952381236e+03 -1.053028571428571496e+02
1.150000000000000050e-01 3.422513043478260897e+03 1.583599999999999909e+03 -8.973739130434782396e+01
1.250000000000000000e-01 3.108583999999999833e+03 1.405647999999999911e+03 -1.597296000000000049e+01
1.350000000000000089e-01 2.797362962962962683e+03 1.220614814814814736e+03 -2.196533333333333360e+01
1.449999999999999900e-01 2.483827586206896740e+03 1.065151724137931069e+03 -1.856972413793103405e+00
1.549999999999999989e-01 2.203374193548387211e+03 9.120774193548387530e+02 4.495941935483870999e+00
1.650000000000000078e-01 1.982345454545454459e+03 8.048060606060605551e+02 2.238333333333333286e+01
1.749999999999999889e-01 1.817897142857143081e+03 7.023600000000000136e+02 1.855554285714285712e+01
1.849999999999999978e-01 1.681772972972972866e+03 6.238756756756756658e+02 3.648567567567567949e+01
1.950000000000000067e-01 1.549692307692307622e+03 5.418871794871795373e+02 3.627230769230769170e+01
2.049999999999999878e-01 1.428024390243902644e+03 4.771482926829268649e+02 2.916414634146341811e+01
2.149999999999999967e-01 1.310851162790697799e+03 4.219255813953488428e+02 2.804372093023255630e+01
2.250000000000000056e-01 1.210235555555555493e+03 3.675062222222222204e+02 3.826999999999999602e+01
2.349999999999999867e-01 1.130080851063829869e+03 3.342340425531915002e+02 4.347148936170212608e+01
2.449999999999999956e-01 1.053661224489795813e+03 2.871371428571428623e+02 3.724755102040816723e+01
2.550000000000000044e-01 9.905568627450981012e+02 2.464290196078431165e+02 3.531517647058823428e+01
2.650000000000000133e-01 9.296943396226414507e+02 2.139158490566037472e+02 3.180905660377358046e+01
2.750000000000000222e-01 8.700618181818181256e+02 1.886894545454545380e+02 2.914189090909090751e+01
2.849999999999999756e-01 8.158701754385965614e+02 1.610501754385964830e+02 3.149150877192982634e+01
2.949999999999999845e-01 7.686644067796610216e+02 1.397518644067796458e+02 3.380233898305085205e+01
