# k     Q0     Q2     Q4
5.000000000000000104e-03 4.634659999999999854e+03 -6.150659999999999854e+03 0.000000000000000000e+00
1.499999999999999944e-02 1.530553333333333467e+04 -3.927373333333333449e+03 0.000000000000000000e+00
2.500000000000000139e-02 1.644559999999999854e+04 1.709139999999999873e+03 0.000000000000000000e+00
3.500000000000000333e-02 1.440462857142856956e+04 3.477714285714285325e+03 0.000000000000000000e+00
4.499999999999999833e-02 1.190424444444444634e+04 3.891088888888888960e+03 0.000000000000000000e+00
5.500000000000000028e-02 1.016260000000000036e+04 3.597981818181818198e+03 0.000000000000000000e+00
6.500000000000000222e-02 8.995292307692307077e+03 3.404215384615384664e+03 0.000000000000000000e+00
7.499999999999999722e-02 7.761026666666666642e+03 2.934640000000000327e+03 0.000000000000000000e+00
8.500000000000000611e-02 6.468705882352941444e+03 2.477211764705882160e+03 0.000000000000000000e+00
9.500000000000000111e-02 5.351063157894736833e+03 2.047136842105263213e+03 0.000000000000000000e+00
1.049999999999999961e-01 4.578780952380952840e+03 1.745152380952381236e+03 0.000000000000000000e+00
1.150000000000000050e-01 4.055956521739130494e+03 1.517130434782608518e+03 0.000000000000000000e+00
1.250000000000000000e-01 3.670847999999999956e+03 1.393816000000000031e+03 0.000000000000000000e+00
1.350000000000000089e-01 3.285607407407407209e+03 1.204348148148148084e+03 0.000000000000000000e+00
1.449999999999999900e-01 2.909889655172414223e+03 1.063772413793103624e+03 0.000000000000000000e+00
1.549999999999999989e-01 2.568206451612903038e+03 9.154129032258065308e+02 0.000000000000000000e+00
1.650000000000000078e-01 2.304266666666666424e+03 8.213878787878787762e+02 0.000000000000000000e+00
1.749999999999999889e-01 2.098840000000000146e+03 7.161085714285715085e+02 0.000000000000000000e+00
1.849999999999999978e-01 1.931318918918918826e+03 6.509027027027027543e+02 0.000000000000000000e+00
1.950000000000000067e-01 1.766446153846153720e+03 5.687538461538460979e+02 0.000000000000000000e+00
2.049999999999999878e-01 1.618882926829268399e+03 4.987512195121951777e+02 0.000000000000000000e+00
2.149999999999999967e-01 1.479618604651162741e+03 4.426986046511627819e+02 0.000000000000000000e+00
2.250000000000000056e-01 1.357240000000000009e+03 3.958542222222222335e+02 0.000000000000000000e+00
2.349999999999999867e-01 1.263774468085106491e+03 3.664353191489362302e+02 0.000000000000000000e+00
2.449999999999999956e-01 1.168514285714285734e+03 3.147277551020408168e+02 0.000000000000000000e+00
2.550000000000000044e-01 1.089129411764705992e+03 2.725882352941176805e+02 0.000000000000000000e+00
2.650000000000000133e-01 1.015260377358490473e+03 2.374781132075471533e+02 0.000000000000000000e+00
2.750000000000000222e-01 9.455381818181817835e+02 2.102759999999999820e+02 0.000000000000000000e+00
2.849999999999999756e-01 8.802912280701755208e+02 1.843771929824561653e+02 0.000000000000000000e+00
2.949999999999999845e-01 8.245661016949153463e+02 1.647908474576271374e+02 0.000000000000000000e+00
