# k     P0     P2     P4
5.000000000000000104e-03 1.748118000000000029e+04 -1.448742000000000007e+04 3.464459999999999582e+03
1.499999999999999944e-02 1.564606666666666752e+04 -2.967753333333333558e+03 1.830026666666666642e+03
2.500000000000000139e-02 1.400095999999999913e+04 2.240112000000000080e+03 8.677400000000000091e+01
3.500000000000000333e-02 1.156537142857142862e+04 3.967885714285714130e+03 -4.729085714285714062e+02
4.499999999999999833e-02 9.495111111111111313e+03 3.904000000000000455e+03 -5.555511111111111404e+02
5.500000000000000028e-02 8.081527272727272248e+03 3.583363636363636488e+03 -4.320109090909090810e+02
6.500000000000000222e-02 7.085876923076923049e+03 3.269276923076922685e+03 -3.269507692307691968e+02
7.499999999999999722e-02 6.164853333333333467e+03 2.868706666666666479e+03 -1.835560000000000116e+02
8.500000000000000611e-02 5.211599999999999454e+03 2.329035294117646572e+03 -1.428470588235294088e+02
9.500000000000000111e-02 4.371073684210526153e+03 1.875726315789473574e+03 -9.545957894736841354e+01
1.049999999999999961e-01 3.771914285714285597e+03 1.596771428571428714e+03 -7.785561904761904373e+01
1.150000000000000050e-01 3.347773913043478387e+03 1.399104347826086723e+03 -2.926965217391304463e+01
1.250000000000000000e-01 3.031335999999999785e+03 1.252928000000000111e+03 1.295031999999999961e+01
1.350000000000000089e-01 2.732288888888888778e+03 1.093288888888888778e+03 3.072518518518518249e+01
1.449999999999999900e-01 2.430855172413793298e+03 9.612413793103448825e+02 5.206048275862069374e+01
1.549999999999999989e-01 2.168200000000000273e+03 8.137290322580645352e+02 4.942935483870967772e+01
1.650000000000000078e-01 1.952424242424242266e+03 7.176909090909090310e+02 6.187151515151514758e+01
1.749999999999999889e-01 1.783491428571428514e+03 6.249714285714286461e+02 5.903600000000000847e+01
1.849999999999999978e-01 1.643848648648648805e+03 5.608486486486486911e+02 5.558918918918919161e+01
1.950000000000000067e-01 1.519071794871794737e+03 4.866441025641025817e+02 5.423435897435896891e+01
2.049999999999999878e-01 1.400360975609756224e+03 4.310063414634146852e+02 5.848000000000000398e+01
2.149999999999999967e-01 1.289553488372093170e+03 3.825930232558139323e+02 5.439720930232557805e+01
2.250000000000000056e-01 1.189986666666666679e+03 3.374879999999999995e+02 5.608577777777777840e+01
2.349999999999999867e-01 1.108587234042553064e+03 2.967561702127659942e+02 5.325319148936170421e+01
2.449999999999999956e-01 1.034987755102040865e+03 2.587881632653061388e+02 5.521755102040816610e+01
2.550000000000000044e-01 9.684352941176470040e+02 2.182070588235294224e+02 4.394509803921568647e+01
2.650000000000000133e-01 9.081094339622641201e+02 1.922973584905660118e+02 5.358566037735849363e+01
2.750000000000000222e-01 8.513490909090908190e+02 1.642127272727272498e+02 4.337927272727272054e+01
2.849999999999999756e-01 8.010771929824561539e+02 1.461761403508772048e+02 5.294982456140350990e+01
2.949999999999999845e-01 7.548881355932204542e+02 1.223457627118644098e+02 4.000440677966101788e+01
