# k     Q0     Q2     Q4
5.000000000000000104e-03 1.168619999999999891e+04 -1.192115999999999985e+04 0.000000000000000000e+00
1.499999999999999944e-02 1.445893333333333248e+04 -1.612173333333333403e+03 0.000000000000000000e+00
2.500000000000000139e-02 1.489700000000000000e+04 2.304387999999999920e+03 0.000000000000000000e+00
3.500000000000000333e-02 1.315254285714285652e+04 3.617571428571427987e+03 0.000000000000000000e+00
4.499999999999999833e-02 1.105671111111111168e+04 3.492488888888889051e+03 0.000000000000000000e+00
5.500000000000000028e-02 9.514872727272726479e+03 3.263363636363636488e+03 0.000000000000000000e+00
6.500000000000000222e-02 8.393584615384614153e+03 3.027092307692307713e+03 0.000000000000000000e+00
7.499999999999999722e-02 7.312346666666667261e+03 2.732746666666666442e+03 0.000000000000000000e+00
8.500000000000000611e-02 6.143211764705882160e+03 2.223223529411764503e+03 0.000000000000000000e+00
9.500000000000000111e-02 5.121368421052631675e+03 1.805010526315789548e+03 0.000000000000000000e+00
1.049999999999999961e-01 4.410619047619047706e+03 1.539104761904761972e+03 0.000000000000000000e+00
1.150000000000000050e-01 3.907417391304347802e+03 1.377426086956521658e+03 0.000000000000000000e+00
1.250000000000000000e-01 3.532512000000000171e+03 1.262528000000000020e+03 0.000000000000000000e+00
1.350000000000000089e-01 3.169607407407407209e+03 1.116051851851851779e+03 0.000000000000000000e+00
1.449999999999999900e-01 2.815351724137931342e+03 9.998068965517243214e+02 0.000000000000000000e+00
1.549999999999999989e-01 2.493690322580644988e+03 8.503419354838709978e+02 0.000000000000000000e+00
1.650000000000000078e-01 2.239503030303029846e+03 7.635212121212121019e+02 0.000000000000000000e+00
1.749999999999999889e-01 2.033480000000000018e+03 6.687028571428571695e+02 0.000000000000000000e+00
1.849999999999999978e-01 1.868189189189189165e+03 6.020270270270270885e+02 0.000000000000000000e+00
1.950000000000000067e-01 1.713728205128205218e+03 5.268153846153845734e+02 0.000000000000000000e+00
2.049999999999999878e-01 1.572765853658536571e+03 4.743248780487804765e+02 0.000000000000000000e+00
2.149999999999999967e-01 1.442590697674418607e+03 4.228869767441860290e+02 0.000000000000000000e+00
2.250000000000000056e-01 1.324982222222222163e+03 3.790328888888888628e+02 0.000000000000000000e+00
2.349999999999999867e-01 1.227289361702127735e+03 3.362029787234042715e+02 0.000000000000000000e+00
2.449999999999999956e-01 1.138502040816326598e+03 2.996902040816326576e+02 0.000000000000000000e+00
2.550000000000000044e-01 1.055717647058823559e+03 2.507588235294117567e+02 0.000000000000000000e+00
2.650000000000000133e-01 9.850301886792452706e+02 2.319905660377358458e+02 0.000000000000000000e+00
2.750000000000000222e-01 9.170363636363636033e+02 1.963454545454545155e+02 0.000000000000000000e+00
2.849999999999999756e-01 8.595473684210527381e+02 1.853982456140351189e+02 0.000000000000000000e+00
2.949999999999999845e-01 8.038271186440678093e+02 1.519786440677966084e+02 0.000000000000000000e+00
