# k     P0     P2     P4
5.000000000000000104e-03 5.124040000000000146e+04 2.466179999999999836e+03 -5.572880000000000109e+03
1.499999999999999944e-02 5.851146666666666715e+04 1.634206666666666752e+04 -2.073466666666666697e+03
2.500000000000000139e-02 5.153479999999999563e+04 1.875152000000000044e+04 -1.375883999999999787e+02
3.500000000000000333e-02 4.103428571428571013e+04 1.616682857142857210e+04 3.138199999999999932e+02
4.499999999999999833e-02 3.287088888888889051e+04 1.295579999999999927e+04 6.419400000000000546e+02
5.500000000000000028e-02 2.769581818181818016e+04 1.071258181818181765e+04 6.796618181818181483e+02
6.500000000000000222e-02 2.421892307692307804e+04 9.048276923076922685e+03 5.041784615384615336e+02
7.499999999999999722e-02 2.089346666666666715e+04 7.640240000000000691e+03 3.500933333333333621e+02
8.500000000000000611e-02 1.746094117647058738e+04 6.392364705882352609e+03 3.442129411764705651e+02
9.500000000000000111e-02 1.452284210526315837e+04 5.359399999999999636e+03 3.509484210526315451e+02
1.049999999999999961e-01 1.248790476190476329e+04 4.535457142857143481e+03 3.760428571428571445e+02
1.150000000000000050e-01 1.114356521739130403e+04 3.901156521739130312e+03 3.440973913043478092e+02
1.250000000000000000e-01 1.011631999999999971e+04 3.390864000000000033e+03 3.252511999999999830e+02
1.350000000000000089e-01 9.135111111111111313e+03 2.955185185185184764e+03 2.847088888888888505e+02
1.449999999999999900e-01 8.136620689655173010e+03 2.607475862068965853e+03 2.607544827586206679e+02
1.549999999999999989e-01 7.231225806451612698e+03 2.321683870967741768e+03 2.362219354838709933e+02
1.650000000000000078e-01 6.508303030303029118e+03 2.082563636363636306e+03 2.140315151515151229e+02
1.749999999999999889e-01 5.963942857142857974e+03 1.842222857142857265e+03 2.228491428571428798e+02
1.849999999999999978e-01 5.508000000000000000e+03 1.596237837837837787e+03 2.180054054054054120e+02
1.950000000000000067e-01 5.092687179487179492e+03 1.393553846153846052e+03 2.036830769230769249e+02
2.049999999999999878e-01 4.687551219512195530e+03 1.258136585365853762e+03 1.893912195121951356e+02
2.149999999999999967e-01 4.315386046511627683e+03 1.123795348837209303e+03 1.742804651162790890e+02
2.250000000000000056e-01 3.991071111111110895e+03 1.001893333333333203e+03 1.701457777777777949e+02
2.349999999999999867e-01 3.705595744680851567e+03 8.847957446808510440e+02 1.557629787234042738e+02
2.449999999999999956e-01 3.462457142857143026e+03 7.757551020408163822e+02 1.421236734693877679e+02
2.550000000000000044e-01 3.241090196078431291e+03 6.654588235294118022e+02 1.445901960784313758e+02
2.650000000000000133e-01 3.031237735849056662e+03 5.817924528301887221e+02 1.327286792452830184e+02
2.750000000000000222e-01 2.838796363636363367e+03 5.028181818181818130e+02 1.257741818181818019e+02
2.849999999999999756e-01 2.664326315789473938e+03 4.290350877192983035e+02 1.173196491228070357e+02
2.949999999999999845e-01 2.501538983050847492e+03 3.575728813559322248e+02 1.161091525423728967e+02
