# k     Q0     Q2     Q4
5.000000000000000104e-03 5.222700000000000000e+04 -1.661881999999999834e+03 0.000000000000000000e+00
1.499999999999999944e-02 6.504826666666667006e+04 1.480620000000000073e+04 0.000000000000000000e+00
2.500000000000000139e-02 5.903559999999999854e+04 1.864959999999999854e+04 0.000000000000000000e+00
3.500000000000000333e-02 4.750114285714285506e+04 1.639928571428571377e+04 0.000000000000000000e+00
4.499999999999999833e-02 3.805333333333333576e+04 1.343131111111111204e+04 0.000000000000000000e+00
5.500000000000000028e-02 3.198090909090909190e+04 1.121603636363636178e+04 0.000000000000000000e+00
6.500000000000000222e-02 2.783815384615384392e+04 9.421753846153846098e+03 0.000000000000000000e+00
7.499999999999999722e-02 2.394960000000000218e+04 7.899573333333332812e+03 0.000000000000000000e+00
8.500000000000000611e-02 2.001788235294117476e+04 6.647329411764705583e+03 0.000000000000000000e+00
9.500000000000000111e-02 1.666663157894736651e+04 5.619357894736842354e+03 0.000000000000000000e+00
1.049999999999999961e-01 1.430209523809523853e+04 4.814009523809523671e+03 0.000000000000000000e+00
1.150000000000000050e-01 1.270400000000000000e+04 4.156043478260869051e+03 0.000000000000000000e+00
1.250000000000000000e-01 1.147263999999999942e+04 3.631791999999999916e+03 0.000000000000000000e+00
1.350000000000000089e-01 1.031718518518518431e+04 3.166081481481481205e+03 0.000000000000000000e+00
1.449999999999999900e-01 9.179655172413793480e+03 2.800627586206896922e+03 0.000000000000000000e+00
1.549999999999999989e-01 8.159870967741935601e+03 2.496658064516129343e+03 0.000000000000000000e+00
1.650000000000000078e-01 7.341333333333333030e+03 2.241103030303030209e+03 0.000000000000000000e+00
1.749999999999999889e-01 6.700857142857144026e+03 2.007297142857142944e+03 0.000000000000000000e+00
1.849999999999999978e-01 6.146486486486485774e+03 1.757724324324324243e+03 0.000000000000000000e+00
1.950000000000000067e-01 5.650102564102563520e+03 1.544430769230769101e+03 0.000000000000000000e+00
2.049999999999999878e-01 5.190829268292683082e+03 1.398429268292682991e+03 0.000000000000000000e+00
2.149999999999999967e-01 4.764883720930232812e+03 1.252893023255814114e+03 0.000000000000000000e+00
2.250000000000000056e-01 4.391826666666665915e+03 1.127928888888888878e+03 0.000000000000000000e+00
2.349999999999999867e-01 4.059514893617021244e+03 1.000174468085106469e+03 0.000000000000000000e+00
2.449999999999999956e-01 3.772759183673469579e+03 8.810326530612245506e+02 0.000000000000000000e+00
2.550000000000000044e-01 3.507270588235294326e+03 7.725607843137254349e+02 0.000000000000000000e+00
2.650000000000000133e-01 3.263954716981131696e+03 6.801094339622641201e+02 0.000000000000000000e+00
2.750000000000000222e-01 3.039923636363636433e+03 5.959818181818181984e+02 0.000000000000000000e+00
2.849999999999999756e-01 2.835940350877193396e+03 5.159403508771930547e+02 0.000000000000000000e+00
2.949999999999999845e-01 2.644566101694915687e+03 4.435796610169491601e+02 0.000000000000000000e+00
