# k     P0     P2     P4
5.000000000000000104e-03 4.272859999999999854e+04 -4.596939999999999600e+03 -3.118019999999999982e+03
1.499999999999999944e-02 5.183226666666667006e+04 1.154279999999999927e+04 -2.334506666666666661e+03
2.500000000000000139e-02 4.630079999999999563e+04 1.432679999999999927e+04 -3.357327999999999406e+02
3.500000000000000333e-02 3.746885714285714494e+04 1.279894285714285616e+04 2.923399999999999821e+01
4.499999999999999833e-02 3.013244444444444525e+04 1.099644444444444343e+04 1.940660000000000025e+02
5.500000000000000028e-02 2.537072727272727570e+04 8.997145454545454413e+03 5.897527272727272702e+02
6.500000000000000222e-02 2.221553846153846098e+04 7.885076923076921958e+03 4.383307692307691923e+02
7.499999999999999722e-02 1.913200000000000364e+04 6.695720000000000255e+03 3.681426666666666847e+02
8.500000000000000611e-02 1.602247058823529369e+04 5.530411764705881978e+03 3.454082352941176168e+02
9.500000000000000111e-02 1.335073684210526153e+04 4.667926315789472937e+03 3.220484210526315678e+02
1.049999999999999961e-01 1.148038095238095411e+04 3.888447619047618900e+03 3.197361904761904725e+02
1.150000000000000050e-01 1.023930434782608609e+04 3.357982608695652289e+03 3.247486956521739216e+02
1.250000000000000000e-01 9.281120000000000800e+03 2.926079999999999927e+03 2.993496000000000095e+02
1.350000000000000089e-01 8.350296296296295623e+03 2.566770370370370074e+03 3.066977777777777874e+02
1.449999999999999900e-01 7.429103448275862320e+03 2.267317241379310872e+03 2.703751724137931092e+02
1.549999999999999989e-01 6.598709677419354193e+03 2.012580645161290249e+03 2.532632258064516293e+02
1.650000000000000078e-01 5.933739393939393267e+03 1.765345454545454459e+03 2.286369696969696577e+02
1.749999999999999889e-01 5.418662857142857320e+03 1.585240000000000009e+03 2.340937142857142987e+02
1.849999999999999978e-01 4.998924324324324516e+03 1.395848648648648805e+03 2.159621621621621728e+02
1.950000000000000067e-01 4.613646153846153538e+03 1.229871794871794691e+03 1.952307692307692264e+02
2.049999999999999878e-01 4.242717073170731965e+03 1.084712195121951254e+03 1.867907317073170645e+02
2.149999999999999967e-01 3.902888372093023008e+03 9.606046511627906739e+02 1.811888372093023065e+02
2.250000000000000056e-01 3.601906666666666297e+03 8.569466666666666015e+02 1.636853333333333183e+02
2.349999999999999867e-01 3.343923404255319383e+03 7.581957446808510213e+02 1.658174468085106525e+02
2.449999999999999956e-01 3.120097959183673538e+03 6.551959183673469624e+02 1.548297959183673527e+02
2.550000000000000044e-01 2.912701960784313997e+03 5.786039215686274702e+02 1.461423529411764832e+02
2.650000000000000133e-01 2.719313207547169895e+03 4.948792452830188608e+02 1.386298113207546976e+02
2.750000000000000222e-01 2.539829090909090610e+03 4.298472727272726956e+02 1.319381818181818176e+02
2.849999999999999756e-01 2.374985964912280906e+03 3.565508771929825116e+02 1.289712280701754423e+02
2.949999999999999845e-01 2.231603389830508604e+03 2.983966101694915665e+02 1.070115254237288269e+02
