# k     Q0     Q2     Q4
5.000000000000000104e-03 4.088980000000000291e+04 -6.906579999999999018e+03 0.000000000000000000e+00
1.499999999999999944e-02 5.644940000000000146e+04 9.813533333333334667e+03 0.000000000000000000e+00
2.500000000000000139e-02 5.203159999999999854e+04 1.407811999999999898e+04 0.000000000000000000e+00
3.500000000000000333e-02 4.258857142857142026e+04 1.282059999999999854e+04 0.000000000000000000e+00
4.499999999999999833e-02 3.453088888888889051e+04 1.114020000000000073e+04 0.000000000000000000e+00
5.500000000000000028e-02 2.896963636363636397e+04 9.434000000000000000e+03 0.000000000000000000e+00
6.500000000000000222e-02 2.536953846153846098e+04 8.209769230769230489e+03 0.000000000000000000e+00
7.499999999999999722e-02 2.181026666666666642e+04 6.968426666666666279e+03 0.000000000000000000e+00
8.500000000000000611e-02 1.823470588235294053e+04 5.786258823529411529e+03 0.000000000000000000e+00
9.500000000000000111e-02 1.521789473684210498e+04 4.906484210526316019e+03 0.000000000000000000e+00
1.049999999999999961e-01 1.303580952380952476e+04 4.125285714285713766e+03 0.000000000000000000e+00
1.150000000000000050e-01 1.158252173913043407e+04 3.598530434782608609e+03 0.000000000000000000e+00
1.250000000000000000e-01 1.045160000000000036e+04 3.147815999999999804e+03 0.000000000000000000e+00
1.350000000000000089e-01 9.376962962962963502e+03 2.793948148148147993e+03 0.000000000000000000e+00
1.449999999999999900e-01 8.336068965517242759e+03 2.467593103448275997e+03 0.000000000000000000e+00
1.549999999999999989e-01 7.403741935483870293e+03 2.200180645161290613e+03 0.000000000000000000e+00
1.650000000000000078e-01 6.639878787878787080e+03 1.934703030303030118e+03 0.000000000000000000e+00
1.749999999999999889e-01 6.052742857142857247e+03 1.758645714285714348e+03 0.000000000000000000e+00
1.849999999999999978e-01 5.557243243243242432e+03 1.555816216216216390e+03 0.000000000000000000e+00
1.950000000000000067e-01 5.105594871794871324e+03 1.374487179487179219e+03 0.000000000000000000e+00
2.049999999999999878e-01 4.676604878048780847e+03 1.223078048780487961e+03 0.000000000000000000e+00
2.149999999999999967e-01 4.287130232558139141e+03 1.094818604651162786e+03 0.000000000000000000e+00
2.250000000000000056e-01 3.944688888888888414e+03 9.781955555555555293e+02 0.000000000000000000e+00
2.349999999999999867e-01 3.647204255319149070e+03 8.810255319148936906e+02 0.000000000000000000e+00
2.449999999999999956e-01 3.382175510204082002e+03 7.698857142857143572e+02 0.000000000000000000e+00
2.550000000000000044e-01 3.144145098039215554e+03 6.868588235294117794e+02 0.000000000000000000e+00
2.650000000000000133e-01 2.917267924528302046e+03 5.975698113207546385e+02 0.000000000000000000e+00
2.750000000000000222e-01 2.711767272727272484e+03 5.275781818181817471e+02 0.000000000000000000e+00
2.849999999999999756e-01 2.517603508771930137e+03 4.520842105263158146e+02 0.000000000000000000e+00
2.949999999999999845e-01 2.350962711864407083e+03 3.776644067796610216e+02 0.000000000000000000e+00
