# k     P0     P2     P4
5.000000000000000104e-03 1.173865999999999985e+04 1.761100000000000136e+03 -8.364539999999999054e+03
1.499999999999999944e-02 2.620700000000000364e+04 8.383066666666667516e+03 -1.268613333333333321e+04
2.500000000000000139e-02 2.578039999999999782e+04 1.054900000000000000e+04 -7.461159999999999854e+03
3.500000000000000333e-02 2.120142857142856883e+04 9.565114285714284051e+03 -4.022085714285713948e+03
4.499999999999999833e-02 1.681511111111110949e+04 8.150844444444444889e+03 -1.741699999999999818e+03
5.500000000000000028e-02 1.407341818181818235e+04 6.840890909090909190e+03 -1.118463636363636397e+03
6.500000000000000222e-02 1.230109230769230817e+04 5.997076923076922867e+03 -6.759692307692307622e+02
7.499999999999999722e-02 1.057601333333333423e+04 5.103426666666667188e+03 -4.975920000000000414e+02
8.500000000000000611e-02 8.611705882352940534e+03 4.206423529411764321e+03 -9.792682352941174884e+01
9.500000000000000111e-02 6.966199999999999818e+03 3.431789473684210407e+03 2.165957894736841993e+01
1.049999999999999961e-01 5.852485714285714494e+03 2.957161904761905134e+03 -2.337238095238095426e+01
1.150000000000000050e-01 5.175060869565216308e+03 2.607747826086956593e+03 9.410695652173913572e+00
1.250000000000000000e-01 4.654087999999999738e+03 2.265103999999999814e+03 8.164719999999999800e+01
1.350000000000000089e-01 4.130237037037036316e+03 1.968288888888888778e+03 6.811533333333332507e+01
1.449999999999999900e-01 3.589572413793104261e+03 1.704317241379310417e+03 4.473131034482759105e+01
1.549999999999999989e-01 3.107503225806451610e+03 1.544535483870967710e+03 9.871354838709676471e+01
1.650000000000000078e-01 2.727975757575757143e+03 1.328909090909090992e+03 8.729696969696969688e+01
1.749999999999999889e-01 2.457822857142857629e+03 1.165794285714285934e+03 6.931714285714285495e+01
1.849999999999999978e-01 2.242302702702702845e+03 1.081697297297297382e+03 8.053297297297297064e+01
1.950000000000000067e-01 2.032923076923076906e+03 9.350717948717948502e+02 9.459897435897435969e+01
2.049999999999999878e-01 1.829273170731707296e+03 8.349268292682927495e+02 7.645268292682926869e+01
2.149999999999999967e-01 1.644065116279069798e+03 7.642883720930233267e+02 9.158325581395348536e+01
2.250000000000000056e-01 1.482795555555555666e+03 6.840399999999999636e+02 7.616888888888890108e+01
2.349999999999999867e-01 1.351165957446808534e+03 6.195021276595745121e+02 6.652510638297871992e+01
2.449999999999999956e-01 1.236571428571428442e+03 5.522897959183674175e+02 7.590040816326531115e+01
2.550000000000000044e-01 1.136784313725490165e+03 4.782666666666666515e+02 8.537058823529412166e+01
2.650000000000000133e-01 1.043875471698113188e+03 4.189283018867924397e+02 6.751056603773584186e+01
2.750000000000000222e-01 9.508218181818181165e+02 3.882981818181817744e+02 7.375018181818181517e+01
2.849999999999999756e-01 8.778947368421053170e+02 3.749298245614035636e+02 5.919754385964913013e+01
2.949999999999999845e-01 8.031627118644067878e+02 3.219437288135593462e+02 6.078915254237288224e+01
