# k     P0     P2     P4
5.000000000000000104e-03 1.456733999999999833e+04 4.519840000000000373e+02 -3.830139999999999873e+03
1.499999999999999944e-02 2.716846666666666715e+04 8.343000000000000000e+03 -7.777933333333333394e+03
2.500000000000000139e-02 2.631055999999999767e+04 9.897239999999999782e+03 -4.756159999999999854e+03
3.500000000000000333e-02 2.168254285714285652e+04 9.389342857142855792e+03 -2.296757142857142753e+03
4.499999999999999833e-02 1.728420000000000073e+04 8.112199999999999818e+03 -1.221417777777777701e+03
5.500000000000000028e-02 1.445443636363636324e+04 6.874018181818182711e+03 -6.552909090909090537e+02
6.500000000000000222e-02 1.256912307692307695e+04 5.985076923076922867e+03 -3.897723076923076633e+02
7.499999999999999722e-02 1.077682666666666591e+04 5.237800000000000182e+03 -1.745173333333333403e+02
8.500000000000000611e-02 8.845352941176470267e+03 4.205588235294118022e+03 -9.535764705882351677e+01
9.500000000000000111e-02 7.192199999999999818e+03 3.453505263157895115e+03 -6.905747368421052634e+00
1.049999999999999961e-01 6.077533333333332848e+03 2.946390476190475965e+03 7.237409523809523648e+01
1.150000000000000050e-01 5.324504347826086814e+03 2.546443478260869597e+03 5.273391304347826036e+01
1.250000000000000000e-01 4.803304000000000087e+03 2.266143999999999778e+03 1.182488000000000028e+02
1.350000000000000089e-01 4.257659259259258761e+03 1.964562962962962956e+03 1.074303703703703690e+02
1.449999999999999900e-01 3.705041379310344837e+03 1.744944827586206884e+03 1.391648275862069113e+02
1.549999999999999989e-01 3.211516129032258050e+03 1.515225806451612925e+03 9.493096774193547560e+01
1.650000000000000078e-01 2.818357575757575432e+03 1.355569696969696906e+03 1.044478787878787784e+02
1.749999999999999889e-01 2.538942857142857065e+03 1.206537142857142953e+03 1.210319999999999965e+02
1.849999999999999978e-01 2.308583783783783929e+03 1.068075675675675711e+03 1.027162162162162247e+02
1.950000000000000067e-01 2.092158974358974319e+03 9.501025641025640880e+02 9.305743589743589439e+01
2.049999999999999878e-01 1.890356097560975741e+03 8.584780487804878248e+02 8.682682926829268411e+01
2.149999999999999967e-01 1.704432558139534876e+03 7.536046511627907876e+02 8.238558139534885072e+01
2.250000000000000056e-01 1.535702222222222190e+03 6.810222222222221262e+02 9.159555555555556339e+01
2.349999999999999867e-01 1.394629787234042624e+03 6.145914893617022017e+02 9.339702127659575126e+01
2.449999999999999956e-01 1.277918367346938794e+03 5.528489795918367236e+02 9.597959183673469852e+01
2.550000000000000044e-01 1.181929411764705947e+03 4.921372549019607732e+02 8.321882352941176464e+01
2.650000000000000133e-01 1.076090566037735698e+03 4.391094339622641201e+02 7.617169811320755457e+01
2.750000000000000222e-01 9.869490909090908417e+02 3.966800000000000068e+02 7.686327272727271520e+01
2.849999999999999756e-01 9.054912280701754526e+02 3.610280701754386428e+02 7.046912280701755549e+01
2.949999999999999845e-01 8.343864406779662204e+02 3.226576271186440863e+02 6.365118644067797504e+01
