# k     P0     P2     P4
5.000000000000000104e-03 1.911338000000000102e+04 1.866297999999999956e+04 -2.389559999999999945e+03
1.499999999999999944e-02 3.143720000000000073e+04 2.300596000000000276e+04 -7.238473333333331539e+02
2.500000000000000139e-02 2.800067999999999665e+04 1.782908000000000175e+04 6.650560000000007221e+02
3.500000000000000333e-02 2.217342857142856883e+04 1.293888571428571231e+04 -6.435714285714279015e+01
4.499999999999999833e-02 1.735673333333333358e+04 1.001668888888888796e+04 7.369777777777781012e+02
5.500000000000000028e-02 1.438736363636363785e+04 7.962345454545454231e+03 4.458618181818182507e+02
6.500000000000000222e-02 1.248906153846153939e+04 6.718907692307691832e+03 3.645876923076922935e+02
7.499999999999999722e-02 1.070423999999999978e+04 5.601026666666666642e+03 1.972959999999999638e+02
8.500000000000000611e-02 8.700599999999998545e+03 4.600529411764705401e+03 3.940355294117646849e+02
9.500000000000000111e-02 7.027947368421052488e+03 3.671673684210526062e+03 3.500505473684210074e+02
1.049999999999999961e-01 5.895895238095237801e+03 3.117133333333333212e+03 2.124644761904761765e+02
1.150000000000000050e-01 5.209443478260868687e+03 2.751860869565217399e+03 1.878021304347826117e+02
1.250000000000000000e-01 4.669511999999999716e+03 2.377199999999999818e+03 2.088475200000000029e+02
1.350000000000000089e-01 4.145592592592592155e+03 2.050607407407407209e+03 1.821009629629629387e+02
1.449999999999999900e-01 3.600496551724138953e+03 1.771668965517241077e+03 1.271588965517241547e+02
1.549999999999999989e-01 3.117961290322580680e+03 1.607083870967741859e+03 1.706619354838709626e+02
1.650000000000000078e-01 2.736648484848484713e+03 1.372781818181818153e+03 1.345399999999999920e+02
1.749999999999999889e-01 2.465240000000000236e+03 1.199605714285714384e+03 1.174645714285714320e+02
1.849999999999999978e-01 2.249091891891891919e+03 1.110605405405405463e+03 1.129237837837837901e+02
1.950000000000000067e-01 2.040497435897435707e+03 9.588717948717948047e+02 1.288533333333333246e+02
2.049999999999999878e-01 1.830770731707317054e+03 8.517317073170733011e+02 1.048200000000000216e+02
2.149999999999999967e-01 1.647297674418604629e+03 7.820604651162790333e+02 1.141376744186046466e+02
2.250000000000000056e-01 1.488142222222222472e+03 6.945999999999997954e+02 9.112133333333333951e+01
2.349999999999999867e-01 1.354187234042553200e+03 6.308425531914894009e+02 9.565957446808509701e+01
2.449999999999999956e-01 1.238726530612244687e+03 5.619918367346939476e+02 9.255387755102040614e+01
2.550000000000000044e-01 1.136086274509803843e+03 4.975960784313725185e+02 1.025666666666666771e+02
2.650000000000000133e-01 1.046199999999999818e+03 4.246716981132075261e+02 8.389471698113206344e+01
2.750000000000000222e-01 9.526399999999998727e+02 3.993709090909090378e+02 8.793381818181818232e+01
2.849999999999999756e-01 8.794947368421053397e+02 3.798807017543859388e+02 6.393228070175439370e+01
2.949999999999999845e-01 8.058881355932204542e+02 3.287945762711864290e+02 7.377593220338982860e+01
