# k     P0     P2     P4
5.000000000000000104e-03 1.893085999999999694e+04 1.053324400000000060e+04 9.508760000000002037e+02
1.499999999999999944e-02 3.025973333333333721e+04 1.698961999999999898e+04 -1.357560666666666748e+03
2.500000000000000139e-02 2.778107999999999447e+04 1.445612000000000080e+04 8.944000000000016826e+01
3.500000000000000333e-02 2.240177142857142826e+04 1.174865714285714239e+04 4.545828571428569944e+02
4.499999999999999833e-02 1.765306666666666933e+04 9.427622222222222263e+03 4.087622222222220785e+02
5.500000000000000028e-02 1.468980000000000109e+04 7.673400000000000546e+03 3.708054545454545519e+02
6.500000000000000222e-02 1.273447692307692159e+04 6.524615384615383846e+03 3.026907692307692628e+02
7.499999999999999722e-02 1.088422666666666737e+04 5.584346666666667261e+03 2.722088000000000534e+02
8.500000000000000611e-02 8.920870588235293326e+03 4.455458823529411347e+03 2.263681176470587957e+02
9.500000000000000111e-02 7.241705263157895388e+03 3.618094736842105249e+03 2.154437263157894336e+02
1.049999999999999961e-01 6.114390476190475965e+03 3.070504761904761835e+03 2.333044761904762083e+02
1.150000000000000050e-01 5.357113043478260806e+03 2.644078260869565383e+03 1.893537391304347750e+02
1.250000000000000000e-01 4.830344000000000051e+03 2.346608000000000175e+03 2.173770399999999938e+02
1.350000000000000089e-01 4.279562962962962956e+03 2.037059259259259534e+03 1.915259259259259181e+02
1.449999999999999900e-01 3.722510344827586323e+03 1.787924137931034693e+03 2.008275862068965694e+02
1.549999999999999989e-01 3.225561290322580589e+03 1.553825806451613062e+03 1.470529032258064319e+02
1.650000000000000078e-01 2.827915151515151138e+03 1.385872727272727388e+03 1.317866666666666617e+02
1.749999999999999889e-01 2.547337142857143135e+03 1.235588571428571640e+03 1.526188571428571379e+02
1.849999999999999978e-01 2.318351351351351695e+03 1.091632432432432324e+03 1.210756756756756829e+02
1.950000000000000067e-01 2.098333333333333485e+03 9.698717948717950321e+02 1.143692307692307679e+02
2.049999999999999878e-01 1.894624390243902781e+03 8.662292682926829457e+02 1.074692682926829264e+02
2.149999999999999967e-01 1.711041860465116088e+03 7.693488372093023600e+02 9.499209302325581916e+01
2.250000000000000056e-01 1.542395555555555347e+03 6.956133333333333439e+02 1.006457777777777807e+02
2.349999999999999867e-01 1.398072340425531820e+03 6.285021276595745121e+02 1.118417021276595875e+02
2.449999999999999956e-01 1.282987755102040637e+03 5.631346938775509443e+02 1.156265306122449061e+02
2.550000000000000044e-01 1.187050980392157044e+03 4.981137254901960887e+02 9.326078431372549460e+01
2.650000000000000133e-01 1.079558490566037563e+03 4.480528301886792519e+02 8.448905660377357663e+01
2.750000000000000222e-01 9.905309090909090628e+02 4.090000000000000000e+02 8.308654545454544404e+01
2.849999999999999756e-01 9.070982456140352497e+02 3.660701754385964932e+02 7.542982456140350678e+01
2.949999999999999845e-01 8.374542372881356869e+02 3.323850847457627538e+02 6.777593220338982860e+01
