# k P0 P2 P4
# unit [h/Mpc] P[Mpc/h]^3
# courtesy: H. Gil-Marin
2.093999999999999941e-03 2.781443579200000022e+04 -1.550980841399999917e+04 -2.647673509000000195e+03 
2.961999999999999789e-03 4.323261199099999794e+04 -1.247300909000000047e+03 -5.608490613799999846e+04 
3.628000000000000148e-03 4.994789357300000120e+04 -7.661766185000000405e+03 -7.826976389600000402e+04 
4.189000000000000015e-03 4.117369691900000180e+04 -1.941062327000000005e+04 -9.006993046299999696e+04 
4.682999999999999663e-03 4.577546160799999780e+04 -4.998902742000000217e+03 -3.425076924500000314e+04 
5.130000000000000011e-03 5.206953209700000298e+04 -2.369496424399999887e+04 3.506859581400000025e+04 
5.923999999999999579e-03 4.949293980100000044e+04 -9.973884656000000177e+03 -4.629479418599999917e+04 
6.283000000000000390e-03 5.590350481299999956e+04 -5.406617494199999783e+04 1.927748349600000074e+04 
6.785000000000000232e-03 3.901279404100000102e+04 1.547876193400000011e+04 4.720321366200000193e+04 
7.477000000000000139e-03 5.964243864000000031e+04 -3.859089793300000019e+04 -1.481364043400000082e+04 
7.837000000000000216e-03 7.512275755500000378e+04 -4.545606489699999656e+04 7.592089077999999972e+03 
8.718000000000000055e-03 6.027651578999999765e+04 -2.195131067600000097e+04 3.413557276599999750e+04 
9.423000000000000820e-03 7.243073780099999567e+04 -8.434160445999999865e+03 -5.316313300599999639e+04 
1.020700000000000079e-02 9.279518947199999820e+04 -6.263109272700000292e+04 2.560193185699999958e+04 
1.107099999999999924e-02 8.411077241400000639e+04 -1.521819323900000018e+04 -1.700158738699999958e+04 
1.218299999999999939e-02 8.796825898400000005e+04 8.729515767999999298e+03 -3.864347713199999998e+04 
1.307999999999999961e-02 9.073028916899999604e+04 1.594146174600000086e+04 -1.773068412499999977e+04 
1.394699999999999933e-02 8.039268619999999646e+04 3.542390503699999681e+04 1.489137812400000075e+04 
1.519599999999999944e-02 8.284492481500000576e+04 4.231208304599999974e+04 -1.249533013500000015e+04 
