# s  W0^2        W2^2        W4^2        W6^2        W8^2
3.000000000000000000e+00 7.123821801035511436e-01 2.191962878445900820e-02 4.523295813885001848e-02 -1.600350987634531182e-03 3.590728554880232015e-02
3.002159473936182543e+00 7.123508256475984401e-01 2.190254101539386780e-02 4.521621881354099398e-02 -1.557310228596515099e-03 3.588310603953707295e-02
3.004320502314925534e+00 7.123194932234255816e-01 2.188546943190934277e-02 4.519946761610857400e-02 -1.514350825834635947e-03 3.585896134249197398e-02
3.006483086255154813e+00 7.122881828164551177e-01 2.186841402668125364e-02 4.518270456454308304e-02 -1.471472716516214994e-03 3.583485142271997104e-02
3.008647226876601799e+00 7.122568944121089318e-01 2.185137479238539668e-02 4.516592967683481091e-02 -1.428675837808531879e-03 3.581077624527404663e-02
3.010812925299804377e+00 7.122256279958094627e-01 2.183435172169756813e-02 4.514914297097401275e-02 -1.385960126878865587e-03 3.578673577520711385e-02
3.012980182646106453e+00 7.121943835529785938e-01 2.181734480729358161e-02 4.513234446495104080e-02 -1.343325520894536086e-03 3.576272997757216215e-02
3.015149000037659732e+00 7.121631610690389858e-01 2.180035404184923684e-02 4.511553417675616406e-02 -1.300771957022810654e-03 3.573875881742213240e-02
3.017319378597422386e+00 7.121319605294127442e-01 2.178337941804034047e-02 4.509871212437969318e-02 -1.258299372430995598e-03 3.571482225980999320e-02
3.019491319449162159e+00 7.121007819195218635e-01 2.176642092854269572e-02 4.508187832581193183e-02 -1.215907704286396792e-03 3.569092026978869930e-02
3.021664823717455484e+00 7.120696252247890046e-01 2.174947856603210578e-02 4.506503279904315595e-02 -1.173596889756281080e-03 3.566705281241120545e-02
3.023839892527687923e+00 7.120384904306360507e-01 2.173255232318438770e-02 4.504817556206369700e-02 -1.131366866007968430e-03 3.564321985273047333e-02
3.026016527006055501e+00 7.120073775224849966e-01 2.171564219267531001e-02 4.503130663286379620e-02 -1.089217570208725469e-03 3.561942135579942992e-02
3.028194728279564707e+00 7.119762864857586138e-01 2.169874816718071753e-02 4.501442602943381971e-02 -1.047148939525871297e-03 3.559565728667108547e-02
3.030374497476032936e+00 7.119452173058787858e-01 2.168187023937638916e-02 4.499753376976400876e-02 -1.005160911126672975e-03 3.557192761039834616e-02
3.032555835724090265e+00 7.119141699682679514e-01 2.166500840193814198e-02 4.498062987184469480e-02 -9.632534221784503628e-04 3.554823229203420143e-02
3.034738744153178125e+00 7.118831444583479939e-01 2.164816264754177225e-02 4.496371435366616764e-02 -9.214264098484699784e-04 3.552457129663159907e-02
3.036923223893551960e+00 7.118521407615413521e-01 2.163133296886307969e-02 4.494678723321872404e-02 -8.796798113040511400e-04 3.550094458924349383e-02
3.039109276076280786e+00 7.118211588632704645e-01 2.161451935857788484e-02 4.492984852849265381e-02 -8.380135637124607991e-04 3.547735213492283352e-02
3.041296901833246746e+00 7.117901987489571036e-01 2.159772180936197009e-02 4.491289825747826064e-02 -7.964276042410060224e-04 3.545379389872259368e-02
3.043486102297147333e+00 7.117592604040237081e-01 2.158094031389115944e-02 4.489593643816584129e-02 -7.549218700569918167e-04 3.543026984569570825e-02
3.045676878601494941e+00 7.117283438138928275e-01 2.156417486484124915e-02 4.487896308854571331e-02 -7.134962983276989029e-04 3.540677994089516667e-02
3.047869231880619534e+00 7.116974489639860124e-01 2.154742545488803895e-02 4.486197822660814571e-02 -6.721508262204202531e-04 3.538332414937388898e-02
3.050063163269665978e+00 7.116665758397261454e-01 2.153069207670733551e-02 4.484498187034344913e-02 -6.308853909024369133e-04 3.535990243618485768e-02
3.052258673904596264e+00 7.116357244265347770e-01 2.151397472297494201e-02 4.482797403774191336e-02 -5.896999295410661418e-04 3.533651476638100669e-02
3.054455764922191285e+00 7.116048947098346789e-01 2.149727338636666166e-02 4.481095474679383517e-02 -5.485943793035768417e-04 3.531316110501531158e-02
3.056654437460048612e+00 7.115740866750479565e-01 2.148058805955830458e-02 4.479392401548953906e-02 -5.075686773572751038e-04 3.528984141714074096e-02
3.058854692656586050e+00 7.115433003075967155e-01 2.146391873522567051e-02 4.477688186181928709e-02 -4.666227608694532500e-04 3.526655566781021489e-02
3.061056531651039414e+00 7.115125355929032835e-01 2.144726540604456957e-02 4.475982830377341765e-02 -4.257565670074176423e-04 3.524330382207672280e-02
3.063259955583466532e+00 7.114817925163897661e-01 2.143062806469079457e-02 4.474276335934217891e-02 -3.849700329384481883e-04 3.522008584499321249e-02
3.065464965594745017e+00 7.114510710634786017e-01 2.141400670384015215e-02 4.472568704651590232e-02 -3.442630958298261508e-04 3.519690170161262482e-02
3.067671562826572274e+00 7.114203712195916740e-01 2.139740131616845592e-02 4.470859938328489158e-02 -3.036356928488696556e-04 3.517375135698794231e-02
3.069879748421469934e+00 7.113896929701515326e-01 2.138081189435149521e-02 4.469150038763941568e-02 -2.630877611628461418e-04 3.515063477617209192e-02
3.072089523522779864e+00 7.113590363005803940e-01 2.136423843106509055e-02 4.467439007756979219e-02 -2.226192379390747923e-04 3.512755192421807005e-02
3.074300889274668602e+00 7.113284011963001419e-01 2.134768091898503473e-02 4.465726847106631786e-02 -1.822300603448357586e-04 3.510450276617879672e-02
3.076513846822126030e+00 7.112977876427333257e-01 2.133113935078713094e-02 4.464013558611928945e-02 -1.419201655474095988e-04 3.508148726710724058e-02
3.078728397310964926e+00 7.112671956253018291e-01 2.131461371914718933e-02 4.462299144071898982e-02 -1.016894907141022278e-04 3.505850539205635635e-02
3.080944541887824517e+00 7.112366251294283126e-01 2.129810401674100614e-02 4.460583605285573655e-02 -6.153797301221907248e-05 3.503555710607911960e-02
3.083162281700168261e+00 7.112060761405347709e-01 2.128161023624438805e-02 4.458866944051981945e-02 -2.146554960902891389e-05 3.501264237422846426e-02
3.085381617896285622e+00 7.111755486440433094e-01 2.126513237033315559e-02 4.457149162170154916e-02 1.852784232815123022e-05 3.498976116155735894e-02
3.087602551625293401e+00 7.111450426253764778e-01 2.124867041168308768e-02 4.455430261439119466e-02 5.844226563205214182e-05 3.496691343311874450e-02
